WL(um)	Flux(W/m2/um)
0.1598	1.39E+01
0.16	1.33E+01
0.1602	1.31E+01
0.1603	1.44E+01
0.1605	1.28E+01
0.1607	1.36E+01
0.1608	1.46E+01
0.161	1.49E+01
0.1612	1.38E+01
0.1613	1.51E+01
0.1615	1.33E+01
0.1617	1.41E+01
0.1618	1.56E+01
0.162	1.52E+01
0.1622	1.48E+01
0.1623	1.53E+01
0.1625	1.67E+01
0.1627	1.63E+01
0.1628	1.66E+01
0.163	1.60E+01
0.1632	1.58E+01
0.1633	1.58E+01
0.1635	1.70E+01
0.1637	1.72E+01
0.1638	1.83E+01
0.164	1.77E+01
0.1642	1.95E+01
0.1643	1.86E+01
0.1645	1.88E+01
0.1647	1.82E+01
0.1648	1.73E+01
0.165	1.74E+01
0.1652	1.81E+01
0.1653	1.81E+01
0.1655	1.79E+01
0.1657	1.90E+01
0.1659	1.87E+01
0.166	1.97E+01
0.1662	2.10E+01
0.1664	2.18E+01
0.1665	2.25E+01
0.1667	2.11E+01
0.1669	2.19E+01
0.167	2.05E+01
0.1672	2.17E+01
0.1674	2.24E+01
0.1675	2.43E+01
0.1677	2.58E+01
0.1679	2.60E+01
0.168	2.57E+01
0.1682	2.65E+01
0.1684	2.77E+01
0.1685	2.81E+01
0.1687	2.99E+01
0.1689	2.97E+01
0.169	3.02E+01
0.1692	3.34E+01
0.1694	3.66E+01
0.1695	4.02E+01
0.1697	4.60E+01
0.1699	5.00E+01
0.17	5.55E+01
0.1702	5.87E+01
0.1704	6.13E+01
0.1705	6.67E+01
0.1707	7.69E+01
0.1709	8.95E+01
0.171	8.95E+01
0.1712	8.70E+01
0.1714	9.61E+01
0.1716	1.09E+02
0.1717	1.19E+02
0.1719	1.10E+02
0.1721	8.52E+01
0.1722	8.85E+01
0.1724	8.77E+01
0.1726	1.02E+02
0.1727	1.22E+02
0.1729	1.29E+02
0.1731	1.27E+02
0.1732	1.21E+02
0.1734	1.18E+02
0.1736	1.11E+02
0.1737	1.07E+02
0.1739	1.16E+02
0.1741	1.20E+02
0.1742	1.22E+02
0.1744	1.28E+02
0.1746	1.29E+02
0.1747	1.40E+02
0.1749	1.48E+02
0.1751	1.53E+02
0.1752	1.60E+02
0.1754	1.68E+02
0.1756	1.61E+02
0.1757	1.68E+02
0.1759	1.51E+02
0.1761	1.44E+02
0.1762	1.49E+02
0.1764	1.31E+02
0.1766	1.44E+02
