WL(um)	Flux(W/m2/um)
4.03E-01	1082.585752
4.05E-01	1012.499276
4.07E-01	927.3942689
4.09E-01	1239.02878
4.11E-01	1195.224732
4.13E-01	1133.899066
4.15E-01	1083.837297
4.17E-01	1150.16914
4.19E-01	1058.806412
4.21E-01	1083.837297
4.23E-01	993.7261126
4.25E-01	1052.548691
4.27E-01	958.6828744
4.29E-01	893.6025748
4.31E-01	758.4357988
4.33E-01	1196.476277
4.35E-01	1198.979365
4.37E-01	1289.090549
4.39E-01	1111.37127
4.41E-01	1200.230909
4.43E-01	1351.66776
4.45E-01	1339.152318
4.47E-01	1451.791298
4.49E-01	1489.337625
4.51E-01	1702.100143
4.53E-01	1489.337625
4.55E-01	1576.94572
4.57E-01	1689.5847
4.59E-01	1589.461163
4.61E-01	1627.007489
4.63E-01	1601.976605
4.65E-01	1614.492047
4.67E-01	1689.5847
4.69E-01	1639.522931
4.71E-01	1601.976605
4.73E-01	1664.553816
4.75E-01	1689.5847
4.77E-01	1689.5847
4.79E-01	1702.100143
4.81E-01	1689.5847
4.83E-01	1727.131027
4.85E-01	1639.522931
4.87E-01	1464.30674
4.89E-01	1601.976605
4.91E-01	1627.007489
4.93E-01	1564.430278
4.95E-01	1639.522931
4.97E-01	1652.038374
4.99E-01	1526.883951
5.01E-01	1439.275856
5.03E-01	1539.399394
5.05E-01	1514.368509
5.07E-01	1589.461163
5.09E-01	1514.368509
5.11E-01	1526.883951
5.13E-01	1489.337625
5.15E-01	1414.244971
5.17E-01	1185.212379
5.19E-01	1239.02878
5.21E-01	1439.275856
5.23E-01	1539.399394
5.25E-01	1652.038374
5.27E-01	1389.214087
5.29E-01	1627.007489
5.31E-01	1739.646469
5.33E-01	1501.853067
5.35E-01	1664.553816
5.37E-01	1627.007489
5.39E-01	1601.976605
5.41E-01	1551.914836
5.43E-01	1589.461163
5.45E-01	1639.522931
5.47E-01	1639.522931
5.49E-01	1664.553816
5.51E-01	1627.007489
5.53E-01	1664.553816
5.55E-01	1689.5847
5.57E-01	1627.007489
5.59E-01	1589.461163
5.61E-01	1652.038374
5.63E-01	1664.553816
5.65E-01	1677.069258
5.67E-01	1639.522931
5.69E-01	1664.553816
5.71E-01	1614.492047
5.73E-01	1727.131027
5.75E-01	1677.069258
5.77E-01	1689.5847
5.79E-01	1627.007489
5.81E-01	1689.5847
5.83E-01	1714.615585
5.85E-01	1677.069258
5.87E-01	1677.069258
5.89E-01	1501.853067
5.91E-01	1652.038374
5.93E-01	1652.038374
5.95E-01	1664.553816
5.97E-01	1664.553816
5.99E-01	1652.038374
6.01E-01	1614.492047
6.03E-01	1639.522931
6.05E-01	1664.553816
6.07E-01	1652.038374
6.09E-01	1601.976605
6.11E-01	1601.976605
6.13E-01	1514.368509
6.15E-01	1564.430278
6.17E-01	1489.337625
6.19E-01	1589.461163
6.21E-01	1589.461163
6.23E-01	1539.399394
6.25E-01	1501.853067
6.27E-01	1564.430278
6.29E-01	1576.94572
6.31E-01	1526.883951
6.33E-01	1539.399394
6.35E-01	1539.399394
6.37E-01	1539.399394
6.39E-01	1551.914836
6.41E-01	1501.853067
6.43E-01	1526.883951
6.45E-01	1501.853067
6.47E-01	1489.337625
6.49E-01	1464.30674
6.51E-01	1514.368509
6.53E-01	1514.368509
6.55E-01	1464.30674
6.57E-01	1351.66776
6.59E-01	1476.822183
6.61E-01	1501.853067
6.63E-01	1489.337625
6.65E-01	1489.337625
6.67E-01	1464.30674
6.69E-01	1489.337625
6.71E-01	1451.791298
6.73E-01	1476.822183
6.75E-01	1464.30674
6.77E-01	1464.30674
6.79E-01	1451.791298
6.81E-01	1439.275856
6.83E-01	1451.791298
