C4N2
Air:  
Temp:           100K            300K            1000K 
Angstroms       XS
2.130000E+03    1.436340E-19    1.741230E-19    1.763670E-19
2.140000E+03    7.164960E-20    1.377440E-19    1.481070E-19
2.150000E+03    3.152510E-20    7.365890E-20    8.707260E-20
2.160000E+03    3.231320E-20    7.050150E-20    8.300620E-20
2.170000E+03    2.973580E-20    7.037640E-20    8.320270E-20
2.180000E+03    2.551100E-20    6.235190E-20    7.213310E-20
2.190000E+03    2.926770E-20    6.519900E-20    7.371380E-20
2.200000E+03    6.103060E-20    9.961960E-20    1.086580E-19
2.210000E+03    9.721390E-20    1.368390E-19    1.450300E-19
2.220000E+03    9.462560E-20    1.302990E-19    1.452630E-19
2.230000E+03    2.869710E-19    3.149890E-19    3.215600E-19
2.240000E+03    2.539260E-19    3.212530E-19    3.420910E-19
2.250000E+03    6.290920E-20    1.253240E-19    1.480990E-19
2.260000E+03    5.535990E-20    1.042750E-19    1.225130E-19
2.270000E+03    3.777970E-20    9.072010E-20    1.089690E-19
2.280000E+03    3.354560E-20    9.181290E-20    1.101690E-19
2.290000E+03    2.284590E-20    6.597020E-20    7.619810E-20
2.300000E+03    2.721410E-20    6.734330E-20    7.686040E-20
2.310000E+03    5.313560E-20    9.886170E-20    1.110520E-19
2.320000E+03    1.104190E-19    1.511720E-19    1.613670E-19
2.330000E+03    7.734510E-20    1.286150E-19    1.422130E-19
2.340000E+03    4.272890E-19    4.361660E-19    4.427500E-19
2.350000E+03    4.247040E-19    4.725730E-19    4.936780E-19
2.360000E+03    1.374310E-19    2.669370E-19    3.043140E-19
2.370000E+03    6.268440E-20    1.292680E-19    1.490950E-19
2.380000E+03    7.642910E-20    1.380150E-19    1.574190E-19
2.390000E+03    3.827930E-20    9.183100E-20    1.114950E-19
2.400000E+03    2.935550E-20    9.124970E-20    1.129090E-19
2.410000E+03    1.593550E-20    4.392530E-20    5.254520E-20
2.420000E+03    1.486630E-20    3.686430E-20    4.380450E-20
2.430000E+03    2.866470E-20    5.161880E-20    5.886990E-20
2.440000E+03    7.995080E-20    9.536360E-20    1.005630E-19
2.450000E+03    5.509950E-20    9.208430E-20    1.023970E-19
2.460000E+03    1.172730E-19    1.448850E-19    1.620790E-19
2.470000E+03    5.077140E-19    5.302590E-19    5.382680E-19
2.480000E+03    5.013920E-19    5.612390E-19    5.874250E-19
2.490000E+03    1.073380E-19    1.871350E-19    2.196510E-19
2.500000E+03    6.375920E-20    1.050370E-19    1.213560E-19
2.510000E+03    8.916270E-20    1.275570E-19    1.453270E-19
2.520000E+03    2.928600E-20    6.980100E-20    8.690090E-20
2.530000E+03    4.955600E-20    1.003140E-19    1.225120E-19
2.540000E+03    1.140530E-20    2.989940E-20    3.737550E-20
2.550000E+03    9.608220E-21    2.106920E-20    2.462940E-20
2.560000E+03    9.854460E-21    1.934430E-20    2.254240E-20
2.570000E+03    1.303440E-20    2.199640E-20    2.427130E-20
2.580000E+03    4.232450E-20    4.901570E-20    4.933850E-20
2.590000E+03    2.429560E-20    3.654610E-20    4.005680E-20
2.600000E+03    4.764290E-20    6.131840E-20    6.847310E-20
2.610000E+03    3.130290E-19    3.143810E-19    3.087010E-19
2.620000E+03    2.950930E-19    3.048040E-19    3.080310E-19
2.630000E+03    1.230180E-19    1.837490E-19    1.974110E-19
2.640000E+03    5.296260E-20    6.865340E-20    7.430950E-20
2.650000E+03    3.346290E-20    4.784120E-20    5.314420E-20
2.660000E+03    6.110840E-20    8.772150E-20    9.694100E-20
2.670000E+03    1.969290E-20    2.959920E-20    3.530930E-20
2.680000E+03    2.812980E-20    5.139610E-20    6.232650E-20
2.690000E+03    8.859020E-21    1.742050E-20    2.099440E-20
2.700000E+03    5.772650E-21    1.141740E-20    1.343830E-20
2.710000E+03    4.517480E-21    5.521750E-21    8.739490E-21
2.720000E+03    3.396780E-21    3.964730E-21    5.328990E-21
2.730000E+03    1.655180E-21    1.241280E-21    2.709310E-21
