 HC AEROSOL PARAMETERS

    Z        AERSOL     RPART      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  5.525E+06 0.000E+02 1.300E-07 3.113E-02 1.696E+07 1.567E+06 3.953E+06 1.109E+02
  5.625E+06 0.000E+02 1.300E-07 3.745E-02 1.410E+07 1.394E+06 4.383E+06 1.109E+02
  5.725E+06 0.000E+02 1.300E-07 4.506E-02 1.172E+07 1.230E+06 4.873E+06 1.109E+02
  5.825E+06 0.000E+02 1.300E-07 5.420E-02 9.742E+06 1.076E+06 5.436E+06 1.109E+02
  5.925E+06 0.000E+02 1.300E-07 6.520E-02 8.099E+06 9.358E+05 6.084E+06 1.109E+02
  6.025E+06 0.000E+02 1.300E-07 7.843E-02 6.733E+06 8.106E+05 6.832E+06 1.109E+02
  6.125E+06 0.000E+02 1.300E-07 9.434E-02 5.598E+06 7.006E+05 7.698E+06 1.109E+02
  6.225E+06 0.000E+02 1.300E-07 1.135E-01 4.654E+06 6.052E+05 8.702E+06 1.109E+02
  6.325E+06 0.000E+02 1.300E-07 1.365E-01 3.870E+06 5.230E+05 9.865E+06 1.109E+02
  6.425E+06 0.000E+02 1.300E-07 1.641E-01 3.218E+06 4.527E+05 1.122E+07 1.109E+02
  6.525E+06 0.000E+02 1.300E-07 1.973E-01 2.676E+06 3.928E+05 1.279E+07 1.109E+02
  6.625E+06 0.000E+02 1.300E-07 2.373E-01 2.225E+06 3.417E+05 1.465E+07 1.109E+02
  6.725E+06 0.000E+02 1.300E-07 2.853E-01 1.851E+06 2.983E+05 1.688E+07 1.109E+02
  6.825E+06 0.000E+02 1.300E-07 3.431E-01 1.539E+06 2.789E+05 1.963E+07 1.109E+02
  6.925E+06 0.000E+02 1.300E-07 4.124E-01 1.280E+06 2.789E+05 2.310E+07 1.109E+02
  7.025E+06 0.000E+01 1.300E-07 4.958E-01 1.065E+06 2.789E+05 2.771E+07 1.109E+02
  7.125E+06 0.000E+01 1.300E-07 5.961E-01 8.859E+05 2.789E+05 3.404E+07 1.109E+02
  7.225E+06 0.000E+01 1.300E-07 7.165E-01 7.370E+05 2.789E+05 4.283E+07 1.109E+02
  7.325E+06 0.000E+01 1.300E-07 8.612E-01 6.132E+05 2.789E+05 5.509E+07 1.109E+02
  7.425E+06 0.000E+01 1.300E-07 1.035E+00 5.102E+05 2.789E+05 7.234E+07 1.109E+02
  7.525E+06 0.000E+01 1.300E-07 1.244E+00 4.245E+05 2.789E+05 9.707E+07 1.109E+02
  7.625E+06 0.000E+01 1.300E-07 1.495E+00 3.532E+05 2.789E+05 1.334E+08 1.109E+02
  7.725E+06 0.000E+01 1.300E-07 1.797E+00 2.939E+05 2.789E+05 1.887E+08 1.109E+02
  7.825E+06 0.000E+00 1.300E-07 2.159E+00 2.446E+05 2.789E+05 2.759E+08 1.109E+02
  7.925E+06 0.000E+00 1.300E-07 2.594E+00 2.036E+05 2.789E+05 4.199E+08 1.109E+02
  8.025E+06 0.000E+00 1.300E-07 3.117E+00 1.694E+05 2.789E+05 6.704E+08 1.109E+02
  8.125E+06 0.000E+00 1.300E-07 3.745E+00 1.410E+05 2.789E+05 1.134E+09 1.109E+02
  8.225E+06 0.000E+00 1.300E-07 4.499E+00 1.174E+05 2.789E+05 2.055E+09 1.109E+02
  8.325E+06 0.000E-01 1.300E-07 5.404E+00 9.771E+04 2.789E+05 4.050E+09 1.109E+02
  8.425E+06 0.000E-01 1.300E-07 6.492E+00 8.135E+04 2.789E+05 8.827E+09 1.109E+02
  8.525E+06 0.000E-01 1.300E-07 7.798E+00 6.772E+04 2.789E+05 2.173E+10 1.109E+02
  8.625E+06 0.000E-02 1.300E-07 9.366E+00 5.638E+04 2.789E+05 6.194E+10 1.109E+02
  8.725E+06 0.000E-02 1.300E-07 1.125E+01 4.695E+04 2.789E+05 2.108E+11 1.109E+02
  8.825E+06 0.000E-03 1.300E-07 1.351E+01 3.909E+04 2.789E+05 8.847E+11 1.109E+02
  8.925E+06 0.000E-04 1.300E-07 1.622E+01 3.255E+04 2.789E+05 4.657E+12 1.109E+02
  9.025E+06 0.000E-05 1.300E-07 1.948E+01 2.711E+04 2.789E+05 2.807E+13 1.109E+02
  9.125E+06 0.000E-05 1.300E-07 2.339E+01 2.258E+04 2.789E+05 1.281E+14 1.109E+02
  9.225E+06 0.000E-06 1.300E-07 2.809E+01 1.880E+04 2.789E+05 3.351E+14 1.109E+02
  9.325E+06 0.000E-06 1.300E-07 3.372E+01 1.566E+04 2.789E+05 7.145E+14 1.109E+02
  9.425E+06 0.000E-06 1.300E-07 4.048E+01 1.304E+04 2.789E+05 1.495E+15 1.109E+02
  9.525E+06 0.000E-07 1.300E-07 4.860E+01 1.087E+04 2.789E+05 3.120E+15 1.109E+02
  9.625E+06 0.000E-07 1.300E-07 5.834E+01 9.052E+03 2.789E+05 6.509E+15 1.109E+02
  9.725E+06 0.000E-07 1.300E-07 7.003E+01 7.541E+03 2.789E+05 1.374E+16 1.109E+02
  9.825E+06 0.000E-08 1.300E-07 8.405E+01 6.283E+03 2.789E+05 3.061E+16 1.109E+02
  9.925E+06 0.000E-08 1.300E-07 1.009E+02 5.235E+03 2.789E+05 8.271E+16 1.109E+02
