
    OUTPUT FILES FOR THE Sun  

 Solar Constant= 1.000   F_CH4= 1.6768E-06  F_CO2= 3.3000E-04  F_O2= 2.0714E-01  F_N2= 7.6937E-01  F_H2= 9.8637E-61  F_AR= 9.8637E-03  IO3 =  1   IUP=  1
 ICONSERV= 0  FAC= 4.0  ND=101  SRFALB= 0.320  G= 980.0  IMW= 2

 FNO2 = 1.000E-60

 NST=     1 JCONV=101 CHG=0.00E+00 dt0=1.00E+04 DIVF(1)=      NaN DIVFrms=      NaN DT(ND)=      NaN T(ND)=       NaN

 TIME= 5.000E+03  TIME IN DAYS = 5.787E-02

 PLANETARY ALBEDO:  ALBP =    NaN

  J     P         ALT         T        CONVEC       DT          TOLD        FH20       FSAVE        FO3        TCOOL       THEAT
 41 1.6061E-02        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  4.8888E-06         NaN         NaN
 42 1.7791E-02        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  4.6489E-06         NaN         NaN
 43 1.9686E-02        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  4.4116E-06         NaN         NaN
 44 2.1757E-02        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  4.1769E-06         NaN         NaN
 45 2.4021E-02        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  3.9448E-06         NaN         NaN
 46 2.6490E-02        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  3.7154E-06         NaN         NaN
 47 2.9180E-02        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  3.4885E-06         NaN         NaN
 48 3.2108E-02        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  3.2630E-06         NaN         NaN
 49 3.5290E-02        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  3.0332E-06         NaN         NaN
 50 3.8744E-02        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  2.8061E-06         NaN         NaN
 51 4.2489E-02        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  2.5816E-06         NaN         NaN
 52 4.6544E-02        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  2.3599E-06         NaN         NaN
 53 5.0930E-02        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  2.1410E-06         NaN         NaN
 54 5.5666E-02        NaN        NaN  0.00E+00          NaN  2.0000E+02  4.0000E-06  4.0000E-06  1.9247E-06         NaN         NaN
