     ALT          P          T          FH2O           O3           THEAT        TCOOL        PSATCO2        FCO2
       NaN  9.2718E-02        NaN    4.0000E-06    6.8389E-07           NaN           NaN           NaN    3.3000E-04
       NaN  1.0055E-01        NaN    4.0000E-06    4.9794E-07           NaN           NaN           NaN    3.3000E-04
       NaN  1.0893E-01        NaN    4.0000E-06    4.6805E-07           NaN           NaN           NaN    3.3000E-04
       NaN  1.1787E-01        NaN    4.0000E-06    4.3858E-07           NaN           NaN           NaN    3.3000E-04
       NaN  1.2741E-01        NaN    4.0000E-06    4.0953E-07           NaN           NaN           NaN    3.3000E-04
       NaN  1.3756E-01        NaN    4.0000E-06    3.8089E-07           NaN           NaN           NaN    3.3000E-04
       NaN  1.4836E-01        NaN    4.0000E-06    3.5267E-07           NaN           NaN           NaN    3.3000E-04
       NaN  1.5983E-01        NaN    4.0000E-06    3.2486E-07           NaN           NaN           NaN    3.3000E-04
       NaN  1.7199E-01        NaN    4.0000E-06    2.9747E-07           NaN           NaN           NaN    3.3000E-04
       NaN  1.8487E-01        NaN    4.0000E-06    2.7050E-07           NaN           NaN           NaN    3.3000E-04
       NaN  1.9849E-01        NaN    4.0000E-06    2.4394E-07           NaN           NaN           NaN    3.3000E-04
       NaN  2.1288E-01        NaN    4.0000E-06    2.1780E-07           NaN           NaN           NaN    3.3000E-04
       NaN  2.2806E-01        NaN    4.0000E-06    1.9207E-07           NaN           NaN           NaN    3.3000E-04
       NaN  2.4405E-01        NaN    4.0000E-06    1.6676E-07           NaN           NaN           NaN    3.3000E-04
       NaN  2.6087E-01        NaN    4.0000E-06    1.4187E-07           NaN           NaN           NaN    3.3000E-04
       NaN  2.7854E-01        NaN    4.0000E-06    1.1739E-07           NaN           NaN           NaN    3.3000E-04
       NaN  2.9708E-01        NaN    4.0000E-06    9.3331E-08           NaN           NaN           NaN    3.3000E-04
       NaN  3.1649E-01        NaN    4.0000E-06    6.9974E-08           NaN           NaN           NaN    3.3000E-04
       NaN  3.3680E-01        NaN    4.0000E-06    6.8084E-08           NaN           NaN           NaN    3.3000E-04
       NaN  3.5802E-01        NaN    4.0000E-06    6.6227E-08           NaN           NaN           NaN    3.3000E-04
