
    OUTPUT FILES FOR THE Sun  

 Solar Constant= 0.813   F_CH4= 2.9161E-03  F_CO2= 2.0000E-02  F_O2= 9.7205E-09  F_N2= 9.5261E-01  F_H2= 1.1237E-04  F_AR= 9.7205E-03  IO3 =  1   IUP=  1
 ICONSERV= 0  FAC= 4.0  ND=101  SRFALB= 0.320  G= 980.0  IMW= 2

 FNO2 = 1.241E-71

 NST=     1 JCONV= 26 CHG=1.87E-03 dt0=7.50E+03 DIVF(1)=-1.40E-03 DIVFrms= 8.77E-04 DT(ND)=-3.91E-02 T(ND)=2.7996E+02

 TIME= 5.000E+03  TIME IN DAYS = 5.787E-02

 PLANETARY ALBEDO:  ALBP = 0.2659

  J     P         ALT         T        CONVEC       DT          TOLD        FH20       FSAVE        FO3        TCOOL       THEAT
 31 5.4154E-03 3.3172E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  6.2104E-08  4.0000E-06  4.8326E-11 -4.4343E+00  3.5320E+00
 32 6.0654E-03 3.2488E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  5.9477E-08  4.0000E-06  4.5016E-11 -4.2266E+00  3.3955E+00
 33 6.7858E-03 3.1810E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  5.6941E-08  4.0000E-06  4.1796E-11 -3.9678E+00  3.2489E+00
 34 7.5834E-03 3.1139E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  5.4607E-08  4.0000E-06  3.8711E-11 -3.6456E+00  3.0855E+00
 35 8.4653E-03 3.0475E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  5.2461E-08  4.0000E-06  3.5666E-11 -3.2717E+00  2.9174E+00
 36 9.4392E-03 2.9818E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  5.0397E-08  4.0000E-06  3.2759E-11 -2.8774E+00  2.7421E+00
 37 1.0514E-02 2.9167E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  4.8521E-08  4.0000E-06  2.9974E-11 -3.4206E+00  2.5604E+00
 38 1.1697E-02 2.8524E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  4.6829E-08  4.0000E-06  2.7279E-11 -2.7169E+00  2.3778E+00
 39 1.2999E-02 2.7887E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  4.5362E-08  4.0000E-06  2.4712E-11 -2.3181E+00  2.2174E+00
 40 1.4430E-02 2.7258E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  4.4099E-08  4.0000E-06  2.2244E-11 -2.0446E+00  2.0751E+00
 41 1.6001E-02 2.6635E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  4.2936E-08  4.0000E-06  1.9878E-11 -1.8574E+00  1.9559E+00
 42 1.7724E-02 2.6019E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  4.2049E-08  4.0000E-06  1.7650E-11 -1.7195E+00  1.8613E+00
 43 1.9609E-02 2.5409E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  4.1346E-08  4.0000E-06  1.5558E-11 -1.5997E+00  1.7794E+00
 44 2.1672E-02 2.4807E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  4.0845E-08  4.0000E-06  1.3550E-11 -1.4802E+00  1.7093E+00
 45 2.3924E-02 2.4211E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  4.0557E-08  4.0000E-06  1.1639E-11 -1.3543E+00  1.6496E+00
 46 2.6381E-02 2.3622E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  4.0411E-08  4.0000E-06  9.8933E-12 -1.2235E+00  1.5928E+00
 47 2.9058E-02 2.3040E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  4.0619E-08  4.0000E-06  8.2934E-12 -1.0946E+00  1.5372E+00
 48 3.1972E-02 2.2465E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  4.1031E-08  4.0000E-06  6.8502E-12 -9.7543E-01  1.4839E+00
 49 3.5138E-02 2.1897E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  4.1787E-08  4.0000E-06  5.5752E-12 -8.7275E-01  1.4327E+00
 50 3.8575E-02 2.1335E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  4.2835E-08  4.0000E-06  4.4765E-12 -7.8967E-01  1.3798E+00
 51 4.2301E-02 2.0780E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  4.4182E-08  4.0000E-06  3.5483E-12 -7.2566E-01  1.3276E+00
 52 4.6335E-02 2.0232E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  4.5825E-08  4.0000E-06  2.7859E-12 -6.7662E-01  1.2771E+00
 53 5.0697E-02 1.9691E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  4.7646E-08  4.0000E-06  2.1791E-12 -6.3661E-01  1.2306E+00
 54 5.5408E-02 1.9157E+01 1.9996E+02  0.00E+00  -3.9123E-02  2.0000E+02  4.9562E-08  4.0000E-06  1.7095E-12 -5.9971E-01  1.1848E+00
