     ALT          P          T          FH2O           O3           THEAT        TCOOL        PSATCO2        FCO2
5.7336E+01  1.0764E-04 1.3092E+02    1.5084E-05    9.0000E-07    2.1763E+01   -2.2696E+01    3.8935E-04    1.0000E-02
5.6727E+01  1.2464E-04 1.4265E+02    1.5084E-05    9.0000E-07    1.2848E+01   -9.3944E+00    2.8649E-03    1.0000E-02
5.6075E+01  1.4417E-04 1.5301E+02    1.5084E-05    9.0000E-07    1.2594E+01   -9.1687E+00    1.2837E-02    1.0000E-02
5.5386E+01  1.6657E-04 1.6161E+02    1.5084E-05    9.0000E-07    1.2568E+01   -9.4226E+00    3.8398E-02    1.0000E-02
5.4669E+01  1.9224E-04 1.6863E+02    1.5084E-05    9.0000E-07    1.2332E+01   -9.7692E+00    8.6304E-02    1.0000E-02
5.3930E+01  2.2162E-04 1.7434E+02    1.5084E-05    9.0000E-07    1.1991E+01   -1.0051E+01    1.5866E-01    1.0000E-02
5.3175E+01  2.5520E-04 1.7903E+02    1.5084E-05    9.0000E-07    1.1629E+01   -1.0274E+01    2.5387E-01    1.0000E-02
5.2408E+01  2.9355E-04 1.8297E+02    1.5084E-05    9.0000E-07    1.1316E+01   -1.0466E+01    3.6974E-01    1.0000E-02
5.1631E+01  3.3728E-04 1.8638E+02    1.5084E-05    9.6159E-07    1.1289E+01   -1.0693E+01    5.0537E-01    1.0000E-02
5.0848E+01  3.8710E-04 1.8939E+02    1.5084E-05    1.0932E-06    1.1530E+01   -1.0981E+01    6.5959E-01    1.0000E-02
5.0059E+01  4.4378E-04 1.9206E+02    1.5084E-05    1.2238E-06    1.1768E+01   -1.1285E+01    8.2889E-01    1.0000E-02
4.9267E+01  5.0820E-04 1.9441E+02    1.5084E-05    1.3533E-06    1.1970E+01   -1.1538E+01    1.0084E+00    1.0000E-02
4.8472E+01  5.8132E-04 1.9646E+02    1.5084E-05    1.4817E-06    1.2105E+01   -1.1694E+01    1.1926E+00    1.0000E-02
4.7677E+01  6.6422E-04 1.9824E+02    1.5084E-05    1.6091E-06    1.2155E+01   -1.1750E+01    1.3753E+00    1.0000E-02
4.6881E+01  7.5809E-04 1.9976E+02    1.5084E-05    1.7354E-06    1.2116E+01   -1.1740E+01    1.5496E+00    1.0000E-02
4.6087E+01  8.6428E-04 2.0103E+02    1.5084E-05    1.8606E-06    1.1993E+01   -1.1676E+01    1.7099E+00    1.0000E-02
4.5296E+01  9.8424E-04 2.0209E+02    1.5084E-05    1.9848E-06    1.1827E+01   -1.1682E+01    1.8547E+00    1.0000E-02
4.4507E+01  1.1196E-03 2.0307E+02    1.5084E-05    2.2944E-06    1.1993E+01   -1.2507E+01    1.9973E+00    1.0000E-02
4.3722E+01  1.2722E-03 2.0405E+02    1.5084E-05    2.6273E-06    1.2051E+01   -1.1796E+01    2.1500E+00    1.0000E-02
4.2940E+01  1.4439E-03 2.0492E+02    1.5084E-05    2.9573E-06    1.1889E+01   -1.1484E+01    2.2938E+00    1.0000E-02
4.2162E+01  1.6370E-03 2.0557E+02    1.5084E-05    3.2843E-06    1.1513E+01   -1.1152E+01    2.4057E+00    1.0000E-02
4.1390E+01  1.8539E-03 2.0600E+02    1.5084E-05    3.6085E-06    1.0960E+01   -1.0709E+01    2.4829E+00    1.0000E-02
