 HC AEROSOL PARAMETERS

    Z        AERSOL     RPART      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  5.525E+06 2.265E-01 1.300E-07 2.301E-03 3.128E+08 2.910E+06 1.216E+10 6.985E+01
  5.625E+06 2.076E-01 1.300E-07 2.636E-03 2.734E+08 2.596E+06 1.326E+10 6.985E+01
  5.725E+06 1.900E-01 1.300E-07 3.018E-03 2.390E+08 2.295E+06 1.448E+10 6.985E+01
  5.825E+06 1.737E-01 1.300E-07 3.456E-03 2.090E+08 2.012E+06 1.584E+10 6.985E+01
  5.925E+06 1.584E-01 1.300E-07 3.956E-03 1.826E+08 1.752E+06 1.735E+10 6.985E+01
  6.025E+06 1.444E-01 1.300E-07 4.528E-03 1.596E+08 1.517E+06 1.905E+10 6.985E+01
  6.125E+06 1.313E-01 1.300E-07 5.182E-03 1.393E+08 1.310E+06 2.094E+10 6.985E+01
  6.225E+06 1.192E-01 1.300E-07 5.930E-03 1.216E+08 1.129E+06 2.308E+10 6.985E+01
  6.325E+06 1.081E-01 1.300E-07 6.788E-03 1.061E+08 9.734E+05 2.547E+10 6.985E+01
  6.425E+06 9.783E-02 1.300E-07 7.770E-03 9.258E+07 8.401E+05 2.816E+10 6.985E+01
  6.525E+06 8.847E-02 1.300E-07 8.895E-03 8.068E+07 7.255E+05 3.118E+10 6.985E+01
  6.625E+06 8.008E-02 1.300E-07 1.018E-02 7.012E+07 6.251E+05 3.453E+10 6.985E+01
  6.725E+06 7.275E-02 1.300E-07 1.167E-02 6.056E+07 5.338E+05 3.822E+10 6.985E+01
  6.825E+06 6.664E-02 1.300E-07 1.338E-02 5.164E+07 4.772E+05 4.219E+10 6.985E+01
  6.925E+06 6.180E-02 1.300E-07 1.540E-02 4.324E+07 4.433E+05 4.634E+10 6.985E+01
  7.025E+06 5.880E-02 1.300E-07 1.786E-02 3.481E+07 3.866E+05 5.040E+10 6.985E+01
  7.125E+06 5.244E-02 1.300E-07 2.090E-02 2.954E+07 3.812E+05 5.671E+10 6.985E+01
  7.225E+06 4.663E-02 1.300E-07 2.446E-02 2.524E+07 3.812E+05 6.378E+10 6.985E+01
  7.325E+06 4.166E-02 1.300E-07 2.863E-02 2.156E+07 3.812E+05 7.138E+10 6.985E+01
  7.425E+06 3.742E-02 1.300E-07 3.351E-02 1.842E+07 3.812E+05 7.948E+10 6.985E+01
  7.525E+06 3.379E-02 1.300E-07 3.922E-02 1.574E+07 3.812E+05 8.803E+10 6.985E+01
  7.625E+06 3.067E-02 1.300E-07 4.589E-02 1.345E+07 3.812E+05 9.696E+10 6.985E+01
  7.725E+06 2.801E-02 1.300E-07 5.370E-02 1.150E+07 3.812E+05 1.062E+11 6.985E+01
  7.825E+06 2.572E-02 1.300E-07 6.284E-02 9.825E+06 3.812E+05 1.156E+11 6.985E+01
  7.925E+06 2.376E-02 1.300E-07 7.353E-02 8.397E+06 3.812E+05 1.252E+11 6.985E+01
  8.025E+06 2.207E-02 1.300E-07 8.603E-02 7.177E+06 3.812E+05 1.348E+11 6.985E+01
  8.125E+06 2.060E-02 1.300E-07 1.006E-01 6.135E+06 3.812E+05 1.444E+11 6.985E+01
  8.225E+06 1.932E-02 1.300E-07 1.177E-01 5.244E+06 3.812E+05 1.539E+11 6.985E+01
  8.325E+06 1.819E-02 1.300E-07 1.377E-01 4.482E+06 3.812E+05 1.635E+11 6.985E+01
  8.425E+06 1.713E-02 1.300E-07 1.611E-01 3.832E+06 3.812E+05 1.736E+11 6.985E+01
  8.525E+06 1.607E-02 1.300E-07 1.885E-01 3.276E+06 3.812E+05 1.850E+11 6.985E+01
  8.625E+06 1.490E-02 1.300E-07 2.204E-01 2.801E+06 3.812E+05 1.997E+11 6.985E+01
  8.725E+06 1.351E-02 1.300E-07 2.578E-01 2.395E+06 3.812E+05 2.201E+11 6.985E+01
  8.825E+06 1.194E-02 1.300E-07 3.016E-01 2.047E+06 3.812E+05 2.492E+11 6.985E+01
  8.925E+06 1.027E-02 1.300E-07 3.527E-01 1.751E+06 3.812E+05 2.895E+11 6.985E+01
  9.025E+06 8.659E-03 1.300E-07 4.124E-01 1.497E+06 3.812E+05 3.435E+11 6.985E+01
  9.125E+06 7.179E-03 1.300E-07 4.823E-01 1.280E+06 3.812E+05 4.143E+11 6.985E+01
  9.225E+06 5.875E-03 1.300E-07 5.639E-01 1.095E+06 3.812E+05 5.062E+11 6.985E+01
  9.325E+06 4.752E-03 1.300E-07 6.594E-01 9.364E+05 3.812E+05 6.258E+11 6.985E+01
  9.425E+06 3.799E-03 1.300E-07 7.710E-01 8.008E+05 3.812E+05 7.828E+11 6.985E+01
  9.525E+06 3.000E-03 1.300E-07 9.014E-01 6.850E+05 3.812E+05 9.915E+11 6.985E+01
  9.625E+06 2.335E-03 1.300E-07 1.054E+00 5.859E+05 3.812E+05 1.274E+12 6.985E+01
  9.725E+06 1.789E-03 1.300E-07 1.232E+00 5.012E+05 3.812E+05 1.662E+12 6.985E+01
  9.825E+06 1.346E-03 1.300E-07 1.440E+00 4.287E+05 3.812E+05 2.210E+12 6.985E+01
  9.925E+06 9.912E-04 1.300E-07 1.683E+00 3.668E+05 3.812E+05 3.001E+12 6.985E+01
