 1754.0 1770.0  0.5271  2.2562  0.9207
 1770.0 1786.0  0.5268  2.2577  0.9206
 1786.0 1802.0  0.5265  2.2593  0.9205
 1802.0 1818.0  0.5263  2.2608  0.9204
 1818.0 1835.0  0.5260  2.2624  0.9203
 1835.0 1852.0  0.5256  2.2640  0.9202
 1852.0 1869.0  0.5253  2.2657  0.9201
 1869.0 1887.0  0.5250  2.2673  0.9199
 1887.0 1905.0  0.5247  2.2691  0.9198
 1905.0 1923.0  0.5244  2.2708  0.9197
 1923.0 1942.0  0.5240  2.2725  0.9196
 1942.0 1961.0  0.5237  2.2744  0.9195
 1961.0 1980.0  0.5233  2.2762  0.9193
 1980.0 2000.0  0.5230  2.2780  0.9192
 2000.0 2020.0  0.5227  2.2798  0.9189
 2020.0 2041.0  0.5224  2.2816  0.9187
 2041.0 2062.0  0.5221  2.2834  0.9185
 2062.0 2083.0  0.5218  2.2853  0.9183
 2083.0 2105.0  0.5215  2.2872  0.9180
 2105.0 2128.0  0.5211  2.2892  0.9178
 2128.0 2151.0  0.5208  2.2912  0.9175
 2151.0 2174.0  0.5204  2.2933  0.9173
 2174.0 2200.0  0.5201  2.2954  0.9170
 2200.0 2222.0  0.5197  2.2977  0.9167
 2222.0 2247.0  0.5194  2.2997  0.9165
 2247.0 2273.0  0.5190  2.3019  0.9162
 2273.0 2299.0  0.5186  2.3042  0.9159
 2299.0 2326.0  0.5182  2.3066  0.9156
 2326.0 2353.0  0.5178  2.3090  0.9153
 2353.0 2381.0  0.5174  2.3114  0.9150
 2381.0 2410.0  0.5169  2.3139  0.9147
 2410.0 2439.0  0.5165  2.3170  0.9146
 2439.0 2469.0  0.5160  2.3200  0.9146
 2469.0 2500.0  0.5155  2.3232  0.9145
 2500.0 2532.0  0.5150  2.3265  0.9144
 2532.0 2564.0  0.5145  2.3299  0.9144
 2564.0 2597.0  0.5139  2.3333  0.9143
 2597.0 2632.0  0.5134  2.3368  0.9142
 2632.0 2667.0  0.5128  2.3406  0.9141
 2667.0 2703.0  0.5120  2.3432  0.9140
 2703.0 2740.0  0.5112  2.3457  0.9139
 2740.0 2778.0  0.5103  2.3483  0.9138
 2778.0 2817.0  0.5094  2.3509  0.9137
 2817.0 2857.0  0.5085  2.3536  0.9135
 2857.0 2899.0  0.5075  2.3564  0.9134
 2899.0 2941.0  0.5065  2.3593  0.9133
 2941.0 2985.0  0.5056  2.3622  0.9131
 2985.0 3030.0  0.5045  2.3640  0.9129
 3030.0 3077.0  0.5034  2.3655  0.9126
 3077.0 3125.0  0.5023  2.3669  0.9123
 3125.0 3175.0  0.5012  2.3685  0.9119
 3175.0 3225.0  0.5000  2.3700  0.9116
 3225.0 3275.0  0.4988  2.3716  0.9113
 3275.0 3325.0  0.4983  2.3757  0.9110
 3325.0 3375.0  0.5001  2.3878  0.9110
 3375.0 3425.0  0.5019  2.4000  0.9110
 3425.0 3450.0  0.5036  2.4121  0.9110
 3450.0 3550.0  0.5045  2.4182  0.9110
 3550.0 3650.0  0.5084  2.4426  0.9108
 3650.0 3750.0  0.5153  2.4682  0.9079
 3750.0 3850.0  0.5222  2.4939  0.9051
 3850.0 3950.0  0.5291  2.5196  0.9023
 3950.0 4050.0  0.5392  2.5516  0.8977
 4050.0 4150.0  0.5502  2.5856  0.8925
 4150.0 4250.0  0.5617  2.6194  0.8873
 4250.0 4350.0  0.5761  2.6524  0.8820
 4350.0 4450.0  0.5905  2.6854  0.8767
 4450.0 4550.0  0.6038  2.7022  0.8679
 4550.0 4650.0  0.6132  2.6615  0.8463
 4650.0 4750.0  0.6227  2.6208  0.8247
 4750.0 4850.0  0.6322  2.5800  0.8032
 4850.0 4950.0  0.6416  2.5393  0.7816
 4950.0 5050.0  0.6511  2.4986  0.7600
 5050.0 5150.0  0.6606  2.4578  0.7385
 5150.0 5250.0  0.6700  2.4171  0.7169
 5250.0 5350.0  0.6795  2.3763  0.6953
 5350.0 5450.0  0.6889  2.3356  0.6738
 5450.0 5550.0  0.6984  2.2949  0.6522
 5550.0 5650.0  0.7079  2.2541  0.6306
 5650.0 5750.0  0.7180  2.2175  0.6100
 5750.0 5850.0  0.7318  2.2040  0.5943
 5850.0 5950.0  0.7456  2.1905  0.5787
 5950.0 6050.0  0.7594  2.1771  0.5630
 6050.0 6150.0  0.7733  2.1636  0.5474
 6150.0 6250.0  0.7871  2.1501  0.5317
 6250.0 6350.0  0.8009  2.1366  0.5160
 6350.0 6450.0  0.8147  2.1232  0.5004
 6450.0 6550.0  0.8286  2.1097  0.4847
 6550.0 6650.0  0.8424  2.0962  0.4691
 6650.0 6750.0  0.8562  2.0828  0.4534
 6750.0 6850.0  0.8700  2.0693  0.4378
 6850.0 6950.0  0.8838  2.0558  0.4221
 6950.0 7050.0  0.8923  2.1216  0.4224
 7050.0 7150.0  0.8974  2.2360  0.4323
 7150.0 7250.0  0.9025  2.3504  0.4423
 7250.0 7350.0  0.9077  2.4648  0.4522
 7350.0 7450.0  0.9128  2.5793  0.4622
 7450.0 7550.0  0.9179  2.6937  0.4722
 7550.0 7650.0  0.9231  2.8081  0.4821
 7650.0 7750.0  0.9282  2.9225  0.4921
 7750.0 7850.0  0.9333  3.0369  0.5020
 7850.0 7950.0  0.9385  3.1513  0.5120
 7950.0 8050.0  0.9436  3.2657  0.5219
 8050.0 8150.0  0.9487  3.3801  0.5319
 8150.0 8250.0  0.9539  3.4945  0.5419
