 1754.0 1770.0  0.5404  2.1866  0.9248
 1770.0 1786.0  0.5402  2.1878  0.9247
 1786.0 1802.0  0.5400  2.1889  0.9246
 1802.0 1818.0  0.5398  2.1900  0.9246
 1818.0 1835.0  0.5396  2.1911  0.9245
 1835.0 1852.0  0.5394  2.1923  0.9245
 1852.0 1869.0  0.5392  2.1934  0.9244
 1869.0 1887.0  0.5390  2.1946  0.9244
 1887.0 1905.0  0.5387  2.1959  0.9243
 1905.0 1923.0  0.5385  2.1971  0.9242
 1923.0 1942.0  0.5383  2.1984  0.9242
 1942.0 1961.0  0.5380  2.1997  0.9241
 1961.0 1980.0  0.5378  2.2010  0.9240
 1980.0 2000.0  0.5376  2.2023  0.9239
 2000.0 2020.0  0.5374  2.2036  0.9238
 2020.0 2041.0  0.5372  2.2049  0.9236
 2041.0 2062.0  0.5370  2.2063  0.9235
 2062.0 2083.0  0.5368  2.2076  0.9233
 2083.0 2105.0  0.5366  2.2090  0.9231
 2105.0 2128.0  0.5364  2.2105  0.9230
 2128.0 2151.0  0.5362  2.2120  0.9228
 2151.0 2174.0  0.5359  2.2135  0.9226
 2174.0 2200.0  0.5357  2.2150  0.9225
 2200.0 2222.0  0.5355  2.2167  0.9223
 2222.0 2247.0  0.5353  2.2181  0.9221
 2247.0 2273.0  0.5350  2.2197  0.9219
 2273.0 2299.0  0.5348  2.2214  0.9217
 2299.0 2326.0  0.5345  2.2231  0.9215
 2326.0 2353.0  0.5343  2.2249  0.9213
 2353.0 2381.0  0.5340  2.2267  0.9211
 2381.0 2410.0  0.5337  2.2285  0.9209
 2410.0 2439.0  0.5333  2.2304  0.9209
 2439.0 2469.0  0.5329  2.2323  0.9210
 2469.0 2500.0  0.5324  2.2343  0.9210
 2500.0 2532.0  0.5320  2.2363  0.9210
 2532.0 2564.0  0.5315  2.2384  0.9211
 2564.0 2597.0  0.5310  2.2405  0.9211
 2597.0 2632.0  0.5305  2.2426  0.9212
 2632.0 2667.0  0.5300  2.2449  0.9212
 2667.0 2703.0  0.5294  2.2471  0.9214
 2703.0 2740.0  0.5287  2.2494  0.9216
 2740.0 2778.0  0.5280  2.2517  0.9218
 2778.0 2817.0  0.5273  2.2541  0.9221
 2817.0 2857.0  0.5266  2.2565  0.9223
 2857.0 2899.0  0.5259  2.2590  0.9226
 2899.0 2941.0  0.5251  2.2617  0.9229
 2941.0 2985.0  0.5243  2.2643  0.9231
 2985.0 3030.0  0.5235  2.2671  0.9234
 3030.0 3077.0  0.5228  2.2699  0.9236
 3077.0 3125.0  0.5220  2.2729  0.9239
 3125.0 3175.0  0.5212  2.2759  0.9241
 3175.0 3225.0  0.5203  2.2791  0.9244
 3225.0 3275.0  0.5194  2.2822  0.9247
 3275.0 3325.0  0.5186  2.2850  0.9249
 3325.0 3375.0  0.5176  2.2866  0.9247
 3375.0 3425.0  0.5166  2.2882  0.9246
 3425.0 3450.0  0.5157  2.2898  0.9244
 3450.0 3550.0  0.5152  2.2906  0.9244
 3550.0 3650.0  0.5134  2.2940  0.9239
