 1754.0 1770.0  0.5239  2.2723  0.9196
 1770.0 1786.0  0.5235  2.2739  0.9194
 1786.0 1802.0  0.5232  2.2756  0.9193
 1802.0 1818.0  0.5229  2.2772  0.9192
 1818.0 1835.0  0.5226  2.2788  0.9191
 1835.0 1852.0  0.5222  2.2806  0.9189
 1852.0 1869.0  0.5219  2.2823  0.9188
 1869.0 1887.0  0.5216  2.2841  0.9187
 1887.0 1905.0  0.5212  2.2859  0.9185
 1905.0 1923.0  0.5209  2.2878  0.9184
 1923.0 1942.0  0.5205  2.2896  0.9182
 1942.0 1961.0  0.5201  2.2915  0.9181
 1961.0 1980.0  0.5197  2.2935  0.9180
 1980.0 2000.0  0.5194  2.2954  0.9178
 2000.0 2020.0  0.5191  2.2974  0.9175
 2020.0 2041.0  0.5188  2.2994  0.9173
 2041.0 2062.0  0.5185  2.3015  0.9170
 2062.0 2083.0  0.5182  2.3036  0.9168
 2083.0 2105.0  0.5179  2.3058  0.9165
 2105.0 2128.0  0.5176  2.3080  0.9163
 2128.0 2151.0  0.5172  2.3103  0.9160
 2151.0 2174.0  0.5169  2.3126  0.9157
 2174.0 2200.0  0.5165  2.3149  0.9155
 2200.0 2222.0  0.5161  2.3175  0.9152
 2222.0 2247.0  0.5158  2.3197  0.9149
 2247.0 2273.0  0.5154  2.3222  0.9146
 2273.0 2299.0  0.5151  2.3248  0.9143
 2299.0 2326.0  0.5147  2.3275  0.9140
 2326.0 2353.0  0.5143  2.3302  0.9137
 2353.0 2381.0  0.5139  2.3329  0.9134
 2381.0 2410.0  0.5134  2.3357  0.9130
 2410.0 2439.0  0.5129  2.3387  0.9129
 2439.0 2469.0  0.5124  2.3417  0.9127
 2469.0 2500.0  0.5118  2.3447  0.9125
 2500.0 2532.0  0.5113  2.3479  0.9124
 2532.0 2564.0  0.5107  2.3512  0.9122
 2564.0 2597.0  0.5101  2.3545  0.9120
 2597.0 2632.0  0.5095  2.3579  0.9118
 2632.0 2667.0  0.5088  2.3615  0.9116
 2667.0 2703.0  0.5078  2.3632  0.9114
 2703.0 2740.0  0.5067  2.3645  0.9112
 2740.0 2778.0  0.5056  2.3659  0.9110
 2778.0 2817.0  0.5044  2.3673  0.9107
 2817.0 2857.0  0.5032  2.3687  0.9105
 2857.0 2899.0  0.5020  2.3702  0.9102
 2899.0 2941.0  0.5007  2.3717  0.9099
 2941.0 2985.0  0.4994  2.3733  0.9097
 2985.0 3030.0  0.4994  2.3802  0.9098
 3030.0 3077.0  0.4998  2.3891  0.9101
 3077.0 3125.0  0.5003  2.3985  0.9104
 3125.0 3175.0  0.5007  2.4080  0.9107
 3175.0 3225.0  0.5012  2.4179  0.9110
 3225.0 3275.0  0.5016  2.4278  0.9113
 3275.0 3325.0  0.5026  2.4393  0.9115
 3325.0 3375.0  0.5052  2.4560  0.9114
 3375.0 3425.0  0.5079  2.4727  0.9113
 3425.0 3450.0  0.5105  2.4894  0.9112
 3450.0 3550.0  0.5118  2.4977  0.9112
 3550.0 3650.0  0.5171  2.5302  0.9107
