 1754.0 1770.0  0.5377  2.2013  0.9240
 1770.0 1786.0  0.5375  2.2025  0.9239
 1786.0 1802.0  0.5372  2.2037  0.9239
 1802.0 1818.0  0.5370  2.2049  0.9238
 1818.0 1835.0  0.5368  2.2061  0.9237
 1835.0 1852.0  0.5366  2.2074  0.9237
 1852.0 1869.0  0.5363  2.2087  0.9236
 1869.0 1887.0  0.5361  2.2100  0.9235
 1887.0 1905.0  0.5358  2.2113  0.9234
 1905.0 1923.0  0.5356  2.2127  0.9234
 1923.0 1942.0  0.5353  2.2140  0.9233
 1942.0 1961.0  0.5351  2.2154  0.9232
 1961.0 1980.0  0.5348  2.2169  0.9231
 1980.0 2000.0  0.5346  2.2182  0.9230
 2000.0 2020.0  0.5344  2.2197  0.9228
 2020.0 2041.0  0.5342  2.2211  0.9227
 2041.0 2062.0  0.5339  2.2226  0.9225
 2062.0 2083.0  0.5337  2.2240  0.9223
 2083.0 2105.0  0.5335  2.2255  0.9222
 2105.0 2128.0  0.5333  2.2271  0.9220
 2128.0 2151.0  0.5330  2.2287  0.9218
 2151.0 2174.0  0.5328  2.2303  0.9216
 2174.0 2200.0  0.5325  2.2320  0.9214
 2200.0 2222.0  0.5322  2.2338  0.9212
 2222.0 2247.0  0.5320  2.2354  0.9210
 2247.0 2273.0  0.5317  2.2371  0.9208
 2273.0 2299.0  0.5315  2.2390  0.9206
 2299.0 2326.0  0.5312  2.2408  0.9204
 2326.0 2353.0  0.5309  2.2427  0.9202
 2353.0 2381.0  0.5306  2.2446  0.9200
 2381.0 2410.0  0.5303  2.2466  0.9197
 2410.0 2439.0  0.5299  2.2486  0.9197
 2439.0 2469.0  0.5294  2.2507  0.9197
 2469.0 2500.0  0.5289  2.2528  0.9198
 2500.0 2532.0  0.5284  2.2549  0.9198
 2532.0 2564.0  0.5279  2.2572  0.9198
 2564.0 2597.0  0.5273  2.2594  0.9198
 2597.0 2632.0  0.5268  2.2617  0.9199
 2632.0 2667.0  0.5262  2.2642  0.9199
 2667.0 2703.0  0.5256  2.2667  0.9201
 2703.0 2740.0  0.5249  2.2692  0.9203
 2740.0 2778.0  0.5242  2.2719  0.9205
 2778.0 2817.0  0.5235  2.2746  0.9207
 2817.0 2857.0  0.5227  2.2774  0.9210
 2857.0 2899.0  0.5220  2.2802  0.9212
 2899.0 2941.0  0.5212  2.2832  0.9215
 2941.0 2985.0  0.5204  2.2862  0.9217
 2985.0 3030.0  0.5195  2.2888  0.9219
 3030.0 3077.0  0.5186  2.2911  0.9220
 3077.0 3125.0  0.5176  2.2936  0.9221
 3125.0 3175.0  0.5166  2.2962  0.9222
 3175.0 3225.0  0.5155  2.2988  0.9223
 3225.0 3275.0  0.5145  2.3015  0.9224
 3275.0 3325.0  0.5137  2.3051  0.9225
