 1754.0 1770.0  0.4820  2.7149  0.8364
 1770.0 1786.0  0.4839  2.7271  0.8350
 1786.0 1802.0  0.4859  2.7392  0.8337
 1802.0 1818.0  0.4878  2.7514  0.8323
 1818.0 1835.0  0.4897  2.7636  0.8310
 1835.0 1852.0  0.4918  2.7765  0.8295
 1852.0 1869.0  0.4938  2.7894  0.8281
 1869.0 1887.0  0.4959  2.8024  0.8267
 1887.0 1905.0  0.4980  2.8161  0.8252
 1905.0 1923.0  0.5002  2.8298  0.8236
 1923.0 1942.0  0.5024  2.8435  0.8221
 1942.0 1961.0  0.5047  2.8579  0.8205
 1961.0 1980.0  0.5070  2.8724  0.8189
 1980.0 2000.0  0.5093  2.8857  0.8175
 2000.0 2020.0  0.5117  2.8992  0.8162
 2020.0 2041.0  0.5142  2.9126  0.8149
 2041.0 2062.0  0.5168  2.9266  0.8135
 2062.0 2083.0  0.5193  2.9407  0.8122
 2083.0 2105.0  0.5219  2.9548  0.8108
 2105.0 2128.0  0.5246  2.9695  0.8094
 2128.0 2151.0  0.5275  2.9850  0.8079
 2151.0 2174.0  0.5303  3.0004  0.8064
 2174.0 2200.0  0.5331  3.0158  0.8049
 2200.0 2222.0  0.5363  3.0332  0.8032
 2222.0 2247.0  0.5390  3.0480  0.8018
 2247.0 2273.0  0.5421  3.0648  0.8001
 2273.0 2299.0  0.5453  3.0822  0.7984
 2299.0 2326.0  0.5485  3.0996  0.7967
 2326.0 2353.0  0.5518  3.1177  0.7950
 2353.0 2381.0  0.5551  3.1358  0.7932
 2381.0 2410.0  0.5585  3.1546  0.7914
 2410.0 2439.0  0.5633  3.1822  0.7895
 2439.0 2469.0  0.5683  3.2108  0.7875
 2469.0 2500.0  0.5734  3.2404  0.7855
 2500.0 2532.0  0.5787  3.2710  0.7835
 2532.0 2564.0  0.5841  3.3026  0.7814
 2564.0 2597.0  0.5896  3.3341  0.7792
 2597.0 2632.0  0.5952  3.3667  0.7770
 2632.0 2667.0  0.6012  3.4012  0.7747
 2667.0 2703.0  0.6074  3.4045  0.7716
 2703.0 2740.0  0.6140  3.4012  0.7682
 2740.0 2778.0  0.6207  3.3978  0.7647
 2778.0 2817.0  0.6275  3.3944  0.7611
 2817.0 2857.0  0.6346  3.3909  0.7574
 2857.0 2899.0  0.6418  3.3872  0.7536
 2899.0 2941.0  0.6494  3.3834  0.7496
 2941.0 2985.0  0.6570  3.3796  0.7456
 2985.0 3030.0  0.6616  3.3748  0.7441
 3030.0 3077.0  0.6652  3.3697  0.7435
 3077.0 3125.0  0.6689  3.3644  0.7429
 3125.0 3175.0  0.6727  3.3589  0.7422
