CO2
Air:  
Temp:           100K            300K       
Angstroms       XS
1.330000E+03    7.279860E-19    8.009750E-19
1.340000E+03    7.020980E-19    7.676490E-19
1.350000E+03    6.040440E-19    6.485420E-19
1.360000E+03    5.783260E-19    6.118130E-19
1.370000E+03    5.249330E-19    5.458870E-19
1.380000E+03    4.917770E-19    5.059350E-19
1.390000E+03    4.838860E-19    4.904590E-19
1.400000E+03    5.020970E-19    5.080780E-19
1.410000E+03    5.144010E-19    5.198720E-19
1.420000E+03    5.244560E-19    5.314970E-19
1.430000E+03    5.378910E-19    5.537880E-19
1.440000E+03    5.418060E-19    5.668580E-19
1.450000E+03    5.451540E-19    5.663930E-19
1.460000E+03    5.240510E-19    5.447930E-19
1.470000E+03    4.990830E-19    5.257710E-19
1.480000E+03    4.891970E-19    5.241190E-19
1.490000E+03    4.726130E-19    5.133800E-19
1.500000E+03    4.461770E-19    4.862270E-19
1.510000E+03    4.166150E-19    4.516620E-19
1.520000E+03    3.650080E-19    4.048230E-19
1.530000E+03    3.312460E-19    3.746810E-19
1.540000E+03    3.081290E-19    3.516250E-19
1.550000E+03    2.761800E-19    3.172050E-19
1.560000E+03    2.276110E-19    2.643700E-19
1.570000E+03    2.038420E-19    2.378780E-19
1.580000E+03    1.854460E-19    2.172080E-19
1.590000E+03    1.461660E-19    1.755080E-19
1.600000E+03    1.202810E-19    1.510190E-19
1.610000E+03    1.091740E-19    1.375090E-19
1.620000E+03    8.596860E-20    1.090250E-19
1.630000E+03    7.799000E-20    9.964200E-20
1.640000E+03    6.197390E-20    8.051020E-20
1.650000E+03    4.644400E-20    6.077690E-20
1.660000E+03    3.621190E-20    4.839630E-20
1.670000E+03    3.027420E-20    4.229500E-20
1.680000E+03    2.121050E-20    3.060740E-20
1.690000E+03    1.875730E-20    2.765600E-20
1.700000E+03    1.479700E-20    2.112340E-20
1.710000E+03    1.040320E-20    1.642780E-20
1.720000E+03    7.861370E-21    1.279260E-20
1.730000E+03    5.505190E-21    9.956530E-21
1.740000E+03    4.124840E-21    7.867460E-21
1.750000E+03    3.124640E-21    5.356920E-21
1.760000E+03    2.365740E-21    4.202800E-21
1.770000E+03    1.647450E-21    3.263320E-21
1.780000E+03    1.349830E-21    2.495210E-21
1.790000E+03    9.507760E-22    1.833380E-21
1.800000E+03    6.412460E-22    1.417430E-21
1.810000E+03    5.506900E-22    1.041810E-21
1.820000E+03    2.924640E-22    6.833990E-22
1.830000E+03    3.010810E-22    5.840780E-22
1.840000E+03    1.286910E-22    3.589920E-22
1.850000E+03    1.540170E-22    3.373850E-22
1.860000E+03    6.453240E-23    1.952310E-22
1.870000E+03    8.906160E-23    1.792810E-22
1.880000E+03    4.094210E-23    1.045270E-22
1.890000E+03    4.317550E-23    9.423770E-23
1.900000E+03    2.413270E-23    5.847860E-23
1.910000E+03    2.155500E-23    4.454040E-23
1.920000E+03    2.236640E-23    3.457500E-23
1.930000E+03    2.398110E-23    2.398110E-23
1.940000E+03    1.878220E-23    1.878220E-23
1.950000E+03    1.237860E-23    1.237860E-23
1.960000E+03    9.780430E-24    9.780430E-24
