CH2CCH2
Air:  
Temp:           100K            300K            1000K 
Angstroms       XS
1.330000E+03    3.447250E-17    3.338710E-17    3.414420E-17
1.340000E+03    4.224940E-17    4.041030E-17    4.108070E-17
1.350000E+03    4.355310E-17    4.207990E-17    4.276380E-17
1.360000E+03    4.498260E-17    4.433050E-17    4.440000E-17
1.370000E+03    4.451500E-17    4.376560E-17    4.377460E-17
1.380000E+03    5.061300E-17    4.936350E-17    4.923220E-17
1.390000E+03    4.995900E-17    4.945620E-17    4.853090E-17
1.400000E+03    4.476820E-17    4.471150E-17    4.479920E-17
1.410000E+03    5.513690E-17    5.444560E-17    5.391120E-17
1.420000E+03    6.298970E-17    6.267420E-17    6.128470E-17
1.430000E+03    5.057940E-17    5.058110E-17    5.050550E-17
1.440000E+03    7.548260E-17    7.599290E-17    7.289550E-17
1.450000E+03    4.327310E-17    4.453830E-17    4.571640E-17
1.460000E+03    3.309540E-17    3.269840E-17    3.310010E-17
1.470000E+03    3.661610E-17    3.600750E-17    3.542590E-17
1.480000E+03    3.418850E-17    3.491560E-17    3.435900E-17
1.490000E+03    3.839800E-17    3.890700E-17    3.841310E-17
1.500000E+03    4.225200E-17    4.263630E-17    4.149420E-17
1.510000E+03    4.378830E-17    4.374800E-17    4.203850E-17
1.520000E+03    4.125040E-17    4.224560E-17    4.173510E-17
1.530000E+03    3.541960E-17    3.577200E-17    3.518610E-17
1.540000E+03    4.678880E-17    4.705750E-17    4.536490E-17
1.550000E+03    2.129350E-17    2.431500E-17    2.548740E-17
1.560000E+03    1.344600E-17    1.524990E-17    1.647780E-17
1.570000E+03    1.625830E-17    1.740070E-17    1.758960E-17
1.580000E+03    2.068880E-17    2.158900E-17    2.074340E-17
1.590000E+03    2.607910E-17    2.649330E-17    2.522370E-17
1.600000E+03    3.174340E-17    3.191050E-17    3.078580E-17
1.610000E+03    3.998680E-17    3.959270E-17    3.799220E-17
1.620000E+03    4.608060E-17    4.563730E-17    4.458330E-17
1.630000E+03    5.609350E-17    5.518990E-17    5.357390E-17
1.640000E+03    6.361880E-17    6.298750E-17    6.128430E-17
1.650000E+03    6.851790E-17    6.821910E-17    6.656790E-17
1.660000E+03    7.584150E-17    7.504290E-17    7.284680E-17
1.670000E+03    7.204910E-17    7.225720E-17    7.091990E-17
1.680000E+03    7.957610E-17    7.929920E-17    7.744440E-17
1.690000E+03    7.880520E-17    7.776300E-17    7.587530E-17
1.700000E+03    9.155820E-17    9.221750E-17    9.057350E-17
1.710000E+03    8.969510E-17    8.857930E-17    8.681220E-17
1.720000E+03    9.127630E-17    9.120510E-17    9.004380E-17
1.730000E+03    6.730220E-17    7.109160E-17    7.308890E-17
1.740000E+03    4.677660E-17    5.169830E-17    5.597090E-17
1.750000E+03    3.658940E-17    3.780520E-17    3.961510E-17
