#NUMBER OF AGES= 1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2696 1.6115E-02 1.6115E-02   0.00   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE= 4.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51
  47  0.870333  3.7257  4.5600 -0.3262  7.1492  6.5677  5.7107  5.2588  4.8690  4.3080  3.8992  3.8500  5.4148  5.9633
  48  0.881025  3.7298  4.5529 -0.2974  6.9988  6.4632  5.6249  5.1831  4.7998  4.2525  3.8551  3.8068  5.3365  5.8661
  49  0.891546  3.7337  4.5455 -0.2694  6.8559  6.3635  5.5430  5.1103  4.7329  4.1985  3.8119  3.7642  5.2612  5.7742
  50  0.901939  3.7374  4.5379 -0.2420  6.7209  6.2669  5.4637  5.0397  4.6681  4.1455  3.7682  3.7217  5.1882  5.6860
  51  0.912196  3.7409  4.5302 -0.2152  6.5923  6.1730  5.3867  4.9711  4.6052  4.0932  3.7246  3.6796  5.1172  5.6011
  52  0.919182  3.7433  4.5247 -0.1970  6.5072  6.1100  5.3350  4.9248  4.5627  4.0577  3.6945  3.6507  5.0694  5.5443
  53  0.926067  3.7455  4.5191 -0.1791  6.4247  6.0487  5.2844  4.8794  4.5209  4.0227  3.6649  3.6220  5.0226  5.4891
  54  0.932841  3.7477  4.5134 -0.1616  6.3451  5.9890  5.2353  4.8351  4.4801  3.9883  3.6355  3.5936  4.9768  5.4356
  55  0.939486  3.7498  4.5077 -0.1444  6.2684  5.9313  5.1874  4.7919  4.4401  3.9545  3.6065  3.5653  4.9321  5.3837
  56  0.945996  3.7518  4.5019 -0.1276  6.1942  5.8752  5.1407  4.7497  4.4010  3.9213  3.5778  3.5375  4.8887  5.3332
  57  0.952375  3.7537  4.4960 -0.1111  6.1229  5.8206  5.0954  4.7085  4.3628  3.8886  3.5495  3.5100  4.8461  5.2843
  58  0.958652  3.7556  4.4902 -0.0949  6.0536  5.7674  5.0511  4.6682  4.3253  3.8565  3.5214  3.4827  4.8045  5.2366
  59  0.964851  3.7573  4.4841 -0.0790  5.9861  5.7153  5.0075  4.6286  4.2884  3.8246  3.4936  3.4556  4.7636  5.1898
  60  0.971012  3.7591  4.4781 -0.0632  5.9201  5.6640  4.9645  4.5892  4.2518  3.7930  3.4658  3.4285  4.7233  5.1438
  61  0.977127  3.7608  4.4719 -0.0475  5.8556  5.6136  4.9222  4.5505  4.2157  3.7615  3.4381  3.4014  4.6833  5.0985
  62  0.983185  3.7625  4.4657 -0.0321  5.7927  5.5640  4.8805  4.5122  4.1799  3.7304  3.4105  3.3744  4.6439  5.0539
  63  0.989173  3.7640  4.4594 -0.0168  5.7315  5.5155  4.8394  4.4745  4.1447  3.6995  3.3831  3.3476  4.6052  5.0102
  64  0.995073  3.7656  4.4531 -0.0017  5.6719  5.4679  4.7991  4.4374  4.1100  3.6691  3.3560  3.3211  4.5671  4.9674
  65  1.000841  3.7671  4.4469  0.0130  5.6144  5.4216  4.7599  4.4013  4.0761  3.6392  3.3293  3.2949  4.5298  4.9257
  66  1.006396  3.7685  4.4407  0.0272  5.5597  5.3773  4.7221  4.3663  4.0433  3.6102  3.3033  3.2693  4.4940  4.8857
  67  1.011648  3.7698  4.4346  0.0408  5.5086  5.3355  4.6862  4.3331  4.0121  3.5825  3.2784  3.2449  4.4599  4.8481
  68  1.015515  3.7708  4.4301  0.0510  5.4712  5.3043  4.6595  4.3084  3.9888  3.5617  3.2597  3.2264  4.4344  4.8201
  69  1.018522  3.7716  4.4265  0.0591  5.4414  5.2795  4.6384  4.2887  3.9703  3.5453  3.2452  3.2121  4.4143  4.7979
  70  1.023125  3.7728  4.4210  0.0712  5.3967  5.2426  4.6066  4.2592  3.9426  3.5206  3.2228  3.1900  4.3839  4.7645
  71  1.028084  3.7739  4.4151  0.0839  5.3499  5.2036  4.5730  4.2279  3.9132  3.4942  3.1989  3.1666  4.3520  4.7292
  72  1.033102  3.7750  4.4090  0.0968  5.3034  5.1648  4.5393  4.1967  3.8836  3.4677  3.1748  3.1429  4.3199  4.6939
  73  1.038004  3.7762  4.4030  0.1093  5.2585  5.1270  4.5066  4.1661  3.8548  3.4418  3.1512  3.1196  4.2886  4.6596
  74  1.042616  3.7773  4.3973  0.1210  5.2162  5.0913  4.4755  4.1371  3.8274  3.4170  3.1286  3.0974  4.2589  4.6270
  75  1.046597  3.7782  4.3921  0.1317  5.1784  5.0592  4.4477  4.1113  3.8030  3.3950  3.1086  3.0776  4.2323  4.5979
  76  1.046129  3.7788  4.3927  0.1336  5.1664  5.0508  4.4422  4.1068  3.7996  3.3933  3.1080  3.0773  4.2275  4.5916
  77  1.049145  3.7796  4.3886  0.1425  5.1340  5.0236  4.4191  4.0855  3.7795  3.3754  3.0920  3.0615  4.2055  4.5674
  78  1.052746  3.7805  4.3840  0.1524  5.0979  4.9932  4.3936  4.0617  3.7573  3.3554  3.0739  3.0438  4.1811  4.5405
  79  1.056264  3.7814  4.3795  0.1620  5.0616  4.9625  4.3686  4.0387  3.7358  3.3364  3.0566  3.0269  4.1574  4.5141
  80  1.059446  3.7824  4.3754  0.1709  5.0273  4.9337  4.3455  4.0175  3.7160  3.3189  3.0409  3.0115  4.1353  4.4895
  81  1.062372  3.7832  4.3719  0.1793  4.9943  4.9062  4.3238  3.9977  3.6977  3.3029  3.0267  2.9977  4.1149  4.4665
  82  1.064781  3.7839  4.3688  0.1859  4.9692  4.8849  4.3069  3.9821  3.6831  3.2899  3.0150  2.9862  4.0987  4.4485
  83  1.067244  3.7845  4.3656  0.1926  4.9440  4.8636  4.2897  3.9663  3.6683  3.2767  3.0031  2.9745  4.0822  4.4305
  84  1.069789  3.7852  4.3624  0.1994  4.9184  4.8420  4.2723  3.9501  3.6531  3.2631  2.9908  2.9625  4.0655  4.4120
  85  1.072403  3.7858  4.3590  0.2063  4.8927  4.8203  4.2545  3.9336  3.6375  3.2492  2.9783  2.9501  4.0486  4.3933
  86  1.074911  3.7864  4.3559  0.2130  4.8680  4.7993  4.2376  3.9179  3.6228  3.2361  2.9664  2.9384  4.0323  4.3754
  87  1.077278  3.7870  4.3531  0.2193  4.8442  4.7793  4.2215  3.9030  3.6088  3.2236  2.9552  2.9273  4.0169  4.3584
  88  1.079509  3.7875  4.3504  0.2252  4.8214  4.7602  4.2061  3.8887  3.5954  3.2118  2.9446  2.9169  4.0022  4.3421
  89  1.081604  3.7882  4.3478  0.2310  4.7995  4.7420  4.1914  3.8751  3.5827  3.2005  2.9345  2.9070  3.9881  4.3266
  90  1.083578  3.7888  4.3454  0.2365  4.7787  4.7246  4.1772  3.8620  3.5703  3.1896  2.9249  2.8974  3.9745  4.3116
  91  1.085450  3.7893  4.3431  0.2418  4.7593  4.7084  4.1636  3.8492  3.5582  3.1789  2.9152  2.8878  3.9615  4.2973
  92  1.087223  3.7898  4.3408  0.2469  4.7415  4.6937  4.1503  3.8366  3.5461  3.1681  2.9056  2.8781  3.9486  4.2835
  93  1.088918  3.7903  4.3386  0.2518  4.7245  4.6794  4.1374  3.8243  3.5343  3.1576  2.8961  2.8685  3.9361  4.2701
  94  1.090556  3.7908  4.3362  0.2568  4.7081  4.6656  4.1247  3.8123  3.5228  3.1471  2.8867  2.8590  3.9239  4.2570
  95  1.092156  3.7913  4.3340  0.2616  4.6919  4.6521  4.1123  3.8004  3.5113  3.1369  2.8775  2.8497  3.9118  4.2440
