#NUMBER OF AGES= 1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2696 1.6115E-02 1.6115E-02   0.00   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE= 4.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51
 185  1.327289  3.7015  3.5324  0.7878  4.7095  3.9673  3.0149  2.5203  2.0842  1.4373  0.9678  0.9042  2.6848  3.2853
 186  1.328451  3.7006  3.5119  0.8052  4.6799  3.9310  2.9750  2.4785  2.0407  1.3909  0.9190  0.8549  2.6435  3.2468
 187  1.329592  3.6999  3.4913  0.8230  4.6479  3.8932  2.9337  2.4356  1.9962  1.3435  0.8692  0.8050  2.6008  3.2068
 188  1.330712  3.6991  3.4702  0.8414  4.6152  3.8544  2.8915  2.3915  1.9506  1.2949  0.8183  0.7539  2.5570  3.1658
 189  1.331808  3.6982  3.4486  0.8601  4.5809  3.8143  2.8479  2.3462  1.9038  1.2454  0.7663  0.7016  2.5122  3.1237
 190  1.332880  3.6974  3.4265  0.8794  4.5452  3.7730  2.8032  2.2998  1.8558  1.1946  0.7132  0.6483  2.4660  3.0802
 191  1.333926  3.6967  3.4040  0.8992  4.5083  3.7304  2.7572  2.2520  1.8065  1.1426  0.6588  0.5936  2.4186  3.0355
 192  1.334948  3.6959  3.3808  0.9195  4.4707  3.6870  2.7101  2.2031  1.7560  1.0892  0.6030  0.5375  2.3700  2.9897
 193  1.335949  3.6951  3.3572  0.9403  4.4318  3.6421  2.6616  2.1528  1.7041  1.0344  0.5459  0.4801  2.3201  2.9425
 194  1.336927  3.6943  3.3330  0.9617  4.3916  3.5958  2.6118  2.1012  1.6508  0.9783  0.4875  0.4213  2.2687  2.8939
 195  1.337879  3.6936  3.3082  0.9836  4.3503  3.5482  2.5606  2.0482  1.5962  0.9209  0.4276  0.3611  2.2161  2.8439
 196  1.338806  3.6927  3.2825  1.0061  4.3099  3.5000  2.5082  1.9939  1.5402  0.8617  0.3660  0.2991  2.1621  2.7930
 197  1.339705  3.6918  3.2562  1.0292  4.2685  3.4505  2.4545  1.9382  1.4827  0.8010  0.3030  0.2354  2.1068  2.7407
 198  1.340578  3.6909  3.2294  1.0529  4.2260  3.3997  2.3994  1.8812  1.4240  0.7389  0.2386  0.1704  2.0502  2.6871
 199  1.341420  3.6901  3.2017  1.0771  4.1836  3.3482  2.3433  1.8230  1.3638  0.6753  0.1725  0.1036  1.9923  2.6325
 200  1.342237  3.6890  3.1734  1.1018  4.1420  3.2963  2.2865  1.7638  1.3025  0.6101  0.1047  0.0351  1.9335  2.5775
 201  1.343021  3.6881  3.1445  1.1271  4.0971  3.2420  2.2275  1.7027  1.2396  0.5436  0.0358 -0.0345  1.8729  2.5201
 202  1.343776  3.6871  3.1150  1.1529  4.0533  3.1877  2.1681  1.6409  1.1757  0.4758 -0.0347 -0.1059  1.8115  2.4623
 203  1.344503  3.6860  3.0849  1.1791  4.0093  3.1325  2.1076  1.5780  1.1105  0.4068 -0.1066 -0.1787  1.7490  2.4038
 204  1.345204  3.6849  3.0536  1.2057  3.9684  3.0783  2.0473  1.5147  1.0447  0.3362 -0.1804 -0.2535  1.6862  2.3458
 205  1.345876  3.6837  3.0224  1.2327  3.9248  3.0224  1.9855  1.4502  0.9779  0.2649 -0.2548 -0.3288  1.6222  2.2862
 206  1.346520  3.6825  2.9903  1.2601  3.8823  2.9662  1.9232  1.3850  0.9100  0.1923 -0.3308 -0.4056  1.5573  2.2264
 207  1.347137  3.6813  2.9580  1.2879  3.8387  2.9091  1.8599  1.3188  0.8412  0.1191 -0.4075 -0.4832  1.4917  2.1656
 208  1.347728  3.6800  2.9247  1.3160  3.7973  2.8527  1.7968  1.2521  0.7719  0.0445 -0.4858 -0.5625  1.4256  2.1053
 209  1.348287  3.6788  2.8917  1.3445  3.7522  2.7937  1.7317  1.1840  0.7013 -0.0308 -0.5643 -0.6420  1.3581  2.0426
 210  1.348822  3.6774  2.8577  1.3733  3.7097  2.7358  1.6667  1.1158  0.6301 -0.1071 -0.6444 -0.7232  1.2903  1.9806
 211  1.349332  3.6758  2.8226  1.4023  3.6728  2.6802  1.6030  1.0479  0.5588 -0.1846 -0.7263 -0.8064  1.2231  1.9207
 212  1.349820  3.6744  2.7877  1.4315  3.6327  2.6228  1.5379  0.9792  0.4868 -0.2623 -0.8081 -0.8894  1.1549  1.8591
 213  1.350285  3.6729  2.7524  1.4610  3.5928  2.5654  1.4729  0.9101  0.4145 -0.3405 -0.8904 -0.9730  1.0865  1.7975
 214  1.350729  3.6715  2.7171  1.4904  3.5534  2.5081  1.4078  0.8411  0.3422 -0.4188 -0.9727 -1.0566  1.0181  1.7360
 215  1.351153  3.6699  2.6813  1.5200  3.5153  2.4511  1.3427  0.7720  0.2694 -0.4978 -1.0559 -1.1412  0.9495  1.6748
 216  1.351558  3.6683  2.6446  1.5505  3.4767  2.3929  1.2762  0.7012  0.1949 -0.5787 -1.1412 -1.2279  0.8792  1.6123
 217  1.351620  3.6680  2.6390  1.5551  3.4711  2.3841  1.2662  0.6904  0.1836 -0.5909 -1.1541 -1.2411  0.8686  1.6029
 218  1.351682  3.6677  2.6335  1.5597  3.4654  2.3754  1.2562  0.6798  0.1724 -0.6032 -1.1670 -1.2542  0.8580  1.5936
 219  1.351744  3.6675  2.6279  1.5643  3.4598  2.3668  1.2462  0.6691  0.1612 -0.6155 -1.1800 -1.2674  0.8474  1.5843
 220  1.351806  3.6672  2.6223  1.5689  3.4541  2.3580  1.2362  0.6584  0.1499 -0.6277 -1.1929 -1.2806  0.8368  1.5749
 221  1.351866  3.6670  2.6167  1.5735  3.4486  2.3493  1.2263  0.6478  0.1387 -0.6400 -1.2059 -1.2938  0.8263  1.5655
 222  1.351927  3.6668  2.6112  1.5781  3.4430  2.3406  1.2163  0.6371  0.1274 -0.6522 -1.2188 -1.3069  0.8156  1.5562
 223  1.351987  3.6665  2.6056  1.5827  3.4375  2.3320  1.2064  0.6264  0.1162 -0.6644 -1.2317 -1.3201  0.8052  1.5469
 224  1.352047  3.6663  2.5999  1.5873  3.4322  2.3234  1.1965  0.6158  0.1049 -0.6767 -1.2447 -1.3333  0.7947  1.5378
 225  1.352106  3.6660  2.5944  1.5919  3.4268  2.3149  1.1865  0.6052  0.0937 -0.6890 -1.2576 -1.3465  0.7841  1.5286
 226  1.352165  3.6657  2.5886  1.5965  3.4216  2.3063  1.1766  0.5946  0.0824 -0.7013 -1.2708 -1.3599  0.7735  1.5193
 227  1.352739  3.6634  2.5380  1.6383  3.3728  2.2286  1.0869  0.4985 -0.0194 -0.8124 -1.3882 -1.4795  0.6780  1.4359
 228  1.353262  3.6631  2.5265  1.6487  3.3540  2.2060  1.0625  0.4733 -0.0454 -0.8397 -1.4163 -1.5078  0.6530  1.4119
 229  1.353817  3.6649  2.5603  1.6218  3.3785  2.2528  1.1181  0.5339  0.0197 -0.7676 -1.3396 -1.4294  0.7132  1.4622
 230  1.354467  3.6638  2.5312  1.6470  3.3406  2.2012  1.0607  0.4739 -0.0424 -0.8339 -1.4085 -1.4993  0.6536  1.4070
 231  1.355082  3.6602  2.4586  1.7056  3.2832  2.0965  0.9371  0.3398 -0.1848 -0.9909 -1.5758 -1.6698  0.5209  1.2937
 232  1.355623  3.6569  2.3892  1.7615  3.2312  1.9984  0.8202  0.2127 -0.3203 -1.1404 -1.7357 -1.8330  0.3950  1.1876
 233  1.356103  3.6535  2.3228  1.8149  3.1851  1.9068  0.7102  0.0924 -0.4490 -1.2831 -1.8882 -1.9890  0.2759  1.0886
 234  1.356523  3.6506  2.2649  1.8611  3.1481  1.8293  0.6164 -0.0109 -0.5600 -1.4066 -2.0205 -2.1245  0.1735  1.0052
 235  1.356914  3.6476  2.2060  1.9080  3.1143  1.7527  0.5229 -0.1143 -0.6719 -1.5315 -2.1546 -2.2623  0.0709  0.9230
 236  1.357258  3.6441  2.1393  1.9609  3.0762  1.6661  0.4170 -0.2313 -0.7986 -1.6732 -2.3069 -2.4185 -0.0452  0.8293
 237  1.357566  3.6406  2.0736  2.0127  3.0421  1.5833  0.3149 -0.3447 -0.9222 -1.8117 -2.4560 -2.5717 -0.1578  0.7396
 238  1.357840  3.6371  2.0086  2.0637  3.0117  1.5036  0.2158 -0.4551 -1.0434 -1.9483 -2.6029 -2.7231 -0.2677  0.6534
 239  1.358086  3.6335  1.9441  2.1140  2.9858  1.4271  0.1199 -0.5622 -1.1626 -2.0829 -2.7481 -2.8730 -0.3748  0.5711
 240  1.358304  3.6299  1.8797  2.1640  2.9616  1.3526  0.0262 -0.6674 -1.2806 -2.2168 -2.8924 -3.0222 -0.4801  0.4905
 241  1.358499  3.6263  1.8176  2.2120  2.9400  1.2824 -0.0623 -0.7671 -1.3937 -2.3457 -3.0312 -3.1659 -0.5803  0.4145
 242  1.358674  3.6228  1.7576  2.2581  2.9212  1.2169 -0.1451 -0.8607 -1.5017 -2.4693 -3.1646 -3.3042 -0.6749  0.3437
 243  1.358832  3.6194  1.6985  2.3035  2.9034  1.1542 -0.2246 -0.9511 -1.6075 -2.5910 -3.2962 -3.4406 -0.7666  0.2758
 244  1.358973  3.6160  1.6410  2.3476  2.8868  1.0949 -0.3001 -1.0368 -1.7098 -2.7092 -3.4245 -3.5736 -0.8542  0.2113
 245  1.359103  3.6127  1.5841  2.3911  2.8699  1.0376 -0.3730 -1.1198 -1.8107 -2.8260 -3.5512 -3.7051 -0.9396  0.1482
 246  1.359219  3.6093  1.5288  2.4333  2.8540  0.9837 -0.4413 -1.1979 -1.9080 -2.9392 -3.6740 -3.8327 -1.0206  0.0887
 247  1.359324  3.6061  1.4742  2.4746  2.8405  0.9338 -0.5053 -1.2715 -2.0029 -3.0507 -3.7949 -3.9585 -1.0981  0.0332
 248  1.359420  3.6028  1.4210  2.5149  2.8290  0.8880 -0.5645 -1.3396 -2.0950 -3.1595 -3.9131 -4.0813 -1.1710 -0.0178
 249  1.359508  3.5996  1.3686  2.5543  2.8170  0.8450 -0.6205 -1.4045 -2.1848 -3.2662 -4.0290 -4.2023 -1.2411 -0.0664
 250  1.359590  3.5964  1.3173  2.5929  2.8035  0.8044 -0.6737 -1.4664 -2.2721 -3.3704 -4.1426 -4.3206 -1.3088 -0.1132
 251  1.359663  3.5933  1.2674  2.6304  2.7879  0.7661 -0.7243 -1.5257 -2.3565 -3.4712 -4.2527 -4.4355 -1.3736 -0.1585
 252  1.359731  3.5902  1.2182  2.6672  2.7716  0.7306 -0.7717 -1.5813 -2.4390 -3.5703 -4.3610 -4.5487 -1.4357 -0.2012
 253  1.359793  3.5871  1.1700  2.7032  2.7559  0.6981 -0.8144 -1.6321 -2.5187 -3.6671 -4.4667 -4.6593 -1.4941 -0.2406
 254  1.359850  3.5841  1.1230  2.7382  2.7408  0.6688 -0.8525 -1.6782 -2.5961 -3.7618 -4.5699 -4.7671 -1.5489 -0.2768
 255  1.359903  3.5811  1.0767  2.7726  2.7262  0.6416 -0.8868 -1.7198 -2.6717 -3.8549 -4.6708 -4.8728 -1.6006 -0.3109
 256  1.359953  3.5782  1.0316  2.8060  2.7121  0.6179 -0.9161 -1.7566 -2.7447 -3.9457 -4.7692 -4.9760 -1.6486 -0.3417
 257  1.359998  3.5753  0.9872  2.8386  2.6979  0.5980 -0.9402 -1.7886 -2.8152 -4.0347 -4.8656 -5.0771 -1.6932 -0.3695
 258  1.360041  3.5724  0.9437  2.8706  2.6846  0.5826 -0.9588 -1.8155 -2.8834 -4.1217 -4.9601 -5.1761 -1.7341 -0.3939
 259  1.360079  3.5695  0.9013  2.9017  2.6714  0.5713 -0.9720 -1.8369 -2.9492 -4.2067 -5.0524 -5.2729 -1.7713 -0.4154
 260  1.360116  3.5667  0.8596  2.9321  2.6592  0.5639 -0.9807 -1.8545 -3.0124 -4.2899 -5.1428 -5.3677 -1.8053 -0.4340
 261  1.360151  3.5640  0.8188  2.9618  2.6491  0.5614 -0.9840 -1.8679 -3.0724 -4.3715 -5.2314 -5.4606 -1.8360 -0.4487
 262  1.360183  3.5612  0.7788  2.9909  2.6400  0.5635 -0.9811 -1.8770 -3.1292 -4.4512 -5.3180 -5.5514 -1.8632 -0.4596
 263  1.360213  3.5585  0.7394  3.0193  2.6357  0.5716 -0.9732 -1.8829 -3.1830 -4.5296 -5.4031 -5.6406 -1.8876 -0.4676
 264  1.360241  3.5558  0.7010  3.0470  2.6314  0.5852 -0.9571 -1.8831 -3.2329 -4.6060 -5.4861 -5.7277 -1.9078 -0.4708
 265  1.360267  3.5532  0.6633  3.0742  2.6257  0.6043 -0.9319 -1.8762 -3.2801 -4.6809 -5.5676 -5.8134 -1.9238 -0.4692
 266  1.360291  3.5506  0.6266  3.1005  2.6170  0.6277 -0.8979 -1.8629 -3.3235 -4.7539 -5.6468 -5.8966 -1.9358 -0.4625
 267  1.360315  3.5480  0.5904  3.1265  2.6039  0.6653 -0.8397 -1.8314 -3.3609 -4.8265 -5.7255 -5.9792 -1.9369 -0.4414
 268  1.360336  3.5454  0.5550  3.1517  2.5805  0.7074 -0.7660 -1.7884 -3.3931 -4.8968 -5.8022 -6.0598 -1.9315 -0.4132
 269  1.360358  3.5430  0.5204  3.1764  2.5547  0.7557 -0.6806 -1.7384 -3.4200 -4.9659 -5.8776 -6.1390 -1.9210 -0.3772
 270  1.360377  3.5405  0.4864  3.2005  2.5275  0.8227 -0.5621 -1.6688 -3.4351 -5.0357 -5.9521 -6.2171 -1.8962 -0.3193
 271  1.360395  3.5381  0.4531  3.2241  2.5003  0.8960 -0.4317 -1.5944 -3.4433 -5.1050 -6.0252 -6.2934 -1.8664 -0.2523
 272  1.360414  3.5357  0.4207  3.2470  2.4763  0.9756 -0.2899 -1.5182 -3.4425 -5.1735 -6.0966 -6.3681 -1.8315 -0.1735
 273  1.360430  3.5334  0.3888  3.2696  2.4577  1.0587 -0.1424 -1.4461 -3.4328 -5.2411 -6.1670 -6.4418 -1.7943 -0.0835
 274  1.360447  3.5311  0.3575  3.2916  2.4417  1.1393 -0.0014 -1.3805 -3.4205 -5.3065 -6.2355 -6.5136 -1.7587  0.0070
 275  1.360461  3.5288  0.3270  3.3130  2.4288  1.2148  0.1277 -1.3238 -3.4076 -5.3694 -6.3019 -6.5837 -1.7267  0.0947
 276  1.360476  3.5266  0.2972  3.3340  2.4186  1.2841  0.2421 -1.2767 -3.3950 -5.4294 -6.3663 -6.6515 -1.6990  0.1777
 277  1.360489  3.5244  0.2683  3.3543  2.4117  1.3473  0.3408 -1.2387 -3.3828 -5.4865 -6.4283 -6.7172 -1.6756  0.2553
 278  1.360503  3.5221  0.2399  3.3737  2.4123  1.4041  0.4142 -1.2126 -3.3724 -5.5396 -6.4875 -6.7800 -1.6577  0.3248
