
Int #22
 T=112K
  1.00000E+00  1.30002E-02  8.41485E-02  7.59571E-01  2.44657E+00  5.66111E+00  1.45365E+01

Int #25
 T=112K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  4.88858E-04  1.02092E-02  9.79214E-02  1.07142E+01  1.32817E+02  6.13351E+02
  1.00000E-03  5.27973E-03  9.52663E-02  6.34278E-01  1.19948E+01  1.25070E+02  7.43907E+02
  1.00000E-02  5.13893E-02  8.37961E-01  4.62706E+00  2.53441E+01  1.41758E+02  5.64726E+02
  1.00000E-01  4.63290E-01  5.56045E+00  2.72529E+01  7.12158E+01  1.61893E+02  3.80613E+02
  1.00000E+00  1.88385E+00  1.34147E+01  4.97382E+01  9.90981E+01  1.57218E+02  2.55649E+02
 T=188K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  1.56537E-03  2.12172E-02  8.51339E-01  4.65425E+01  2.77629E+02  8.51990E+02
  1.00000E-03  1.49546E-02  1.95433E-01  2.13075E+00  4.16351E+01  3.21767E+02  8.16101E+02
  1.00000E-02  1.45418E-01  1.68212E+00  8.77952E+00  5.99936E+01  2.78879E+02  8.64796E+02
  1.00000E-01  1.42940E+00  1.36516E+01  4.76455E+01  1.21133E+02  2.81442E+02  6.26120E+02
  1.00000E+00  8.04786E+00  3.77929E+01  1.00178E+02  1.71153E+02  2.50912E+02  3.87382E+02
 T=295K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  1.74221E-03  2.24974E-02  4.88931E+00  7.55318E+01  3.00721E+02  8.06685E+02
  1.00000E-03  1.77090E-02  1.98210E-01  5.66785E+00  8.63959E+01  2.86593E+02  8.78873E+02
  1.00000E-02  1.67731E-01  1.78664E+00  1.18792E+01  8.55747E+01  3.09021E+02  8.57626E+02
  1.00000E-01  1.70926E+00  1.43312E+01  4.93173E+01  1.31046E+02  2.94231E+02  6.47813E+02
  1.00000E+00  1.23205E+01  4.95931E+01  1.08338E+02  1.74972E+02  2.57238E+02  4.03557E+02

Int #26
 T=112K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  3.80203E-07  7.84820E-06  3.60320E-04  1.86536E-02  1.64548E+00  2.17792E+01
  1.00000E-03  3.84315E-06  7.69720E-05  2.97981E-03  6.30500E-02  1.85870E+00  2.12819E+01
  1.00000E-02  3.84522E-05  7.07008E-04  2.12360E-02  2.90920E-01  2.57348E+00  2.10084E+01
  1.00000E-01  3.77308E-04  7.73723E-03  1.29469E-01  1.26701E+00  5.24638E+00  1.58154E+01
  1.00000E+00  3.73333E-03  3.88874E-02  2.30732E-01  2.66742E+00  6.20933E+00  1.29500E+01
 T=188K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  1.71280E-06  3.91031E-05  1.48984E-03  2.36577E-01  7.48792E+00  6.15106E+01
  1.00000E-03  1.72477E-05  3.89647E-04  1.13500E-02  3.31647E-01  6.80669E+00  6.41955E+01
  1.00000E-02  1.72932E-04  3.57414E-03  7.91410E-02  9.00928E-01  8.43832E+00  5.83429E+01
  1.00000E-01  1.72498E-03  3.43104E-02  4.90965E-01  3.32577E+00  1.38775E+01  4.60996E+01
  1.00000E+00  1.68765E-02  2.14167E-01  9.82046E-01  6.83385E+00  1.69545E+01  3.35869E+01
 T=295K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  3.04542E-06  6.52509E-05  2.48009E-03  8.90781E-01  1.30461E+01  8.36478E+01
  1.00000E-03  3.13444E-05  6.19597E-04  1.90652E-02  9.40459E-01  1.46267E+01  7.68225E+01
  1.00000E-02  3.14599E-04  5.79066E-03  1.26254E-01  1.51462E+00  1.37279E+01  7.75594E+01
  1.00000E-01  3.12647E-03  5.60122E-02  7.43363E-01  4.42623E+00  1.87483E+01  6.60596E+01
  1.00000E+00  3.10261E-02  4.11980E-01  1.60841E+00  8.52803E+00  2.15091E+01  4.81834E+01

Int #27
 T=112K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  9.50250E-08  9.03975E-07  1.09915E-04  1.61550E-02  8.67456E-01  3.48253E+02
  1.00000E-03  9.64099E-07  9.02525E-06  9.25578E-04  1.24582E-01  2.91432E+00  2.90229E+02
  1.00000E-02  9.52589E-06  8.97014E-05  8.66395E-03  1.04306E+00  1.49550E+01  3.78504E+02
  1.00000E-01  9.25257E-05  8.93447E-04  6.88279E-02  8.65815E+00  5.77288E+01  4.64767E+02
  1.00000E+00  8.81451E-04  5.85563E-03  1.51825E-01  2.69132E+01  9.82741E+01  6.19398E+02
 T=188K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  1.06830E-06  1.07977E-05  2.32639E-03  5.37353E-02  1.81055E+01  9.78155E+02
  1.00000E-03  1.08090E-05  1.04121E-04  2.05569E-02  4.72961E-01  2.23935E+01  1.06023E+03
  1.00000E-02  1.05580E-04  1.08462E-03  1.45097E-01  3.49026E+00  4.53795E+01  9.69366E+02
  1.00000E-01  1.05413E-03  1.08542E-02  1.27046E+00  2.52322E+01  1.48955E+02  9.73357E+02
  1.00000E+00  1.09338E-02  9.85416E-02  2.95955E+00  9.67115E+01  2.49104E+02  8.53800E+02
 T=295K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  1.67551E-06  2.60240E-05  5.66988E-03  8.64165E-02  8.48398E+01  1.36282E+03
  1.00000E-03  1.69164E-05  2.77653E-04  5.27776E-02  6.43493E-01  8.17750E+01  1.33386E+03
  1.00000E-02  1.68231E-04  2.93045E-03  5.00397E-01  5.52170E+00  1.03760E+02  1.43465E+03
  1.00000E-01  1.67943E-03  2.94720E-02  4.52777E+00  3.72504E+01  2.09139E+02  1.29485E+03
  1.00000E+00  1.59964E-02  2.74587E-01  1.37413E+01  1.38880E+02  3.36572E+02  9.68672E+02

Int #28
 T=112K
  Pressure     K1           K2           K3           K4           K5           K6
  1.00000E-04  1.27929E-03  6.91539E-03  4.37291E-02  7.95480E-01  6.98687E+01  1.13936E+03
  1.00000E-03  1.32096E-02  6.99354E-02  3.48727E-01  2.88908E+00  8.36844E+01  1.03380E+03
