    SIZE INTERVAL   1
   WAVl        QEXT      W0      gf
       1.9380      5.2383039e-05      7.3161213e-10     5.9170213e-08
       1.7707      5.2592549e-05      1.0446052e-09     7.0149760e-08
       1.6240      5.5265792e-05      1.3795369e-09     8.3026073e-08
       1.4948      5.0042748e-05      2.1566719e-09     9.8781010e-08
       1.3661      4.9315236e-05      3.1702993e-09     1.1859298e-07
       1.2527      4.8250538e-05      4.5202000e-09     1.4071526e-07
       1.1652      5.1800929e-05      5.6386411e-09     1.6238682e-07
       1.0989      5.7273000e-05      6.4436521e-09     1.8242887e-07
       1.0526      5.5764368e-05      7.8596603e-09     1.9929844e-07
       0.9975      5.8611964e-05      9.2702189e-09     2.2192593e-07
       0.9251      6.5947110e-05      1.1139806e-08     2.5774550e-07
       0.8662      7.3366045e-05      1.3030389e-08     2.9382033e-07
       0.8110      8.5251968e-05      1.4083939e-08     3.3289435e-07
       0.7678      1.0005452e-04      1.4950033e-08     3.7139802e-07
       0.7202      1.1640100e-04      1.7219845e-08     4.2515830e-07
       0.6787      1.3483121e-04      1.8867665e-08     4.7887907e-07
    SIZE INTERVAL   3
   WAVl        QEXT      W0      gf
     500.0000      4.9630260e-06      7.3472240e-17     6.5706687e-06
     142.8571      1.5333243e-05      6.1003560e-15     3.2320934e-07
      76.9231      1.9192181e-05      6.4458807e-14    -3.1685157e-07
      52.6316      3.6095055e-05      1.5955066e-13    -1.1118711e-07
      40.0000      6.1599659e-05      2.7636482e-13    -4.9747913e-08
      32.7869      8.4435952e-05      4.1342226e-13     2.3683547e-09
      28.1690      9.0393600e-05      7.4530262e-13     1.2235144e-08
      24.3902      8.8915247e-05      1.3925046e-12     2.7441347e-09
      21.6216      8.6607999e-05      2.2790850e-12    -1.8477536e-09
      19.2308      8.0272308e-05      3.9720953e-12     3.0400172e-09
      17.2117      8.8481235e-05      5.6462404e-12    -3.4672737e-09
      15.5763      1.2287818e-04      6.1964328e-12    -2.4829774e-09
      14.4196      1.5501164e-04      6.6174430e-12    -1.7875330e-09
      13.1579      2.2028415e-04      6.4440467e-12    -3.3526712e-09
      11.9403      3.1445601e-04      5.1393833e-12     2.4602252e-10
      11.0193      3.3792694e-04      4.5724805e-12     4.7251427e-09
      10.3093      3.5238892e-04      5.5207316e-12     2.0594704e-09
       9.6852      3.7973091e-04      7.3094672e-12     2.7839526e-09
       9.2039      4.0225731e-04      9.0758107e-12     3.3426664e-09
       8.6655      4.2538192e-04      1.1847365e-11     3.5871759e-09
       8.0808      4.2262693e-04      1.9155930e-11     8.6940473e-10
       7.6190      4.1400004e-04      2.8357916e-11    -1.4665441e-09
