   1   1.2570E+01   2.0749E+01   7.6205E+00   1.7143E+01   8.5540E+00   2.8313E+01   1.3686E+01   3.1524E+01   5.2766E+02   1.0401E+02   1.5895E+03   1.0569E+03   2376.   2750.
   2   9.3334E+00   2.3045E+01   1.1271E+01   2.3595E+01   2.3533E+01   4.2483E+01   1.9148E+01   3.7717E+01   3.0849E+02   9.3108E+01   7.7106E+02   6.7586E+02   2750.   2850.
   3   1.5053E+01   8.2353E+00   2.6080E+01   6.2272E+01   5.0524E+00   5.9068E+01   3.5343E+01   1.0505E+02   1.8656E+03   4.2871E+02   4.6127E+03   5.9948E+03   2850.   3071.
   4   2.2376E+01   3.0547E+00   4.3243E+01   9.7857E+01   4.7635E+01   8.2196E+01   5.7631E+01   1.6500E+02   2.6036E+03   7.1663E+02   4.9945E+03   6.5037E+03   3071.   3200.
   5   3.0228E+01   3.9342E+00   5.4926E+01   1.8795E+02   6.9346E+01   1.1571E+02   7.7735E+01   1.8056E+02   2.0017E+03   5.3435E+02   4.1948E+03   5.2074E+03   3200.   3292.
   6   1.0940E+02   1.2582E+01   1.7384E+02   2.8367E+02   1.0900E+02   2.9979E+02   2.0639E+02   4.9627E+02   3.7179E+03   1.2763E+03   6.8122E+03   6.8009E+03   3292.   3412.
   7   9.8483E+02   1.4986E+02   1.5285E+03   1.5838E+03   5.5147E+02   2.1159E+03   1.5976E+03   3.5418E+03   1.7006E+04   6.9652E+03   3.0000E+04   2.9008E+04   3412.   3900.
   8   3.2008E+03   5.2074E+02   5.6001E+03   7.0961E+03   1.7291E+03   7.5009E+03   5.7841E+03   1.3404E+04   4.9912E+04   2.7494E+04   7.1182E+04   6.9004E+04   3900.   4500.
   9   1.2412E+04   4.0151E+03   2.3274E+04   2.6381E+04   8.5655E+03   2.7244E+04   2.1434E+04   4.9356E+04   1.2291E+05   8.2079E+04   1.4494E+05   1.4500E+05   4500.   5400.
  10   1.9464E+03   7.1351E+02   3.7148E+03   3.8780E+03   1.4125E+03   4.0977E+03   3.3177E+03   7.5869E+03   1.4120E+04   1.0506E+04   1.4807E+04   1.5204E+04   5400.   5495.
