# 
# HITRAN 2016, longwave, created with HELIOS-K by Eric T. Wolf
# Interval    (1= 0-40 cm-1, 2 = 40-100 cm-1, ......, 55 = 14470 - 150000 cm-1)
# Temperature (100,150,200,250,300,350,400,600)
# P(bar)    K1  K2 ....K8 (cm^2/molecule)
 
Quadrature weights w(quad)        Quadrature abscissas (g) 
   1.65231051440290516E-01           6.59602519928250280E-02
   3.09768948559709378E-01           3.13509004297193250E-01
   3.09768948559709378E-01           6.36490995702806650E-01
   1.65231051440290516E-01           8.84039748007174886E-01
   8.69637112843634277E-03           9.53471592210148655E-01
   1.63036288715636482E-02           9.66500473910378632E-01
   1.63036288715636482E-02           9.83499526089621323E-01
   8.69637112843634277E-03           9.96528407789851300E-01
!-------------------------------------------------------------------------------------------------------------------------- 
 
100.00000   3.05742E-22 1.57491E-21 6.54351E-21 1.59858E-20 2.05866E-20 2.10842E-20 2.16694E-20 2.20776E-20
 
          1
          350.0
  0.00001   5.02961E-29 1.43048E-27 1.19140E-26 2.15985E-25 1.26869E-24 2.50172E-24 1.16940E-23 1.16592E-20
  0.00010   5.02936E-28 1.42963E-26 1.18707E-25 2.14960E-24 1.25645E-23 2.48746E-23 1.12393E-22 4.53230E-20
  0.00100   5.02447E-27 1.42814E-25 1.18570E-24 2.13761E-23 1.23350E-22 2.42511E-22 1.05943E-21 2.76267E-19
  0.01000   5.00532E-26 1.42483E-24 1.18016E-23 2.09073E-22 1.20799E-21 2.34107E-21 9.87146E-21 6.61312E-19
  0.10000   4.96268E-25 1.41137E-23 1.14360E-22 1.87985E-21 1.01695E-20 1.90859E-20 7.15883E-20 8.58945E-19
  1.00000   4.74162E-24 1.32897E-22 8.99598E-22 1.29620E-20 5.58255E-20 8.04007E-20 1.40935E-19 3.68578E-19
 10.00000   4.21358E-23 8.27289E-22 4.43011E-21 2.57242E-20 5.93053E-20 6.20717E-20 6.66724E-20 7.21630E-20
100.00000   2.13499E-22 1.19122E-21 5.11489E-21 1.34139E-20 1.76179E-20 1.80442E-20 1.85253E-20 1.88440E-20
 
          1
          400.0
  0.00001   3.48734E-29 1.04794E-27 8.86817E-27 1.58682E-25 9.16436E-25 1.84532E-24 8.56069E-24 1.39251E-20
  0.00010   3.48664E-28 1.04671E-26 8.82121E-26 1.57725E-24 9.09826E-24 1.82234E-23 8.29619E-23 3.82901E-20
  0.00100   3.48408E-27 1.04547E-25 8.78473E-25 1.56412E-23 8.95635E-23 1.80456E-22 7.83692E-22 2.06521E-19
  0.01000   3.47073E-26 1.04261E-24 8.74277E-24 1.52394E-22 8.63725E-22 1.73218E-21 7.18100E-21 4.87473E-19
  0.10000   3.43715E-25 1.02793E-23 8.45508E-23 1.35813E-21 7.18954E-21 1.38263E-20 5.11497E-20 6.68616E-19
  1.00000   3.24092E-24 9.70665E-23 6.49539E-22 9.21372E-21 4.07573E-20 6.05703E-20 1.08299E-19 3.06927E-19
 10.00000   2.89961E-23 5.88490E-22 3.25294E-21 1.98125E-20 4.73886E-20 5.02509E-20 5.49533E-20 6.07876E-20
100.00000   1.54248E-22 9.23029E-22 4.04472E-21 1.12970E-20 1.51575E-20 1.55290E-20 1.59308E-20 1.61819E-20
 
          1
          600.0
  0.00001   1.22245E-29 4.38537E-28 3.92131E-27 6.96360E-26 4.17477E-25 8.31620E-25 3.83467E-24 2.05826E-20
  0.00010   1.22210E-28 4.38215E-27 3.90194E-26 6.80221E-25 3.98248E-24 7.79410E-24 3.36483E-23 2.85331E-20
  0.00100   1.22061E-27 4.37235E-26 3.88376E-25 6.60127E-24 3.80579E-23 7.45944E-23 3.20022E-22 8.52395E-20
  0.01000   1.21469E-26 4.33800E-25 3.80804E-24 6.30793E-23 3.64733E-22 6.91535E-22 2.74675E-21 1.85782E-19
  0.10000   1.19514E-25 4.19195E-24 3.56015E-23 5.26776E-22 2.72238E-21 5.09162E-21 1.79486E-20 2.90468E-19
  1.00000   1.07447E-24 3.81103E-23 2.64057E-22 3.12713E-21 1.42492E-20 2.37306E-20 4.56306E-20 1.58626E-19
 10.00000   9.08750E-24 2.20420E-22 1.18726E-21 8.28882E-21 2.20208E-20 2.46922E-20 2.85890E-20 3.41274E-20
100.00000   5.39097E-23 4.00938E-22 1.79152E-21 6.03300E-21 8.82279E-21 9.05952E-21 9.27576E-21 9.37512E-21
 
          2
          100.0
  0.00001   1.31517E-25 4.51213E-25 2.26699E-24 2.34528E-23 1.33214E-22 2.62719E-22 1.27281E-21 1.46481E-16
  0.00010   1.31517E-24 4.51083E-24 2.26258E-23 2.32847E-22 1.31117E-21 2.60391E-21 1.25399E-20 1.56483E-16
  0.00100   1.31444E-23 4.50694E-23 2.25776E-22 2.31865E-21 1.29512E-20 2.56703E-20 1.22745E-19 7.04147E-17
  0.01000   1.31195E-22 4.49894E-22 2.24748E-21 2.28900E-20 1.26708E-19 2.46712E-19 1.12471E-18 3.54576E-17
  0.10000   1.30345E-21 4.45574E-21 2.19188E-20 2.00111E-19 9.37685E-19 1.65427E-18 4.99496E-18 2.65429E-17
  1.00000   1.26274E-20 4.01882E-20 1.54324E-19 7.86518E-19 2.20937E-18 2.90551E-18 4.31044E-18 7.02564E-18
 10.00000   8.55444E-20 1.67425E-19 3.57512E-19 7.26853E-19 8.81468E-19 9.09813E-19 9.85527E-19 1.01859E-18
100.00000   4.85016E-20 6.44871E-20 8.48714E-20 1.18525E-19 1.22514E-19 1.22748E-19 1.22941E-19 1.23008E-19
 
          2
          150.0
  0.00001   8.15819E-26 3.24934E-25 1.56961E-24 1.59837E-23 8.68122E-23 1.76363E-22 8.46315E-22 9.45809E-17
  0.00010   8.15760E-25 3.24820E-24 1.56622E-23 1.58444E-22 8.49757E-22 1.70503E-21 8.13558E-21 9.34202E-17
  0.00100   8.15718E-24 3.24606E-23 1.56315E-22 1.56508E-21 8.38067E-21 1.68244E-20 8.06608E-20 4.46157E-17
  0.01000   8.14376E-23 3.24028E-22 1.55430E-21 1.54308E-20 8.18196E-20 1.63192E-19 7.52523E-19 2.45788E-17
  0.10000   8.10007E-22 3.19570E-21 1.51256E-20 1.38463E-19 6.63440E-19 1.14438E-18 3.31189E-18 1.77059E-17
  1.00000   7.69825E-21 2.95189E-20 1.14595E-19 5.02625E-19 1.41155E-18 1.89114E-18 2.90915E-18 5.19298E-18
 10.00000   5.13438E-20 1.17645E-19 2.57235E-19 5.32803E-19 6.57474E-19 6.79714E-19 7.06465E-19 7.39219E-19
100.00000   4.51158E-20 6.59588E-20 9.83215E-20 1.45847E-19 1.50845E-19 1.51091E-19 1.51290E-19 1.51357E-19
 
          2
          200.0
  0.00001   5.59462E-26 2.42759E-25 1.09601E-24 1.14819E-23 6.12707E-23 1.25283E-22 6.18486E-22 5.97004E-17
  0.00010   5.59288E-25 2.42597E-24 1.09444E-23 1.13341E-22 6.02454E-22 1.21413E-21 5.70017E-21 5.81978E-17
  0.00100   5.59116E-24 2.42427E-23 1.09116E-22 1.11702E-21 5.87319E-21 1.18175E-20 5.53560E-20 2.99992E-17
  0.01000   5.58035E-23 2.41956E-22 1.08496E-21 1.08993E-20 5.68019E-20 1.14804E-19 5.26067E-19 1.82703E-17
  0.10000   5.54168E-22 2.39285E-21 1.05351E-20 9.88830E-20 4.67652E-19 8.39125E-19 2.42498E-18 1.26197E-17
  1.00000   5.24064E-21 2.17088E-20 8.47993E-20 3.65087E-19 9.86008E-19 1.27305E-18 2.03728E-18 3.96831E-18
 10.00000   3.64702E-20 8.53056E-20 1.95488E-19 3.79672E-19 5.23615E-19 5.44172E-19 5.89312E-19 6.23478E-19
100.00000   3.80939E-20 5.92799E-20 9.38468E-20 1.44919E-19 1.52253E-19 1.52423E-19 1.52512E-19 1.52536E-19
 
          2
          250.0
  0.00001   4.07226E-26 1.84344E-25 8.06960E-25 8.66641E-24 4.71593E-23 9.47253E-23 4.69578E-22 3.93726E-17
  0.00010   4.06924E-25 1.84207E-24 8.04927E-24 8.47981E-23 4.57635E-22 9.25046E-22 4.30269E-21 3.76142E-17
  0.00100   4.06862E-24 1.84061E-23 8.02622E-23 8.37020E-22 4.47418E-21 8.93994E-21 4.09319E-20 2.13405E-17
  0.01000   4.05997E-23 1.83634E-22 7.98308E-22 8.14911E-21 4.22417E-20 8.37460E-20 3.87665E-19 1.42220E-17
  0.10000   4.02804E-22 1.81538E-21 7.69505E-21 7.27201E-20 3.49072E-19 6.43260E-19 1.89023E-18 9.44948E-18
  1.00000   3.76910E-21 1.65532E-20 6.26036E-20 2.85830E-19 7.59332E-19 9.32213E-19 1.47709E-18 3.09844E-18
 10.00000   2.66212E-20 6.63063E-20 1.54095E-19 2.77312E-19 4.09117E-19 4.46015E-19 5.04026E-19 5.40526E-19
100.00000   3.15536E-20 5.15886E-20 8.40985E-20 1.32909E-19 1.43858E-19 1.44743E-19 1.45384E-19 1.45505E-19
 
          2
          300.0
  0.00001   3.09969E-26 1.43061E-25 6.24098E-25 6.82582E-24 3.73657E-23 7.76782E-23 3.71511E-22 2.63995E-17
  0.00010   3.09704E-25 1.42749E-24 6.21094E-24 6.67761E-23 3.56668E-22 7.22943E-22 3.41846E-21 2.45277E-17
  0.00100   3.09608E-24 1.42592E-23 6.18567E-23 6.53977E-22 3.45435E-21 7.04581E-21 3.24090E-20 1.59285E-17
  0.01000   3.09158E-23 1.42226E-22 6.15577E-22 6.35521E-21 3.28744E-20 6.53862E-20 2.94096E-19 1.14632E-17
  0.10000   3.06771E-22 1.40370E-21 5.89891E-21 5.57491E-20 2.67907E-19 4.94038E-19 1.51724E-18 7.41702E-18
  1.00000   2.85028E-21 1.27934E-20 4.75361E-20 2.30766E-19 6.07668E-19 7.38764E-19 1.12089E-18 2.47654E-18
 10.00000   1.97848E-20 5.39313E-20 1.23069E-19 2.12934E-19 3.25195E-19 3.75510E-19 4.27528E-19 4.63568E-19
100.00000   2.61631E-20 4.46622E-20 7.39339E-20 1.18453E-19 1.31398E-19 1.32945E-19 1.34458E-19 1.35099E-19
 
          2
          350.0
  0.00001   2.43063E-26 1.14076E-25 5.03692E-25 5.58472E-24 3.08218E-23 6.56064E-23 3.21237E-22 1.81450E-17
  0.00010   2.42905E-25 1.13766E-24 4.99795E-24 5.42725E-23 2.91809E-22 6.08559E-22 2.74438E-21 1.71797E-17
  0.00100   2.42823E-24 1.13542E-23 4.97225E-23 5.31029E-22 2.77401E-21 5.74587E-21 2.65429E-20 1.23766E-17
  0.01000   2.42470E-23 1.13141E-22 4.93986E-22 5.16941E-21 2.67018E-20 5.28455E-20 2.35063E-19 9.45399E-18
  0.10000   2.40565E-22 1.11607E-21 4.72604E-21 4.38730E-20 2.12909E-19 3.93498E-19 1.24489E-18 6.00675E-18
