    SIZE INTERVAL   1
   WAVl        QEXT      W0      gf
       1.9380      7.0353876e-07      8.5058181e-08     6.5034353e-08
       1.7707      5.1013798e-07      1.7368575e-07     8.0349712e-08
       1.6240      5.6453712e-07      2.2742135e-07     9.8898192e-08
       1.4948      6.1723132e-07      2.8835880e-07     1.1523400e-07
       1.3661      6.8518549e-07      3.6176740e-07     1.3229548e-07
       1.2527      8.6043134e-07      4.1704399e-07     1.5981200e-07
       1.1652      1.1302218e-06      4.2492367e-07     1.8331715e-07
       1.0989      1.5368352e-06      3.9748237e-07     2.0811818e-07
       1.0526      1.8759369e-06      3.8650523e-07     2.2639633e-07
       0.9975      2.5059212e-06      3.5948997e-07     2.5218848e-07
       0.9251      4.1996098e-06      2.9522987e-07     2.9658072e-07
       0.8662      6.4415190e-06      2.5130109e-07     3.3620130e-07
       0.8110      1.0156956e-05      2.1472861e-07     3.9809458e-07
       0.7678      1.4505884e-05      1.8986034e-07     4.4653279e-07
       0.7202      2.1482734e-05      1.6578072e-07     4.9990452e-07
       0.6787      3.0527567e-05      1.4801418e-07     5.5730712e-07
    SIZE INTERVAL   3
   WAVl        QEXT      W0      gf
     500.0000      3.6159007e-07      4.7113523e-16     9.5823726e-06
     142.8571      2.7393522e-06      7.9004496e-15     7.7645499e-07
      76.9231      7.2527397e-06      3.2133531e-14    -7.1019331e-07
      52.6316      9.9226398e-06      9.7420472e-14    -2.4130267e-07
      40.0000      1.1568106e-05      2.3689385e-13    -1.8437335e-07
      32.7869      1.2860429e-05      4.4024391e-13    -2.0577684e-08
      28.1690      1.6036390e-05      6.7080293e-13     3.6989424e-08
      24.3902      2.0668480e-05      9.2510514e-13     1.7828284e-08
      21.6216      2.5282925e-05      1.1728058e-12     6.6246825e-09
      19.2308      3.1901263e-05      1.4489081e-12     7.5769376e-09
      17.2117      3.7083231e-05      1.7945289e-12    -1.2713761e-08
      15.5763      3.8055399e-05      2.4199666e-12     3.0991010e-09
      14.4196      3.8757255e-05      2.9900845e-12     1.4276788e-08
      13.1579      3.6163975e-05      4.5598764e-12     5.7528750e-09
      11.9403      2.9339625e-05      7.6652892e-12    -3.4663256e-09
      11.0193      2.3669781e-05      1.3373017e-11     8.2205308e-09
      10.3093      2.4465943e-05      1.7516580e-11     1.1529432e-08
       9.6852      2.7734860e-05      2.0719282e-11     9.1763725e-09
       9.2039      3.0551189e-05      2.3583815e-11     7.3617155e-09
       8.6655      3.4567485e-05      2.6939925e-11     5.5263754e-09
       8.0808      4.4575525e-05      2.8374732e-11     5.0590288e-09
       7.6190      5.4824188e-05      2.9340297e-11     5.1225360e-09
       7.1429      7.3471038e-05      2.7547508e-11     1.0799976e-08
       6.6667      1.0655262e-04      2.5819186e-11     1.5551224e-08
       6.2500      1.4193185e-04      1.8878934e-11     1.3340407e-08
       5.8824      5.9041200e-05      3.4494554e-11     1.5444065e-08
       5.5556      1.0667938e-05      3.0843889e-10     1.5493805e-08
       5.2632      5.9277466e-06      8.1605030e-10     2.0302106e-08
       5.0000      6.2226573e-06      1.0073385e-09     1.9488393e-08
       4.7059      1.4443217e-05      5.8320133e-10     2.4084954e-08
       4.3507      8.3870088e-06      1.3743453e-09     2.8602530e-08
       4.0891      9.3898605e-06      1.6469127e-09     3.2876808e-08
       3.7807      1.5385958e-05      1.4155525e-09     3.8538061e-08
       3.3996      3.9542650e-05      8.5310890e-10     4.7652717e-08
       3.0713      7.7487552e-05      6.1230554e-10     5.8344506e-08
       2.7836      2.1238718e-05      2.9660615e-09     6.8841182e-08
       2.5674      3.1119364e-06      3.0039243e-08     8.2946503e-08
       2.3337      1.2146709e-06      1.1658652e-07     1.0159212e-07
       2.1075      1.2802948e-06      1.6944438e-07     1.2511883e-07
       1.9380      1.0553088e-06      2.8707121e-07     1.4766826e-07
       1.7707      7.6520765e-07      5.8618893e-07     1.7966933e-07
       1.6240      8.4680665e-07      7.6754626e-07     2.2171833e-07
       1.4948      9.2584827e-07      9.7320978e-07     2.5875126e-07
       1.3661      1.0277799e-06      1.2209633e-06     2.9754562e-07
       1.2527      1.2906494e-06      1.4075212e-06     3.5965502e-07
       1.1652      1.6953361e-06      1.4341149e-06     4.1244285e-07
       1.0989      2.3052576e-06      1.3415006e-06     4.6820411e-07
       1.0526      2.8139116e-06      1.3044527e-06     5.0938567e-07
       0.9975      3.7588905e-06      1.2132763e-06     5.6743214e-07
       0.9251      6.2994300e-06      9.9639881e-07     6.6719765e-07
       0.8662      9.6623031e-06      8.4813944e-07     7.5625852e-07
       0.8110      1.5235477e-05      7.2470746e-07     8.9550729e-07
       0.7678      2.1758894e-05      6.4077714e-07     1.0044846e-06
       0.7202      3.2224209e-05      5.5950855e-07     1.1245614e-06
       0.6787      4.5791516e-05      4.9954652e-07     1.2537443e-06
    SIZE INTERVAL   4
   WAVl        QEXT      W0      gf
     500.0000      4.8212010e-07      1.1167601e-15     7.3828420e-06
     142.8571      3.6524697e-06      1.8726974e-14     3.0184482e-07
      76.9231      9.6703198e-06      7.6168501e-14     1.6013635e-07
      52.6316      1.3230186e-05      2.3092267e-13    -5.7697601e-08
      40.0000      1.5424142e-05      5.6152635e-13     1.3898663e-08
      32.7869      1.7147238e-05      1.0435412e-12     2.8683360e-09
      28.1690      2.1381852e-05      1.5900513e-12    -1.0312619e-08
      24.3902      2.7557972e-05      2.1928418e-12    -7.7147025e-09
      21.6216      3.3710566e-05      2.7799842e-12    -3.3452134e-09
      19.2308      4.2535016e-05      3.4344490e-12     9.6717546e-09
      17.2117      4.9444308e-05      4.2536978e-12    -7.2958676e-09
      15.5763      5.0740532e-05      5.7362169e-12     3.7727181e-09
      14.4196      5.1676340e-05      7.0876076e-12     1.1597169e-08
      13.1579      4.8218632e-05      1.0808596e-11     6.7796621e-09
      11.9403      3.9119498e-05      1.8169575e-11     7.0413953e-10
      11.0193      3.1559710e-05      3.1699001e-11     1.8107321e-09
      10.3093      3.2621258e-05      4.1520782e-11     5.3134695e-09
       9.6852      3.6979814e-05      4.9112372e-11     1.0862511e-08
       9.2039      4.0734920e-05      5.5902377e-11     1.5141878e-08
       8.6655      4.6089982e-05      6.3857602e-11     1.8962031e-08
       8.0808      5.9434036e-05      6.7258626e-11     1.5529451e-08
       7.6190      7.3098920e-05      6.9547370e-11     1.3436863e-08
       7.1429      9.7961391e-05      6.5297792e-11     1.9302503e-08
       6.6667      1.4207017e-04      6.1201031e-11     2.2406694e-08
       6.2500      1.8924246e-04      4.4750067e-11     2.0923604e-08
       5.8824      7.8721599e-05      8.1764873e-11     2.2681075e-08
