# 
# HITRAN 2016, longwave, created with HELIOS-K by Eric T. Wolf
# Interval    (1= 0-40 cm-1, 2 = 40-100 cm-1, ......, 55 = 14470 - 150000 cm-1)
# Temperature (100,150,200,250,300,350,400,600)
# P(bar)    K1  K2 ....K8 (cm^2/molecule)
 
Quadrature weights w(quad)        Quadrature abscissas (g) 
   1.65231051440290516E-01           6.59602519928250280E-02
   3.09768948559709378E-01           3.13509004297193250E-01
   3.09768948559709378E-01           6.36490995702806650E-01
   1.65231051440290516E-01           8.84039748007174886E-01
   8.69637112843634277E-03           9.53471592210148655E-01
   1.63036288715636482E-02           9.66500473910378632E-01
   1.63036288715636482E-02           9.83499526089621323E-01
   8.69637112843634277E-03           9.96528407789851300E-01
!-------------------------------------------------------------------------------------------------------------------------- 
 
100.00000   1.24442E-33 6.96924E-33 1.24402E-32 1.55017E-32 1.60097E-32 1.60390E-32 1.60610E-32 1.60728E-32
 
          1
          350.0
  0.00001   7.62942E-39 6.33335E-38 2.43495E-37 3.56886E-36 2.26190E-35 4.80083E-35 2.06852E-34 4.79183E-31
  0.00010   7.62942E-38 6.33335E-37 2.43495E-36 3.56879E-35 2.26169E-34 4.77846E-34 2.01641E-33 9.94707E-31
  0.00100   7.62940E-37 6.33332E-36 2.43489E-35 3.55945E-34 2.25065E-33 4.72146E-33 1.91085E-32 2.20379E-30
  0.01000   7.62786E-36 6.33135E-35 2.42790E-34 3.24406E-33 1.77463E-32 3.43020E-32 9.42782E-32 1.30912E-30
  0.10000   7.53553E-35 6.21696E-34 2.18650E-33 1.67082E-32 6.05330E-32 9.75023E-32 2.17661E-31 5.13313E-31
  1.00000   5.54673E-34 4.42415E-33 1.19955E-32 3.17868E-32 5.49920E-32 6.10970E-32 7.03182E-32 7.85147E-32
 10.00000   9.87050E-34 7.02887E-33 1.76222E-32 2.46611E-32 2.58001E-32 2.58754E-32 2.59728E-32 2.60487E-32
100.00000   9.90635E-34 6.84567E-33 1.21529E-32 1.48887E-32 1.53448E-32 1.53694E-32 1.53904E-32 1.53942E-32
 
          1
          400.0
  0.00001   6.56729E-39 5.46021E-38 2.13260E-37 3.37705E-36 2.15410E-35 4.57763E-35 2.08084E-34 5.73294E-31
  0.00010   6.56729E-38 5.46021E-37 2.13260E-36 3.37699E-35 2.15396E-34 4.56178E-34 2.02958E-33 9.42206E-31
  0.00100   6.56727E-37 5.46019E-36 2.13256E-35 3.36902E-34 2.14736E-33 4.51579E-33 1.94249E-32 1.88793E-30
  0.01000   6.56585E-36 5.45874E-35 2.12825E-34 3.13387E-33 1.80027E-32 3.37597E-32 9.28346E-32 1.17344E-30
  0.10000   6.47571E-35 5.38919E-34 1.95178E-33 1.53214E-32 5.40835E-32 8.70929E-32 1.95544E-31 4.75865E-31
  1.00000   4.69518E-34 4.00004E-33 1.03554E-32 2.91689E-32 5.17339E-32 5.77846E-32 6.72633E-32 7.57838E-32
 10.00000   7.49534E-34 7.02061E-33 1.62534E-32 2.20033E-32 2.27148E-32 2.27556E-32 2.28374E-32 2.29074E-32
