 #http://www3.geosc.psu.edu/~jfk4/Climate%20model%20wavelength%20intervals/IR_wavelength_grid.tab
 # New HITEMP stuff from 0.1 bar and higher. 
 #Interval    (1= 0-40 cm-1, 2 = 40-100 cm-1, ......, 55 = 14470 - 150000 cm-1)
 #Temperature (100,150,200,250,300,350,400,600)
 #P(bar)    K1  K2 ....K8 (cm^2/molecule)
 
Quadrature weights w(quad)        Quadrature abscissas (g)
   1.65231051440290516E-01           6.59602519928250280E-02
   3.09768948559709378E-01           3.13509004297193250E-01
   3.09768948559709378E-01           6.36490995702806650E-01
   1.65231051440290516E-01           8.84039748007174886E-01
   8.69637112843634277E-03           9.53471592210148655E-01
   1.63036288715636482E-02           9.66500473910378632E-01
   1.63036288715636482E-02           9.83499526089621323E-01
   8.69637112843634277E-03           9.96528407789851300E-01
!--------------------------------------------------------------------------------------------------------------------------

 10.00000   4.08969E-63 4.08969E-63 4.08969E-63 4.08969E-63 4.08969E-63 4.08969E-63 4.08969E-63 4.08969E-63
100.00000   4.08969E-64 4.08969E-64 4.08969E-64 4.08969E-64 4.08969E-64 4.08969E-64 4.08969E-64 4.08969E-64

          1
          350.0
  0.00001   4.77131E-57 4.77131E-57 4.77131E-57 4.77131E-57 4.77131E-57 4.77131E-57 4.77131E-57 4.77131E-57
  0.00010   4.77131E-58 4.77131E-58 4.77131E-58 4.77131E-58 4.77131E-58 4.77131E-58 4.77131E-58 4.77131E-58
  0.00100   4.77131E-59 4.77131E-59 4.77131E-59 4.77131E-59 4.77131E-59 4.77131E-59 4.77131E-59 4.77131E-59
  0.01000   4.77131E-60 4.77131E-60 4.77131E-60 4.77131E-60 4.77131E-60 4.77131E-60 4.77131E-60 4.77131E-60
  0.10000   4.77131E-61 4.77131E-61 4.77131E-61 4.77131E-61 4.77131E-61 4.77131E-61 4.77131E-61 4.77131E-61
  1.00000   4.77131E-62 4.77131E-62 4.77131E-62 4.77131E-62 4.77131E-62 4.77131E-62 4.77131E-62 4.77131E-62
 10.00000   4.77131E-63 4.77131E-63 4.77131E-63 4.77131E-63 4.77131E-63 4.77131E-63 4.77131E-63 4.77131E-63
