 #http://ww3.geosc.psu.edu/~jkf4/Climate%20model%20wavelength%20wavelength%20intervals/IR_wavelength_grid.tab
 # CO2 HITRAN IR K-COEFFICIENTS
 #Interval    (1= 0-40 cm-1, 2 = 40-100 cm-1, ......, 55 = 14470 - 150000 cm-1)
 #Temperature (100,150,200,250,300,350,400,600)
 #P(bar)    K1  K2 ....K8 (cm^2/molecule)
 
  Quadrature weights w(quad)        Quadrature abscissas (g) 
   1.65231051440290516E-01           6.59602519928250280E-02
   3.09768948559709378E-01           3.13509004297193250E-01
   3.09768948559709378E-01           6.36490995702806650E-01
   1.65231051440290516E-01           8.84039748007174886E-01
   8.69637112843634277E-03           9.53471592210148655E-01
   1.63036288715636482E-02           9.66500473910378632E-01
   1.63036288715636482E-02           9.83499526089621323E-01
   8.69637112843634277E-03           9.96528407789851300E-01
!--------------------------------------------------------------------------------------------------------------------------

 10.00000   2.97442E-35 7.45097E-35 2.22974E-34 5.31046E-34 6.28220E-34 6.37600E-34 6.49863E-34 6.78627E-34
100.00000   2.97829E-34 7.45687E-34 2.23009E-33 5.31008E-33 6.28162E-33 6.37520E-33 6.49819E-33 6.78568E-33

          1
          350.0
  0.00001   1.09424E-40 2.60381E-40 6.54867E-40 1.34178E-39 1.55522E-39 1.57979E-39 1.61145E-39 1.67156E-39
  0.00010   1.09424E-39 2.60381E-39 6.54867E-39 1.34178E-38 1.55522E-38 1.57979E-38 1.61145E-38 1.67156E-38
  0.00100   1.09424E-38 2.60381E-38 6.54867E-38 1.34178E-37 1.55522E-37 1.57979E-37 1.61145E-37 1.67156E-37
  0.01000   1.09424E-37 2.60381E-37 6.54867E-37 1.34178E-36 1.55522E-36 1.57979E-36 1.61145E-36 1.67156E-36
  0.10000   1.09424E-36 2.60382E-36 6.54864E-36 1.34178E-35 1.55522E-35 1.57979E-35 1.61146E-35 1.67158E-35
  1.00000   1.09427E-35 2.60385E-35 6.54877E-35 1.34178E-34 1.55524E-34 1.57981E-34 1.61147E-34 1.67159E-34
 10.00000   1.09456E-34 2.60428E-34 6.54941E-34 1.34188E-33 1.55537E-33 1.57994E-33 1.61165E-33 1.67169E-33
100.00000   1.09727E-33 2.60890E-33 6.55477E-33 1.34256E-32 1.55613E-32 1.58056E-32 1.61264E-32 1.67256E-32

          1
          400.0
  0.00001   2.93125E-40 6.64113E-40 1.49024E-39 2.76794E-39 3.16935E-39 3.22347E-39 3.29191E-39 3.40047E-39
  0.00010   2.93125E-39 6.64113E-39 1.49024E-38 2.76794E-38 3.16935E-38 3.22347E-38 3.29191E-38 3.40047E-38
  0.00100   2.93125E-38 6.64113E-38 1.49024E-37 2.76794E-37 3.16935E-37 3.22347E-37 3.29191E-37 3.40047E-37
  0.01000   2.93125E-37 6.64114E-37 1.49024E-36 2.76796E-36 3.16935E-36 3.22347E-36 3.29191E-36 3.40047E-36
  0.10000   2.93127E-36 6.64116E-36 1.49024E-35 2.76796E-35 3.16936E-35 3.22347E-35 3.29191E-35 3.40048E-35
  1.00000   2.93137E-35 6.64132E-35 1.49029E-34 2.76799E-34 3.16942E-34 3.22350E-34 3.29194E-34 3.40053E-34
 10.00000   2.93240E-34 6.64302E-34 1.49056E-33 2.76844E-33 3.16998E-33 3.22413E-33 3.29275E-33 3.40094E-33
100.00000   2.94337E-33 6.66212E-33 1.49319E-32 2.77231E-32 3.17459E-32 3.22800E-32 3.29834E-32 3.40614E-32

          1
          600.0
  0.00001   3.03097E-39 5.95035E-39 1.11716E-38 1.82278E-38 2.07170E-38 2.11962E-38 2.17734E-38 2.23925E-38
  0.00010   3.03097E-38 5.95035E-38 1.11716E-37 1.82278E-37 2.07170E-37 2.11962E-37 2.17734E-37 2.23925E-37
  0.00100   3.03097E-37 5.95035E-37 1.11716E-36 1.82278E-36 2.07170E-36 2.11962E-36 2.17734E-36 2.23925E-36
  0.01000   3.03097E-36 5.95035E-36 1.11716E-35 1.82278E-35 2.07170E-35 2.11962E-35 2.17735E-35 2.23925E-35
  0.10000   3.03099E-35 5.95040E-35 1.11716E-34 1.82279E-34 2.07169E-34 2.11963E-34 2.17736E-34 2.23925E-34
  1.00000   3.03121E-34 5.95075E-34 1.11746E-33 1.82285E-33 2.07181E-33 2.11971E-33 2.17747E-33 2.23934E-33
 10.00000   3.03334E-33 5.95530E-33 1.11835E-32 1.82419E-32 2.07370E-32 2.12220E-32 2.17996E-32 2.24059E-32
100.00000   3.05807E-32 6.00123E-32 1.12654E-31 1.83726E-31 2.09029E-31 2.13701E-31 2.19927E-31 2.25822E-31

          2
          100.0
  0.00001   3.85590E-45 2.23258E-44 4.36916E-44 3.86245E-42 2.94594E-41 3.02464E-41 5.42560E-41 5.54183E-41
  0.00010   3.85590E-44 2.23258E-43 4.36916E-43 3.86245E-41 2.94594E-40 3.02464E-40 5.42560E-40 5.54183E-40
  0.00100   3.85590E-43 2.23258E-42 4.36916E-42 3.86245E-40 2.94594E-39 3.02464E-39 5.42560E-39 5.54183E-39
  0.01000   3.85590E-42 2.23258E-41 4.36916E-41 3.86245E-39 2.94594E-38 3.02464E-38 5.42560E-38 5.54183E-38
  0.10000   3.85590E-41 2.23258E-40 4.36916E-40 3.86245E-38 2.94594E-37 3.02464E-37 5.42560E-37 5.54183E-37
  1.00000   3.85590E-40 2.23258E-39 4.36916E-39 3.86245E-37 2.94594E-36 3.02464E-36 5.42560E-36 5.54183E-36
 10.00000   3.85582E-39 2.23253E-38 4.36901E-38 3.86238E-36 2.94588E-35 3.02458E-35 5.42557E-35 5.54172E-35
100.00000   3.84722E-38 2.22719E-37 4.35821E-37 3.85637E-35 2.94084E-34 3.01938E-34 5.41579E-34 5.53176E-34

          2
          150.0
  0.00001   1.88943E-42 9.85176E-42 2.29306E-41 4.55128E-40 1.66895E-39 1.75542E-39 2.53910E-39 2.59371E-39
  0.00010   1.88943E-41 9.85176E-41 2.29306E-40 4.55128E-39 1.66895E-38 1.75542E-38 2.53910E-38 2.59371E-38
  0.00100   1.88943E-40 9.85176E-40 2.29306E-39 4.55128E-38 1.66895E-37 1.75542E-37 2.53910E-37 2.59371E-37
  0.01000   1.88943E-39 9.85176E-39 2.29306E-38 4.55128E-37 1.66895E-36 1.75542E-36 2.53910E-36 2.59371E-36
  0.10000   1.88943E-38 9.85176E-38 2.29306E-37 4.55128E-36 1.66895E-35 1.75542E-35 2.53910E-35 2.59371E-35
  1.00000   1.88943E-37 9.85176E-37 2.29306E-36 4.55128E-35 1.66895E-34 1.75542E-34 2.53910E-34 2.59371E-34
 10.00000   1.88941E-36 9.85165E-36 2.29303E-35 4.55123E-34 1.66896E-33 1.75540E-33 2.53908E-33 2.59368E-33
100.00000   1.88715E-35 9.83907E-35 2.29016E-34 4.54729E-33 1.66745E-32 1.75377E-32 2.53669E-32 2.59121E-32

          2
          200.0
  0.00001   3.84973E-41 1.83537E-40 4.96933E-40 4.75714E-39 1.20495E-38 1.30973E-38 1.68114E-38 1.71755E-38
  0.00010   3.84973E-40 1.83537E-39 4.96933E-39 4.75714E-38 1.20495E-37 1.30973E-37 1.68114E-37 1.71755E-37
  0.00100   3.84973E-39 1.83537E-38 4.96933E-38 4.75714E-37 1.20495E-36 1.30973E-36 1.68114E-36 1.71755E-36
  0.01000   3.84973E-38 1.83537E-37 4.96933E-37 4.75714E-36 1.20495E-35 1.30973E-35 1.68114E-35 1.71755E-35
  0.10000   3.84973E-37 1.83537E-36 4.96933E-36 4.75714E-35 1.20495E-34 1.30973E-34 1.68114E-34 1.71755E-34
  1.00000   3.84973E-36 1.83537E-35 4.96933E-35 4.75714E-34 1.20495E-33 1.30973E-33 1.68114E-33 1.71755E-33
 10.00000   3.84971E-35 1.83534E-34 4.96930E-34 4.75716E-33 1.20494E-32 1.30972E-32 1.68112E-32 1.71755E-32
100.00000   3.84681E-34 1.83387E-33 4.96553E-33 4.75434E-32 1.20423E-31 1.30892E-31 1.68010E-31 1.71648E-31

          2
          250.0
  0.00001   2.31817E-40 1.01234E-39 3.06875E-39 1.91652E-38 3.94385E-38 4.40531E-38 5.26412E-38 5.37972E-38
  0.00010   2.31817E-39 1.01234E-38 3.06875E-38 1.91652E-37 3.94385E-37 4.40531E-37 5.26412E-37 5.37972E-37
  0.00100   2.31817E-38 1.01234E-37 3.06875E-37 1.91652E-36 3.94385E-36 4.40531E-36 5.26412E-36 5.37972E-36
  0.01000   2.31817E-37 1.01234E-36 3.06875E-36 1.91652E-35 3.94385E-35 4.40531E-35 5.26412E-35 5.37972E-35
  0.10000   2.31817E-36 1.01234E-35 3.06875E-35 1.91652E-34 3.94385E-34 4.40531E-34 5.26412E-34 5.37972E-34
  1.00000   2.31817E-35 1.01234E-34 3.06875E-34 1.91652E-33 3.94386E-33 4.40531E-33 5.26412E-33 5.37973E-33
 10.00000   2.31818E-34 1.01234E-33 3.06875E-33 1.91650E-32 3.94386E-32 4.40527E-32 5.26410E-32 5.37973E-32
100.00000   2.31707E-33 1.01179E-32 3.06721E-32 1.91570E-31 3.94210E-31 4.40335E-31 5.26178E-31 5.37732E-31

          2
          300.0
  0.00001   7.83723E-40 3.14430E-39 1.02506E-38 4.84336E-38 8.78374E-38 9.98331E-38 1.14141E-37 1.16700E-37
  0.00010   7.83723E-39 3.14430E-38 1.02506E-37 4.84336E-37 8.78374E-37 9.98331E-37 1.14141E-36 1.16700E-36
  0.00100   7.83723E-38 3.14430E-37 1.02506E-36 4.84336E-36 8.78374E-36 9.98331E-36 1.14141E-35 1.16700E-35
  0.01000   7.83723E-37 3.14430E-36 1.02506E-35 4.84336E-35 8.78374E-35 9.98331E-35 1.14141E-34 1.16700E-34
  0.10000   7.83723E-36 3.14430E-35 1.02506E-34 4.84337E-34 8.78374E-34 9.98331E-34 1.14141E-33 1.16700E-33
  1.00000   7.83725E-35 3.14431E-34 1.02506E-33 4.84337E-33 8.78376E-33 9.98333E-33 1.14141E-32 1.16699E-32
 10.00000   7.83743E-34 3.14434E-33 1.02506E-32 4.84335E-32 8.78410E-32 9.98331E-32 1.14141E-31 1.16700E-31
100.00000   7.83632E-33 3.14332E-32 1.02474E-31 4.84186E-31 8.78068E-31 9.97999E-31 1.14102E-30 1.16660E-30

          2
          350.0
  0.00001   1.94087E-39 7.19644E-39 2.43429E-38 9.46467E-38 1.58014E-37 1.81104E-37 2.01281E-37 2.05903E-37
  0.00010   1.94087E-38 7.19644E-38 2.43429E-37 9.46467E-37 1.58014E-36 1.81104E-36 2.01281E-36 2.05903E-36
  0.00100   1.94087E-37 7.19644E-37 2.43429E-36 9.46467E-36 1.58014E-35 1.81104E-35 2.01281E-35 2.05903E-35
  0.01000   1.94087E-36 7.19644E-36 2.43429E-35 9.46467E-35 1.58014E-34 1.81104E-34 2.01281E-34 2.05903E-34
  0.10000   1.94087E-35 7.19645E-35 2.43429E-34 9.46467E-34 1.58014E-33 1.81104E-33 2.01281E-33 2.05904E-33
  1.00000   1.94088E-34 7.19649E-34 2.43429E-33 9.46473E-33 1.58015E-32 1.81104E-32 2.01282E-32 2.05905E-32
 10.00000   1.94103E-33 7.19665E-33 2.43433E-32 9.46482E-32 1.58019E-31 1.81101E-31 2.01282E-31 2.05904E-31
100.00000   1.94172E-32 7.19655E-32 2.43403E-31 9.46297E-31 1.57988E-30 1.81060E-30 2.01233E-30 2.05854E-30

          2
          400.0
  0.00001   3.99168E-39 1.37818E-38 4.70336E-38 1.58571E-37 2.49873E-37 2.86826E-37 3.12840E-37 3.20204E-37
  0.00010   3.99168E-38 1.37818E-37 4.70336E-37 1.58571E-36 2.49873E-36 2.86826E-36 3.12840E-36 3.20204E-36
  0.00100   3.99168E-37 1.37818E-36 4.70336E-36 1.58571E-35 2.49873E-35 2.86826E-35 3.12840E-35 3.20204E-35
  0.01000   3.99168E-36 1.37818E-35 4.70336E-35 1.58571E-34 2.49873E-34 2.86826E-34 3.12840E-34 3.20204E-34
  0.10000   3.99168E-35 1.37818E-34 4.70337E-34 1.58571E-33 2.49873E-33 2.86828E-33 3.12840E-33 3.20204E-33
  1.00000   3.99172E-34 1.37818E-33 4.70336E-33 1.58570E-32 2.49877E-32 2.86826E-32 3.12841E-32 3.20204E-32
 10.00000   3.99232E-33 1.37828E-32 4.70352E-32 1.58573E-31 2.49883E-31 2.86831E-31 3.12845E-31 3.20208E-31
100.00000   3.99685E-32 1.37888E-31 4.70419E-31 1.58570E-30 2.49853E-30 2.86800E-30 3.12807E-30 3.20171E-30

          2
          600.0
  0.00001   2.76143E-38 7.78360E-38 2.42723E-37 6.01310E-37 8.38437E-37 9.39152E-37 9.90530E-37 1.01571E-36
  0.00010   2.76143E-37 7.78360E-37 2.42723E-36 6.01310E-36 8.38437E-36 9.39152E-36 9.90530E-36 1.01571E-35
  0.00100   2.76143E-36 7.78360E-36 2.42723E-35 6.01310E-35 8.38437E-35 9.39152E-35 9.90530E-35 1.01569E-34
  0.01000   2.76143E-35 7.78363E-35 2.42723E-34 6.01310E-34 8.38440E-34 9.39154E-34 9.90532E-34 1.01569E-33
  0.10000   2.76145E-34 7.78387E-34 2.42725E-33 6.01314E-33 8.38442E-33 9.39158E-33 9.90536E-33 1.01570E-32
  1.00000   2.76174E-33 7.78411E-33 2.42727E-32 6.01319E-32 8.38484E-32 9.39171E-32 9.90543E-32 1.01571E-31
 10.00000   2.76367E-32 7.78754E-32 2.42782E-31 6.01470E-31 8.38541E-31 9.39301E-31 9.90653E-31 1.01584E-30
100.00000   2.78042E-31 7.81591E-31 2.43378E-30 6.02530E-30 8.39826E-30 9.40371E-30 9.91785E-30 1.01696E-29

          3
          100.0
  0.00001   2.50482E-40 5.93498E-39 1.81389E-38 5.67575E-36 1.75524E-35 1.79289E-35 2.37299E-35 2.99341E-35
  0.00010   2.50482E-39 5.93498E-38 1.81389E-37 5.67575E-35 1.75524E-34 1.79289E-34 2.37299E-34 2.99341E-34
  0.00100   2.50482E-38 5.93498E-37 1.81389E-36 5.67575E-34 1.75524E-33 1.79289E-33 2.37299E-33 2.99341E-33
  0.01000   2.50482E-37 5.93498E-36 1.81389E-35 5.67575E-33 1.75524E-32 1.79289E-32 2.37299E-32 2.99341E-32
  0.10000   2.50482E-36 5.93498E-35 1.81389E-34 5.67575E-32 1.75524E-31 1.79289E-31 2.37299E-31 2.99341E-31
  1.00000   2.50482E-35 5.93498E-34 1.81389E-33 5.67575E-31 1.75524E-30 1.79289E-30 2.37299E-30 2.99341E-30
 10.00000   2.50477E-34 5.93487E-33 1.81385E-32 5.67564E-30 1.75521E-29 1.79286E-29 2.37295E-29 2.99333E-29
100.00000   2.49993E-33 5.92132E-32 1.81007E-31 5.66476E-29 1.75179E-28 1.78930E-28 2.36827E-28 2.98729E-28

          3
          150.0
  0.00001   7.04291E-39 8.50626E-38 2.37351E-37 7.05665E-36 1.52068E-35 1.55361E-35 1.87921E-35 2.19651E-35
  0.00010   7.04291E-38 8.50626E-37 2.37351E-36 7.05665E-35 1.52068E-34 1.55361E-34 1.87921E-34 2.19651E-34
  0.00100   7.04291E-37 8.50626E-36 2.37351E-35 7.05665E-34 1.52068E-33 1.55361E-33 1.87921E-33 2.19651E-33
  0.01000   7.04291E-36 8.50626E-35 2.37351E-34 7.05665E-33 1.52068E-32 1.55361E-32 1.87921E-32 2.19651E-32
  0.10000   7.04291E-35 8.50626E-34 2.37351E-33 7.05665E-32 1.52068E-31 1.55361E-31 1.87921E-31 2.19651E-31
  1.00000   7.04291E-34 8.50626E-33 2.37351E-32 7.05665E-31 1.52068E-30 1.55361E-30 1.87921E-30 2.19651E-30
 10.00000   7.04280E-33 8.50615E-32 2.37348E-31 7.05659E-30 1.52066E-29 1.55359E-29 1.87919E-29 2.19649E-29
100.00000   7.03560E-32 8.49582E-31 2.37076E-30 7.04934E-29 1.51904E-28 1.55195E-28 1.87716E-28 2.19406E-28

          3
          200.0
  0.00001   3.50831E-38 2.87837E-37 7.66667E-37 7.56154E-36 1.33429E-35 1.36404E-35 1.57130E-35 1.76352E-35
  0.00010   3.50831E-37 2.87837E-36 7.66667E-36 7.56154E-35 1.33429E-34 1.36404E-34 1.57130E-34 1.76352E-34
  0.00100   3.50831E-36 2.87837E-35 7.66667E-35 7.56154E-34 1.33429E-33 1.36404E-33 1.57130E-33 1.76352E-33
  0.01000   3.50831E-35 2.87837E-34 7.66667E-34 7.56154E-33 1.33429E-32 1.36404E-32 1.57130E-32 1.76352E-32
  0.10000   3.50831E-34 2.87837E-33 7.66667E-33 7.56154E-32 1.33429E-31 1.36404E-31 1.57130E-31 1.76352E-31
  1.00000   3.50831E-33 2.87837E-32 7.66667E-32 7.56154E-31 1.33429E-30 1.36404E-30 1.57130E-30 1.76352E-30
 10.00000   3.50829E-32 2.87835E-31 7.66667E-31 7.56147E-30 1.33428E-29 1.36404E-29 1.57128E-29 1.76351E-29
100.00000   3.50599E-31 2.87612E-30 7.66095E-30 7.55648E-29 1.33337E-28 1.36309E-28 1.57018E-28 1.76223E-28

          3
          250.0
  0.00001   9.17766E-38 5.69028E-37 1.47019E-36 8.03782E-36 1.24594E-35 1.27480E-35 1.42209E-35 1.55425E-35
  0.00010   9.17766E-37 5.69028E-36 1.47019E-35 8.03782E-35 1.24594E-34 1.27480E-34 1.42209E-34 1.55425E-34
  0.00100   9.17766E-36 5.69028E-35 1.47019E-34 8.03782E-34 1.24594E-33 1.27480E-33 1.42209E-33 1.55425E-33
  0.01000   9.17766E-35 5.69028E-34 1.47019E-33 8.03782E-33 1.24594E-32 1.27480E-32 1.42209E-32 1.55425E-32
  0.10000   9.17766E-34 5.69028E-33 1.47019E-32 8.03782E-32 1.24594E-31 1.27480E-31 1.42209E-31 1.55425E-31
  1.00000   9.17766E-33 5.69028E-32 1.47019E-31 8.03782E-31 1.24594E-30 1.27480E-30 1.42209E-30 1.55425E-30
 10.00000   9.17766E-32 5.69026E-31 1.47019E-30 8.03778E-30 1.24593E-29 1.27479E-29 1.42208E-29 1.55425E-29
100.00000   9.17335E-31 5.68723E-30 1.46941E-29 8.03400E-29 1.24532E-28 1.27415E-28 1.42136E-28 1.55344E-28

          3
          300.0
  0.00001   1.77009E-37 8.81066E-37 2.22412E-36 8.63445E-36 1.22712E-35 1.25656E-35 1.37115E-35 1.47134E-35
  0.00010   1.77009E-36 8.81066E-36 2.22412E-35 8.63445E-35 1.22712E-34 1.25656E-34 1.37115E-34 1.47134E-34
  0.00100   1.77009E-35 8.81066E-35 2.22412E-34 8.63445E-34 1.22712E-33 1.25656E-33 1.37115E-33 1.47134E-33
  0.01000   1.77009E-34 8.81066E-34 2.22412E-33 8.63445E-33 1.22712E-32 1.25656E-32 1.37115E-32 1.47134E-32
  0.10000   1.77009E-33 8.81066E-33 2.22412E-32 8.63445E-32 1.22712E-31 1.25656E-31 1.37115E-31 1.47134E-31
  1.00000   1.77009E-32 8.81066E-32 2.22412E-31 8.63445E-31 1.22712E-30 1.25656E-30 1.37115E-30 1.47134E-30
 10.00000   1.77009E-31 8.81064E-31 2.22411E-30 8.63443E-30 1.22712E-29 1.25656E-29 1.37114E-29 1.47133E-29
100.00000   1.76946E-30 8.80709E-30 2.22320E-29 8.63127E-29 1.22666E-28 1.25610E-28 1.37063E-28 1.47077E-28

          3
          350.0
  0.00001   2.88776E-37 1.20541E-36 2.98304E-36 9.36159E-36 1.25460E-35 1.28558E-35 1.38158E-35 1.46368E-35
  0.00010   2.88776E-36 1.20541E-35 2.98304E-35 9.36159E-35 1.25460E-34 1.28558E-34 1.38158E-34 1.46368E-34
  0.00100   2.88776E-35 1.20541E-34 2.98304E-34 9.36159E-34 1.25460E-33 1.28558E-33 1.38158E-33 1.46368E-33
  0.01000   2.88776E-34 1.20541E-33 2.98304E-33 9.36159E-33 1.25460E-32 1.28558E-32 1.38158E-32 1.46368E-32
  0.10000   2.88776E-33 1.20540E-32 2.98304E-32 9.36159E-32 1.25460E-31 1.28558E-31 1.38158E-31 1.46368E-31
  1.00000   2.88776E-32 1.20540E-31 2.98304E-31 9.36159E-31 1.25460E-30 1.28558E-30 1.38158E-30 1.46368E-30
 10.00000   2.88776E-31 1.20540E-30 2.98292E-30 9.36159E-30 1.25460E-29 1.28558E-29 1.38156E-29 1.46368E-29
100.00000   2.88703E-30 1.20503E-29 2.98208E-29 9.35892E-29 1.25421E-28 1.28519E-28 1.38114E-28 1.46324E-28

          3
          400.0
  0.00001   4.25742E-37 1.54177E-36 3.74593E-36 1.02147E-35 1.31518E-35 1.34841E-35 1.43376E-35 1.50545E-35
  0.00010   4.25742E-36 1.54177E-35 3.74593E-35 1.02147E-34 1.31518E-34 1.34841E-34 1.43376E-34 1.50545E-34
  0.00100   4.25742E-35 1.54177E-34 3.74593E-34 1.02147E-33 1.31518E-33 1.34841E-33 1.43376E-33 1.50545E-33
  0.01000   4.25742E-34 1.54177E-33 3.74593E-33 1.02147E-32 1.31518E-32 1.34841E-32 1.43376E-32 1.50545E-32
  0.10000   4.25742E-33 1.54177E-32 3.74593E-32 1.02147E-31 1.31518E-31 1.34841E-31 1.43376E-31 1.50545E-31
  1.00000   4.25742E-32 1.54177E-31 3.74595E-31 1.02147E-30 1.31518E-30 1.34841E-30 1.43376E-30 1.50545E-30
 10.00000   4.25745E-31 1.54176E-30 3.74592E-30 1.02148E-29 1.31518E-29 1.34842E-29 1.43377E-29 1.50544E-29
100.00000   4.25685E-30 1.54144E-29 3.74516E-29 1.02124E-28 1.31488E-28 1.34809E-28 1.43343E-28 1.50508E-28

          3
          600.0
