 #http://www3.geosc.psu.edu/~jkf4/Climate%20model%20wavelength%20wavelength%20intervals/IR_wavelength_grid.tab
 # H2O HITRAN IR K-COEFFICIENTS
 #Interval    (1= 0-40 cm-1, 2 = 40-100 cm-1, ......, 55 = 14470 - 150000 cm-1)
 #Temperature (100,150,200,250,300,350,400,600)
 #P(bar)    K1,K2....K8(cm^2 molecule)
    
Quadrature weights w(quad)        Quadrature abscissas (g)
   1.65231051440290516E-01           6.59602519928250280E-02
   3.09768948559709378E-01           3.13509004297193250E-01
   3.09768948559709378E-01           6.36490995702806650E-01
   1.65231051440290516E-01           8.84039748007174886E-01
   8.69637112843634277E-03           9.53471592210148655E-01
   1.63036288715636482E-02           9.66500473910378632E-01
   1.63036288715636482E-02           9.83499526089621323E-01
   8.69637112843634277E-03           9.96528407789851300E-01
!--------------------------------------------------------------------------------------------------------------------------

 10.00000   4.02104E-22 2.36546E-21 9.04787E-21 3.13965E-20 3.92754E-20 3.96442E-20 3.98462E-20 4.00314E-20
100.00000   5.07222E-22 1.64151E-21 4.57844E-21 1.08171E-20 1.21437E-20 1.22487E-20 1.26296E-20 1.29369E-20

          1
          350.0
  0.00001   3.33337E-28 3.90348E-25 2.01280E-23 8.01966E-21 2.67833E-19 7.28113E-19 3.15032E-18 2.28339E-17
  0.00010   3.28906E-27 8.04773E-25 5.20659E-23 1.92977E-20 3.00388E-19 1.65562E-18 1.64890E-17 3.64539E-17
  0.00100   3.18383E-26 1.40740E-24 3.26933E-23 1.82859E-21 2.82556E-20 1.38189E-19 8.68815E-19 3.40983E-18
  0.01000   2.94135E-25 1.14299E-23 8.14687E-23 2.01954E-21 1.45206E-20 3.94266E-20 1.13260E-19 6.52711E-19
  0.10000   2.89446E-24 6.40294E-23 4.29214E-22 7.25925E-21 4.35929E-20 7.58564E-20 1.51155E-19 5.98009E-19
  1.00000   2.82931E-23 4.39128E-22 2.64522E-21 2.29846E-20 6.63013E-20 7.90266E-20 9.52082E-20 1.16516E-19
 10.00000   2.58581E-22 1.60602E-21 6.60092E-21 2.47966E-20 3.22114E-20 3.24802E-20 3.26793E-20 3.28068E-20
100.00000   3.91660E-22 1.21448E-21 3.97542E-21 9.15218E-21 1.05483E-20 1.06565E-20 1.09997E-20 1.12638E-20

          1
          400.0
  0.00001   2.28384E-28 5.25339E-25 3.33227E-23 9.42471E-21 2.14165E-19 5.38976E-19 2.71861E-18 2.11036E-17
  0.00010   2.27153E-27 1.18285E-24 8.67558E-23 1.90635E-20 2.55414E-19 1.18187E-18 1.18672E-17 2.90754E-17
  0.00100   2.18427E-26 1.46837E-24 3.82135E-23 1.95382E-21 2.39407E-20 1.22332E-19 7.89851E-19 2.99987E-18
  0.01000   2.02441E-25 8.61678E-24 6.39254E-23 1.42956E-21 1.11283E-20 3.07648E-20 9.07042E-20 4.81455E-19
  0.10000   1.97342E-24 5.00692E-23 3.40258E-22 5.27258E-21 2.96701E-20 5.28588E-20 1.17631E-19 4.96968E-19
  1.00000   1.89751E-23 3.15506E-22 1.90112E-21 1.74614E-20 5.14412E-20 6.27039E-20 7.85171E-20 9.99153E-20
 10.00000   1.75384E-22 1.13951E-21 4.97688E-21 1.99080E-20 2.67633E-20 2.70385E-20 2.72579E-20 2.73235E-20
100.00000   3.09890E-22 1.06677E-21 3.46179E-21 7.84471E-21 9.24415E-21 9.35235E-21 9.66098E-21 9.89053E-21

          1
          600.0
  0.00001   9.94403E-29 8.83137E-24 3.02893E-22 8.63947E-21 8.89764E-20 2.12095E-19 1.07217E-18 3.21447E-18
  0.00010   9.87703E-28 3.47299E-23 7.24328E-22 2.66696E-20 1.57713E-19 4.39404E-19 2.64333E-18 7.53351E-18
  0.00100   7.57877E-27 4.25087E-24 1.69327E-22 4.82041E-21 2.47627E-20 7.62868E-20 4.24583E-19 1.78306E-18
  0.01000   6.57790E-26 3.63569E-24 6.11004E-23 1.04371E-21 5.36304E-21 1.52414E-20 4.45079E-20 2.30748E-19
  0.10000   6.35820E-25 2.12685E-23 1.55008E-22 2.01611E-21 9.59946E-21 1.91348E-20 4.93065E-20 2.61954E-19
  1.00000   5.59796E-24 1.11722E-22 6.67399E-22 7.71955E-21 2.15735E-20 2.79543E-20 4.05214E-20 5.78982E-20
 10.00000   5.24659E-23 3.87099E-22 2.01460E-21 9.34335E-21 1.42579E-20 1.45027E-20 1.47094E-20 1.47561E-20
100.00000   1.42972E-22 5.24239E-22 2.06204E-21 4.61127E-21 5.74523E-21 5.83873E-21 6.04375E-21 6.18923E-21

          2
          100.0
  0.00001   8.00525E-25 3.50556E-24 3.02979E-23 5.77804E-20 2.85855E-17 7.51217E-17 1.85237E-16 7.27661E-16
  0.00010   7.93208E-24 2.92283E-23 2.26297E-22 9.57775E-20 2.18339E-17 4.96878E-17 1.22441E-16 6.03682E-16
  0.00100   7.39453E-23 2.35865E-22 1.38719E-21 7.27054E-20 1.84038E-18 3.88163E-18 1.20140E-17 5.65991E-17
  0.01000   7.10886E-22 2.20011E-21 1.16464E-20 1.50553E-19 1.03769E-18 1.62507E-18 4.90810E-18 3.32918E-17
  0.10000   6.92567E-21 2.13526E-20 9.28420E-20 5.95112E-19 2.18803E-18 3.28392E-18 5.39510E-18 1.13515E-17
  1.00000   5.67416E-20 1.40650E-19 3.27498E-19 8.71196E-19 1.33775E-18 1.46136E-18 1.65865E-18 1.91119E-18
 10.00000   1.45446E-19 2.18449E-19 2.83322E-19 3.77582E-19 3.88119E-19 3.88714E-19 3.89444E-19 3.89820E-19
100.00000   2.73191E-20 3.47329E-20 5.59679E-20 5.87901E-20 6.79572E-20 6.80085E-20 6.82910E-20 6.97139E-20

          2
          150.0
  0.00001   6.36121E-25 3.13457E-24 5.21669E-23 2.63313E-19 1.33731E-17 2.72561E-17 6.97523E-17 8.08715E-16
  0.00010   5.50790E-24 2.81795E-23 3.79585E-22 2.79816E-19 3.49811E-17 6.95460E-17 1.44533E-16 6.79974E-16
  0.00100   4.87893E-23 2.25059E-22 1.40217E-21 8.66067E-20 2.80174E-18 5.49445E-18 1.14954E-17 4.28856E-17
  0.01000   4.42653E-22 1.61857E-21 8.10774E-21 1.39529E-19 8.45246E-19 1.23163E-18 3.26996E-18 1.89836E-17
  0.10000   3.95140E-21 1.49469E-20 6.51497E-20 4.04941E-19 1.40615E-18 2.04941E-18 3.72773E-18 8.39666E-18
  1.00000   3.49258E-20 9.35384E-20 2.37973E-19 6.63219E-19 9.07318E-19 9.80141E-19 1.08294E-18 1.38256E-18
 10.00000   9.17949E-20 1.56405E-19 2.23959E-19 3.39785E-19 3.43926E-19 3.45548E-19 3.46054E-19 3.47854E-19
100.00000   2.17941E-20 3.17827E-20 5.81510E-20 6.43394E-20 6.58369E-20 6.59179E-20 6.85694E-20 6.89756E-20

          2
          200.0
  0.00001   5.45190E-25 2.98001E-24 1.20208E-22 2.48035E-19 1.30690E-17 2.81522E-17 8.76961E-17 4.13831E-16
  0.00010   4.84598E-24 2.56767E-23 6.44012E-22 4.69275E-19 3.39344E-17 5.82462E-17 1.26757E-16 2.68233E-16
  0.00100   3.43130E-23 1.80788E-22 1.35632E-21 1.04102E-19 3.14934E-18 5.51602E-18 1.04031E-17 3.11726E-17
  0.01000   3.06886E-22 1.36841E-21 6.35249E-21 1.22518E-19 7.14562E-19 1.00866E-18 2.46098E-18 1.41448E-17
  0.10000   2.60233E-21 1.15627E-20 4.69050E-20 3.26161E-19 1.02701E-18 1.44202E-18 2.57586E-18 6.49997E-18
  1.00000   2.19186E-20 7.25066E-20 1.79869E-19 4.40195E-19 6.65314E-19 7.08208E-19 8.95582E-19 1.01127E-18
 10.00000   6.39339E-20 1.14258E-19 1.76976E-19 2.77427E-19 2.95810E-19 3.01392E-19 3.08428E-19 3.10848E-19
