 
 P =             1  mbar      T =          150  K
 int#     k1          k2          k3          k4          k5          k6
 8    3.03703E-31 9.45409E-31 2.99144E-30 1.13934E-29 7.31796E-29 1.57361E-27
 9    6.39757E-32 3.52652E-31 1.34728E-30 4.89923E-30 2.42692E-29 4.75380E-28
10    2.73400E-32 7.34835E-32 2.34245E-31 8.64911E-31 5.35823E-30 1.16163E-28
11    1.21763E-33 5.74389E-33 1.71574E-32 6.36639E-32 4.43797E-31 1.17008E-29
12    1.15446E-35 5.08646E-35 2.02329E-34 1.07514E-33 7.66957E-33 2.04269E-31
13    4.76624E-36 7.05121E-36 1.44429E-35 9.32405E-35 8.03137E-34 2.79848E-32
14    7.46122E-37 1.36382E-36 3.50206E-36 1.15002E-35 7.11400E-35 2.49998E-33
15    0.00000E+00 0.00000E+00 3.46214E-39 2.55976E-37 2.20635E-36 9.35051E-35
16    0.00000E+00 1.97936E-36 9.17319E-35 3.39969E-33 3.18958E-32 6.93648E-31
17    4.19193E-32 1.40235E-31 4.49668E-31 1.69744E-30 9.37858E-30 2.49784E-28
18    4.52441E-30 2.28635E-29 1.16915E-28 5.20553E-28 2.65075E-27 6.66528E-26
19    7.27225E-28 2.48667E-27 6.88604E-27 2.23250E-26 1.28446E-25 2.73380E-24
20    1.15741E-26 4.81812E-26 1.43040E-25 4.44051E-25 2.44698E-24 5.25844E-23
21    1.57692E-25 1.19332E-24 8.19284E-24 4.01851E-23 2.47927E-22 5.42627E-21
22    2.51283E-23 4.71558E-23 1.01403E-22 4.02906E-22 3.52963E-21 9.01969E-20
23    6.97927E-26 2.06540E-25 8.27725E-25 5.33287E-24 4.86837E-23 1.26600E-21
24    1.44987E-26 5.90691E-26 2.00584E-25 9.63756E-25 1.13379E-23 3.43688E-22
25    1.77355E-26 3.65161E-26 7.09490E-26 2.54256E-25 2.05138E-24 7.92003E-23
26    9.02386E-29 5.97462E-28 2.54134E-27 1.10815E-26 1.05360E-25 4.02975E-24
27    4.76966E-30 1.81931E-29 5.64864E-29 2.45300E-28 1.51986E-27 3.49901E-26
28    1.31186E-32 8.92919E-32 5.31059E-31 3.69214E-30 3.05262E-29 1.17662E-27
29    8.63088E-35 2.83411E-34 1.00100E-33 9.83952E-33 1.12485E-31 6.76321E-30
30    6.45499E-31 2.42933E-29 5.00956E-28 1.59758E-27 1.47122E-26 1.22936E-24
31    8.57900E-28 2.20158E-27 5.65427E-27 1.98245E-26 1.36389E-25 4.41183E-24
32    1.82764E-27 5.90816E-27 1.69635E-26 7.56177E-26 4.75928E-25 1.58310E-23
33    8.77524E-26 3.85279E-25 1.27283E-24 5.13132E-24 3.58096E-23 9.39488E-22
34    2.91374E-24 1.20705E-23 3.15854E-23 1.03938E-22 7.27955E-22 2.75389E-20
35    0.00000E+00 0.00000E+00 0.00000E+00 6.48299E-27 6.11734E-24 3.04146E-22
36    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.55590E-28 1.61116E-26
37    1.40548E-26 6.98742E-26 2.63465E-25 1.09316E-24 8.61219E-24 2.84404E-22
38    1.29684E-25 1.25083E-24 5.23904E-24 2.42841E-23 1.87170E-22 5.00388E-21
39    1.16151E-35 9.31647E-32 1.04985E-29 6.42133E-27 5.66260E-25 7.29906E-23
40    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 1.23972E-28 8.50105E-27
41    0.00000E+00 0.00000E+00 1.13627E-25 1.01628E-24 9.65997E-24 4.77464E-22
42    0.00000E+00 0.00000E+00 0.00000E+00 2.19211E-25 2.27020E-24 1.53592E-22
43    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
44    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
45    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
46    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
47    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
48    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
49    0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
