    SIZE INTERVAL   1
   WAVl        QEXT      W0      gf
     0.9260      9.6835244e-06      8.0622323e-07     7.1472091e-07
     1.0000      5.7735617e-06      9.7711262e-07     6.0514748e-07
     1.0500      4.4722242e-06      1.0368134e-06     5.4897291e-07
     1.1000      3.6209061e-06      1.0642174e-06     5.0120380e-07
     1.1700      2.6244418e-06      1.1401979e-06     4.3888872e-07
     1.2500      2.0438492e-06      1.1231952e-06     3.8764948e-07
     1.3700      1.5902082e-06      9.7916996e-07     3.1741275e-07
     1.5000      1.4631862e-06      7.6277350e-07     2.7587905e-07
     1.6300      1.3477691e-06      5.9613396e-07     2.3611614e-07
     1.7700      1.2336344e-06      4.5714859e-07     1.9329455e-07
     1.9400      1.6628878e-06      2.2843796e-07     1.5777723e-07
     2.1100      1.9831999e-06      1.3707738e-07     1.3388127e-07
     2.3400      1.8315635e-06      9.6411354e-08     1.0824808e-07
     2.5700      4.8732660e-06      2.4205874e-08     8.8803841e-08
     2.7900      3.5323833e-05      2.2580992e-09     7.3478431e-08
     3.0800      1.1868793e-04      5.0793612e-10     6.2416196e-08
     3.4100      5.9786379e-05      7.0027116e-10     5.1249686e-08
     3.7900      2.3480198e-05      1.1508486e-09     4.1714261e-08
     4.0900      1.4560943e-05      1.3343630e-09     3.5359315e-08
     4.3600      1.3065667e-05      1.1039168e-09     2.9028214e-08
    SIZE INTERVAL   4
   WAVl        QEXT      W0      gf
     0.2563      4.9228662e-03      1.0421567e-06     2.1714017e-05
     0.2795      3.9826354e-03      8.6619483e-07     1.8294177e-05
     0.2965      3.4386044e-03      7.5609438e-07     1.6060507e-05
     0.3186      2.9313487e-03      6.3774591e-07     1.3895227e-05
     0.3355      2.5627304e-03      5.7522811e-07     1.2473403e-05
     0.3650      1.9778070e-03      5.2389838e-07     1.0577679e-05
     0.4200      1.1402045e-03      5.6306262e-07     8.2363984e-06
     0.4950      5.2945769e-04      6.5485796e-07     6.2345742e-06
     0.5448      3.2496197e-04      7.0188016e-07     5.0341837e-06
     0.5581      2.8524261e-04      7.1499986e-07     4.7135974e-06
     0.5858      2.2068236e-04      7.5986573e-07     4.3079311e-06
     0.6150      1.6901994e-04      8.1483546e-07     3.9471818e-06
     0.6459      1.2745731e-04      8.7734207e-07     3.5654300e-06
     0.6790      9.4202982e-05      9.4962765e-07     3.1564985e-06
     0.7210      6.5953518e-05      1.0680493e-06     2.7514250e-06
     0.7680      4.4667407e-05      1.2252600e-06     2.3368905e-06
     0.8130      3.0757111e-05      1.3974216e-06     1.9399958e-06
     0.8670      1.9655825e-05      1.6362381e-06     1.4637221e-06
     0.9260      1.2911415e-05      1.9110419e-06     1.2705993e-06
     1.0000      7.6981100e-06      2.3161121e-06     1.0757069e-06
     1.0500      5.9629862e-06      2.4576248e-06     9.7588017e-07
     1.1000      4.8278909e-06      2.5225823e-06     8.9104509e-07
     1.1700      3.4992671e-06      2.7026839e-06     7.8025089e-07
     1.2500      2.7251406e-06      2.6623815e-06     6.8918003e-07
     1.3700      2.1202829e-06      2.3209906e-06     5.6447657e-07
     1.5000      1.9509191e-06      1.8080526e-06     4.9061009e-07
     1.6300      1.7970286e-06      1.4130563e-06     4.1993928e-07
     1.7700      1.6448480e-06      1.0836103e-06     3.4383227e-07
     1.9400      2.2171858e-06      5.4148216e-07     2.8045314e-07
     2.1100      2.6442683e-06      3.2492399e-07     2.3743083e-07
     2.3400      2.4420859e-06      2.2853051e-07     1.9166405e-07
     2.5700      6.4976902e-06      5.7376874e-08     1.5812546e-07
     2.7900      4.7098456e-05      5.3525307e-09     1.3066358e-07
     3.0800      1.5825062e-04      1.2039965e-09     1.0989031e-07
     3.4100      7.9715187e-05      1.6599017e-09     9.1862563e-08
     3.7900      3.1306936e-05      2.7279370e-09     7.4161735e-08
     4.0900      1.9414595e-05      3.1629341e-09     6.3694971e-08
     4.3600      1.7420891e-05      2.6166914e-09     5.5551575e-08
    SIZE INTERVAL   5
   WAVl        QEXT      W0      gf
     0.2563      6.1538851e-03      2.0353954e-06     3.3927926e-05
     0.2795      4.9784967e-03      1.6917402e-06     2.8584495e-05
     0.2965      4.2984063e-03      1.4767114e-06     2.5094419e-05
     0.3186      3.6642955e-03      1.2455717e-06     2.1711200e-05
     0.3355      3.2034982e-03      1.1234716e-06     1.9489629e-05
     0.3650      2.4723143e-03      1.0232230e-06     1.6527594e-05
     0.4200      1.4252816e-03      1.0997179e-06     1.2869348e-05
     0.4950      6.6183148e-04      1.2790070e-06     9.7415249e-06
     0.5448      4.0620713e-04      1.3708488e-06     7.8659377e-06
     0.5581      3.5655711e-04      1.3964736e-06     7.3650278e-06
     0.5858      2.7585569e-04      1.4841024e-06     6.7311678e-06
     0.6150      2.1127686e-04      1.5914652e-06     6.1674856e-06
     0.6459      1.5932297e-04      1.7135485e-06     5.5709862e-06
     0.6790      1.1775461e-04      1.8547315e-06     4.9320176e-06
     0.7210      8.2442471e-05      2.0860232e-06     4.4244769e-06
     0.7680      5.5834622e-05      2.3930744e-06     3.9597901e-06
     0.8130      3.8446621e-05      2.7293266e-06     3.5148772e-06
     0.8670      2.4569918e-05      3.1957639e-06     2.9809817e-06
     0.9260      1.6139356e-05      3.7324878e-06     2.4373358e-06
     1.0000      9.6226877e-06      4.5236368e-06     1.7612143e-06
     1.0500      7.4537704e-06      4.8000281e-06     1.5248575e-06
     1.1000      6.0348927e-06      4.9268983e-06     1.3922573e-06
     1.1700      4.3741045e-06      5.2786582e-06     1.2191245e-06
