
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  4.825E+06 1.689E-07 1.300E-07 1.300E-07 4.879E-03 1.094E+08 3.099E+06 1.905E+16 6.985E+01
  4.925E+06 1.398E-07 1.300E-07 1.300E-07 5.861E-03 9.111E+07 2.795E+06 2.300E+16 6.985E+01
  5.025E+06 1.157E-07 1.300E-07 1.300E-07 7.040E-03 7.585E+07 2.546E+06 2.780E+16 6.985E+01
  5.125E+06 9.570E-08 1.300E-07 1.300E-07 8.455E-03 6.316E+07 2.337E+06 3.360E+16 6.985E+01
  5.225E+06 7.911E-08 1.300E-07 1.300E-07 1.015E-02 5.259E+07 2.147E+06 4.065E+16 6.985E+01
  5.325E+06 6.535E-08 1.300E-07 1.300E-07 1.219E-02 4.379E+07 1.964E+06 4.921E+16 6.985E+01
  5.425E+06 5.394E-08 1.300E-07 1.300E-07 1.464E-02 3.647E+07 1.782E+06 5.962E+16 6.985E+01
  5.525E+06 4.450E-08 1.300E-07 1.300E-07 1.758E-02 3.037E+07 1.602E+06 7.227E+16 6.985E+01
  5.625E+06 3.668E-08 1.300E-07 1.300E-07 2.111E-02 2.529E+07 1.426E+06 8.767E+16 6.985E+01
  5.725E+06 3.022E-08 1.300E-07 1.300E-07 2.535E-02 2.107E+07 1.257E+06 1.064E+17 6.985E+01
  5.825E+06 2.489E-08 1.300E-07 1.300E-07 3.043E-02 1.755E+07 1.100E+06 1.292E+17 6.985E+01
  5.925E+06 2.048E-08 1.300E-07 1.300E-07 3.653E-02 1.462E+07 9.568E+05 1.570E+17 6.985E+01
  6.025E+06 1.685E-08 1.300E-07 1.300E-07 4.385E-02 1.218E+07 8.289E+05 1.908E+17 6.985E+01
  6.125E+06 1.386E-08 1.300E-07 1.300E-07 5.264E-02 1.014E+07 7.164E+05 2.321E+17 6.985E+01
  6.225E+06 1.139E-08 1.300E-07 1.300E-07 6.318E-02 8.451E+06 6.188E+05 2.823E+17 6.985E+01
  6.325E+06 9.359E-09 1.300E-07 1.300E-07 7.583E-02 7.042E+06 5.348E+05 3.436E+17 6.985E+01
  6.425E+06 7.686E-09 1.300E-07 1.300E-07 9.101E-02 5.867E+06 4.629E+05 4.184E+17 6.985E+01
  6.525E+06 6.309E-09 1.300E-07 1.300E-07 1.092E-01 4.889E+06 4.016E+05 5.097E+17 6.985E+01
  6.625E+06 5.175E-09 1.300E-07 1.300E-07 1.311E-01 4.074E+06 3.494E+05 6.214E+17 6.985E+01
  6.725E+06 4.243E-09 1.300E-07 1.300E-07 1.573E-01 3.395E+06 3.050E+05 7.580E+17 6.985E+01
