NH3
Air:  
Temp:           100K              300K 
Angstroms       XS
1.390000E+03    1.018830E-17    1.018830E-17
1.400000E+03    3.754540E-18    3.754540E-18
1.410000E+03    5.216770E-18    5.216770E-18
1.420000E+03    2.675960E-18    2.675960E-18
1.430000E+03    2.296810E-18    2.296810E-18
1.440000E+03    2.099170E-18    2.099170E-18
1.450000E+03    1.011850E-18    1.011850E-18
1.460000E+03    1.935360E-18    1.935360E-18
1.470000E+03    1.014030E-18    1.014030E-18
1.480000E+03    6.446750E-19    6.446750E-19
1.490000E+03    2.155170E-18    2.155170E-18
1.500000E+03    5.669240E-19    5.669240E-19
1.510000E+03    2.648350E-18    2.648350E-18
1.520000E+03    6.824720E-19    6.824720E-19
1.530000E+03    2.124170E-18    2.124170E-18
1.540000E+03    1.173500E-18    1.173500E-18
1.550000E+03    2.228320E-19    2.228320E-19
1.560000E+03    2.831720E-18    2.831720E-18
1.570000E+03    2.546760E-19    2.546760E-19
1.580000E+03    1.965650E-18    1.965650E-18
1.590000E+03    5.153740E-19    5.153740E-19
1.600000E+03    2.269140E-19    2.269140E-19
1.610000E+03    1.646140E-18    1.646140E-18
1.620000E+03    3.122030E-19    3.122030E-19
1.630000E+03    9.974530E-19    9.974530E-19
1.640000E+03    5.367940E-19    5.367940E-19
1.650000E+03    6.770940E-19    6.770940E-19
1.660000E+03    1.125610E-18    1.125610E-18
1.670000E+03    7.541320E-19    7.541320E-19
1.680000E+03    1.447790E-18    1.447790E-18
1.690000E+03    1.358860E-18    1.358860E-18
1.700000E+03    1.349500E-18    1.335500E-18
1.710000E+03    2.444160E-18    2.356830E-18
1.720000E+03    1.826500E-18    1.961020E-18
1.730000E+03    1.750360E-18    1.827580E-18
1.740000E+03    3.959870E-18    3.742400E-18
1.750000E+03    2.645240E-18    3.037540E-18
1.760000E+03    2.534540E-18    2.587660E-18
1.770000E+03    6.064420E-18    5.668830E-18
1.780000E+03    3.842470E-18    4.413830E-18
1.790000E+03    3.192080E-18    3.286970E-18
