"WL.um."	"FLUX.W.m2.um."
0.1442	6.03354044846371e-11
0.1447	6.05977323302225e-11
0.1455	7.68620587565159e-11
0.1465	1.12538645756127e-10
0.1475	1.29327627873592e-10
0.1485	1.62643264262935e-10
0.1495	2.53933354526646e-10
0.1505	3.82998654554653e-10
0.1512	2.75444237864647e-10
0.1517	3.80375376098799e-10
0.1525	5.32525526538318e-10
0.1535	7.47634359918329e-10
0.1545	7.21401575359791e-10
0.1555	1.02307859778298e-09
0.1565	1.29327627873592e-09
0.1575	1.92810966505253e-09
0.1585	2.53146370989890e-09
0.1595	2.99053743967332e-09
0.1605	3.20039971614162e-09
0.1615	4.19724552936606e-09
0.1625	4.66943565141974e-09
0.1635	6.53196335507593e-09
0.1645	8.13216321314674e-09
0.1655	9.31263851828094e-09
0.1665	1.15161924211981e-08
0.1672	1.16473563439908e-08
0.1677	1.48477560601324e-08
0.1685	1.75235000851033e-08
0.1695	2.24552635821084e-08
0.1705	2.56294305136915e-08
0.1715	2.99053743967332e-08
0.1725	3.75128819187091e-08
0.1735	4.4333405903929e-08
0.1745	5.32525526538318e-08
0.1755	6.47949778595885e-08
0.1765	7.16155018448083e-08
0.1775	9.12900902637117e-08
0.1785	1.17522874822250e-07
0.1795	1.32475562020616e-07
0.1805	1.68152149020228e-07
0.1815	1.81530869145082e-07
0.1825	1.99893818336058e-07
0.1835	2.64951124041232e-07
0.1845	3.30533085437577e-07
0.1855	3.462727561727e-07
0.1865	3.85621933010506e-07
0.1875	4.77436678965389e-07
0.1885	5.71874703376125e-07
0.1895	7.68620587565159e-07
0.1905	8.84044839622726e-07
0.1915	1.20933136814860e-06
0.1925	1.24343398807469e-06
0.1935	1.17260546976664e-06
0.1945	1.6290559210852e-06
0.1955	1.66578181946715e-06
0.1967	2.32684799034231e-06
0.1976	2.88560630143916e-06
0.1984	3.54142591540261e-06
0.1995	3.14793414702454e-06
0.2005	4.19724552936606e-06
0.2015	5.01046185068073e-06
0.2025	4.59073729774413e-06
0.2035	6.03354044846371e-06
0.2045	6.89922233889546e-06
0.2055	8.15839599770527e-06
0.2065	8.78798282711018e-06
0.2074	1.13325629292884e-05
0.2078	1.01520876241542e-05
0.2085	9.75859585577608e-06
0.2095	1.06242777462078e-05
0.2105	1.26442021572152e-05
0.2115	1.29065300028006e-05
0.2125	1.73398705931935e-05
0.2135	2.09862276468303e-05
0.2145	1.92810966505253e-05
0.2155	2.06976670166864e-05
0.2165	2.21142373828474e-05
0.2175	2.57343616519256e-05
0.2185	2.80690794776355e-05
0.2195	3.22663250070016e-05
0.2205	3.59389148451969e-05
0.2215	4.01361603745629e-05
0.2225	4.40710780583436e-05
0.2235	5.24655691170757e-05
0.2245	6.05977323302224e-05
0.2255	5.74497981831979e-05
0.2265	5.74497981831979e-05
0.2275	6.84675676977838e-05
0.2285	7.58127473741744e-05
0.2295	9.57496636386632e-05
0.2305	8.73551725799311e-05
0.2315	9.65366471754193e-05
