"WL.um."	"FLUX.w.m2.um."
0.115	-2.72168546712878
0.115	1.95346779495533
0.115	3.06848087342422
0.116	-2.84899010994609
0.116	-1.78226499944239
0.116	-0.798946379060383
0.116	-6.76031551512631
0.116	-2.78314288090265
0.116	1.18525012278189
0.117	2.46707618149415
0.117	0.321334477731978
0.117	1.62423164973814
0.117	-1.15013160062539
0.117	-0.702370443130007
0.117	7.15539888938694
0.118	7.46268595825632
0.118	4.09130783123229
0.118	2.68656694497228
0.118	1.07111492577326
0.118	-1.36962236410351
0.118	-0.309042994977203
0.119	3.41088646445009
0.119	2.56804193269409
0.119	-1.05794547996457
0.119	-0.504828755999692
0.119	1.31694458086876
0.119	1.92712890333796
0.12	0.838454716486445
0.12	2.27392430963340
0.12	4.52150972764942
0.12	3.33625960486753
0.12	5.3555746288663
0.12	10.2721677307763
0.121	18.9201038118146
0.121	33.8015775756316
0.121	62.3353768277881
0.121	109.745381739064
0.121	179.104462998152
0.121	153.643534434689
0.122	197.102705603358
0.122	154.082515961645
0.122	61.0184322469193
0.122	19.2273908806839
0.122	8.73573238642946
0.123	2.72168546712878
0.123	2.66900768389403
0.123	1.58472331231208
0.123	1.14574178535582
0.123	2.70851602132009
0.123	2.60316045485059
0.124	2.01053539345964
0.124	4.69710233843192
0.124	5.61896354504005
0.124	6.54082475164819
0.124	5.57506539234443
0.124	2.91922715425909
0.125	2.13784003627696
0.125	1.94468816441621
0.125	1.48375756111214
0.125	1.11062326319932
0.125	0.807726009599508
0.126	0.693590812590882
0.126	1.05794547996457
0.126	0.627743583547443
0.126	0.719929704208257
0.126	0.935030652416821
0.126	1.37401217937308
0.127	1.29499550452095
0.127	1.03599640361676
0.127	0.592625061390943
0.127	0.135645291829483
0.127	-0.0192712890333796
0.127	-0.401668097164973
0.128	-0.0281387158778959
0.128	0.886742684451633
0.128	1.03599640361676
0.128	1.45741866949476
0.128	2.14661966681608
0.128	1.65935017189464
0.129	0.917471391338571
0.129	-0.070676025839957
0.129	-0.37971902081716
0.129	1.05794547996457
0.129	1.46619830003389
0.129	0.913081576069009
0.13	1.00965751199938
0.13	1.29060568925139
0.13	1.33450384194701
0.13	1.44863903895564
0.13	0.98331862038201
0.13	2.31343264705946
0.131	4.78489864382317
0.131	4.74100049112754
0.131	3.29236145217191
0.131	1.80860389105977
0.131	2.02370483926833
0.131	0.667251920973506
0.132	-0.0179982426052064
0.132	1.00087788146026
0.132	0.0904301945529884
0.132	-0.107989455631239
0.132	-0.325285311474584
0.132	0.243634747460721
0.133	0.37269531638586
0.133	0.522388017077942
0.133	1.36523254883395
0.133	0.908691760799446
0.133	1.90517982699014
0.133	4.01668097164973
0.134	8.42844531756008
0.134	11.2818252427757
0.134	7.37488965286507
0.134	3.32309015905884
0.134	0.856013977564696
0.134	-0.55311672396488
0.135	0.610184322469193
0.135	0.344161517133703
0.135	-0.0258121137850277
0.135	0.0684811182051756
0.135	-0.684811182051757
0.135	0.671641736243069
0.136	0.803336194329945
0.136	0.168568906351202
0.136	0.645302844625694
0.136	0.74187878055607
0.136	1.12379270900801
0.136	0.943810282955946
0.137	-0.0755048226364757
0.137	0.13827918099122
0.137	0.82967508594732
0.137	0.121158901439926
0.137	0.452150972764942
0.137	0.693590812590882
0.138	-0.140474088626001
0.138	-0.136523254883395
0.138	0.190517982699014
0.138	0.548726908695318
0.138	0.269973639078096
0.138	-0.316944662462415
0.139	0.0974538989842884
0.139	0.522388017077942
0.139	0.539947278156193
0.139	1.11501307846889
0.139	1.65496035662508
0.139	3.40210683391097
0.14	5.7067598504313
0.14	4.56540788034504
0.14	2.90166789318084
0.14	2.95873549168515
0.14	2.98946419857209
0.14	3.08165031923290
0.141	4.38542545429298
0.141	3.31870034378928
0.141	1.90956964225971
0.141	1.22914827547751
0.141	1.15013160062539
0.141	1.90956964225971
0.142	0.913081576069009
0.142	-0.504828755999692
0.142	0.214222985154652
0.142	-0.180860389105977
0.142	0.0544337093425755
0.142	-0.316944662462415
0.143	0.0676031551512631
0.143	1.14574178535582
0.143	0.70676025839957
0.143	-0.566286169773568
0.143	0.0227392430963340
0.143	0.183933259794670
0.144	0.0737488965286507
0.144	0.241878821352896
0.144	0.229587338598121
0.144	0.172080758566852
0.144	1.30377513506007
0.144	0.452150972764942
0.145	0.225197523328558
0.145	0.390693558991066
0.145	1.35206310302526
0.145	0.257243174796365
0.145	1.28621587398182
0.145	0.094820009822551
0.146	0.53555746288663
0.146	1.12379270900801
0.146	0.891132499721196
0.146	0.229148357071165
0.146	0.27304650976679
0.146	0.0904301945529884
0.147	0.346795406295441
0.147	0.158911312758164
0.147	0.632133398817006
0.147	0.904301945529884
0.147	1.25987698236445
0.147	0.271729565185921
0.148	0.746268595825632
0.148	2.08077243777264
0.148	1.65496035662508
0.148	1.72519740093808
0.148	1.04038621888632
0.148	0.383669854559766
0.149	0.167690943297289
0.149	0.746268595825632
0.149	0.469710233843192
0.149	1.47058811530345
0.149	1.44863903895564
0.149	1.22914827547751
0.15	0.37971902081716
0.15	0.456540788034504
0.15	0.70676025839957
0.15	1.56277423596426
0.15	0.557506539234443
0.15	0.733099150016944
0.151	0.398156244949323
0.151	1.26426679763401
0.151	1.45741866949476
0.151	1.70763813985983
0.151	2.02809465453789
0.151	0.654082475164819
0.152	1.33889365721658
0.152	1.72958721620764
0.152	2.92361696952865
0.152	2.28709375544208
0.152	1.69446869405114
0.152	1.67690943297289
0.153	1.25109735182532
0.153	0.469710233843192
0.153	0.684811182051757
0.153	0.693590812590882
0.153	1.62423164973814
