  Int#    Range (A)      Flux       Ozone1     Ozone2     CH3CHO     CH3COCH3
=============================================================================
   58   3450.0-3550.0   1.72E+15    0.0        2.7E-22    0.0        0.0    
   59   3550.0-3650.0   1.82E+15    0.0        5.5E-23    0.0        0.0    
   60   3650.0-3750.0   2.11E+15    0.0        0.0        0.0        0.0    
   61   3750.0-3850.0   2.06E+15    0.0        0.0        0.0        0.0    
   62   3850.0-3950.0   2.04E+15    0.0        0.0        0.0        0.0    
   63   3950.0-4050.0   3.00E+15    0.0        0.0        0.0        0.0    
   64   4050.0-4150.0   3.63E+15    2.9E-23    2.9E-23    0.0        0.0    
   65   4150.0-4250.0   3.79E+15    4.0E-23    4.0E-23    0.0        0.0    
   66   4250.0-4350.0   3.57E+15    6.8E-23    6.8E-23    0.0        0.0    
   67   4350.0-4450.0   4.10E+15    1.3E-22    1.3E-22    0.0        0.0    
   68   4450.0-4550.0   4.61E+15    1.7E-22    1.7E-22    0.0        0.0    
   69   4550.0-4650.0   4.74E+15    3.6E-22    3.6E-22    0.0        0.0    
   70   4650.0-4750.0   4.80E+15    4.1E-22    4.1E-22    0.0        0.0    
   71   4750.0-4850.0   4.88E+15    7.1E-22    7.1E-22    0.0        0.0    
   72   4850.0-4950.0   4.78E+15    8.3E-22    8.3E-22    0.0        0.0    
   73   4950.0-5050.0   4.87E+15    1.2E-21    1.2E-21    0.0        0.0    
   74   5050.0-5150.0   4.88E+15    1.6E-21    1.6E-21    0.0        0.0    
   75   5150.0-5250.0   4.76E+15    1.8E-21    1.8E-21    0.0        0.0    
   76   5250.0-5350.0   5.02E+15    2.6E-21    2.6E-21    0.0        0.0    
   77   5350.0-5450.0   5.02E+15    2.9E-21    2.9E-21    0.0        0.0    
   78   5450.0-5550.0   5.07E+15    3.2E-21    3.2E-21    0.0        0.0    
   79   5550.0-5650.0   5.06E+15    3.9E-21    3.9E-21    0.0        0.0    
   80   5650.0-5750.0   5.20E+15    4.7E-21    4.7E-21    0.0        0.0    
   81   5750.0-5850.0   5.36E+15    4.6E-21    4.6E-21    0.0        0.0    
   82   5850.0-5950.0   5.32E+15    4.4E-21    4.4E-21    0.0        0.0    
   83   5950.0-6050.0   5.32E+15    4.9E-21    4.9E-21    0.0        0.0    
   84   6050.0-6150.0   5.29E+15    4.5E-21    4.5E-21    0.0        0.0    
   85   6150.0-6250.0   5.29E+15    3.9E-21    3.9E-21    0.0        0.0    
   86   6250.0-6350.0   5.24E+15    3.4E-21    3.4E-21    0.0        0.0    
   87   6350.0-6450.0   5.24E+15    2.7E-21    2.7E-21    0.0        0.0    
   88   6450.0-6550.0   5.09E+15    2.4E-21    2.4E-21    0.0        0.0    
   89   6550.0-6650.0   5.12E+15    2.0E-21    2.0E-21    0.0        0.0    
   90   6650.0-6750.0   5.23E+15    1.7E-21    1.7E-21    0.0        0.0    
   91   6750.0-6850.0   5.22E+15    1.4E-21    1.4E-21    0.0        0.0    
   92   6850.0-6950.0   5.11E+15    1.1E-21    1.1E-21    0.0        0.0    
   93   6950.0-7050.0   5.14E+15    9.2E-22    9.2E-22    0.0        0.0    
   94   7050.0-7150.0   5.01E+15    7.7E-22    7.7E-22    0.0        0.0    
   95   7150.0-7250.0   4.93E+15    6.3E-22    6.3E-22    0.0        0.0    
