  Int#    Range (A)      Flux       Ozone1     Ozone2     CH3CHO     CH3COCH3
=============================================================================
INT    CL2     HOCL    CLNO    CLONO   CLONO2  CCL4    CLO2    CLO3    CCL3F
===============================================================================
   1   0.0     0.0     0.0     0.0     0.0     1.0E-17 0.0     5.3E-18 3.3E-18
   2   0.0     0.0     0.0     0.0     0.0     1.0E-17 0.0     5.3E-18 3.2E-18
   3   0.0     0.0     0.0     0.0     0.0     9.0E-18 0.0     5.3E-18 3.1E-18
   4   0.0     0.0     0.0     0.0     0.0     6.8E-18 0.0     5.3E-18 3.0E-18
   5   0.0     0.0     0.0     0.0     0.0     5.2E-18 0.0     5.3E-18 2.7E-18
   6   0.0     0.0     0.0     0.0     0.0     4.0E-18 0.0     5.3E-18 2.5E-18
   7   0.0     0.0     0.0     0.0     0.0     3.2E-18 0.0     5.3E-18 2.3E-18
   8   0.0     0.0     0.0     0.0     0.0     2.3E-18 0.0     5.3E-18 2.1E-18
   9   0.0     0.0     5.0E-17 0.0     6.0E-18 1.6E-18 0.0     5.3E-18 1.8E-18
  10   0.0     0.0     5.5E-17 0.0     5.5E-18 1.1E-18 0.0     5.3E-18 1.6E-18
  11   0.0     0.0     6.0E-17 0.0     5.0E-18 8.0E-19 0.0     5.3E-18 1.3E-18
  12   0.0     0.0     6.3E-17 0.0     4.5E-18 7.0E-19 0.0     5.3E-18 1.1E-18
  13   0.0     0.0     6.6E-17 0.0     4.0E-18 6.6E-19 0.0     5.3E-18 9.0E-19
  14   0.0     5.0E-20 6.9E-17 0.0     3.5E-18 6.5E-19 0.0     5.3E-18 7.2E-19
  15   0.0     5.2E-20 6.8E-17 0.0     3.0E-18 6.3E-19 0.0     5.3E-18 5.8E-19
  16   0.0     5.4E-20 6.5E-17 0.0     2.9E-18 6.1E-19 0.0     5.3E-18 4.5E-19
  17   0.0     5.6E-20 5.7E-17 0.0     2.9E-18 5.8E-19 0.0     5.2E-18 3.2E-19
  18   0.0     5.8E-20 4.8E-17 0.0     3.0E-18 5.4E-19 0.0     5.1E-18 2.4E-19
  19   0.0     6.1E-20 3.6E-17 0.0     3.1E-18 4.8E-19 0.0     5.1E-18 1.8E-19
  20   0.0     6.4E-20 2.7E-17 0.0     3.4E-18 4.2E-19 0.0     5.0E-18 1.2E-19
  21   0.0     7.3E-20 2.0E-17 0.0     3.6E-18 3.4E-19 0.0     4.9E-18 8.2E-20
  22   0.0     8.4E-20 1.6E-17 0.0     3.6E-18 2.6E-19 0.0     4.9E-18 4.7E-20
  23   0.0     9.8E-20 1.2E-17 0.0     3.5E-18 2.0E-19 0.0     4.8E-18 3.2E-20
  24   0.0     1.2E-19 9.4E-18 0.0     3.4E-18 1.5E-19 0.0     4.7E-18 2.0E-20
  25   0.0     1.4E-19 7.7E-18 0.0     3.1E-18 1.1E-19 2.2E-18 4.6E-18 1.2E-20
  26   0.0     1.7E-19 5.4E-18 0.0     2.6E-18 7.0E-20 3.0E-18 4.5E-18 7.0E-21
  27   0.0     1.8E-19 4.3E-18 0.0     2.2E-18 4.7E-20 4.2E-18 4.4E-18 4.2E-21
  28   0.0     1.9E-19 3.3E-18 0.0     1.9E-18 3.3E-20 5.4E-18 4.2E-18 2.6E-21
  29   0.0     2.1E-19 2.3E-18 2.2E-18 1.5E-18 2.1E-20 7.0E-18 3.9E-18 1.5E-21
  30   0.0     2.2E-19 1.7E-18 2.0E-18 1.2E-18 1.4E-20 8.6E-18 3.7E-18 9.0E-22
  31   8.0E-22 2.2E-19 1.4E-18 1.8E-18 1.1E-18 9.0E-21 1.0E-17 3.5E-18 5.4E-22
  32   8.6E-22 2.2E-19 1.0E-18 1.6E-18 9.2E-19 5.4E-21 1.2E-17 3.5E-18 2.8E-22
  33   9.6E-22 2.1E-19 7.2E-19 1.4E-18 7.6E-19 3.6E-21 1.3E-17 3.5E-18 1.6E-22
  34   1.1E-21 1.9E-19 5.0E-19 1.1E-18 6.2E-19 2.2E-21 1.3E-17 3.6E-18 8.6E-23
  35   1.3E-21 1.7E-19 4.0E-19 9.4E-19 5.4E-19 1.6E-21 1.2E-17 3.8E-18 5.4E-23
  36   1.5E-21 1.4E-19 2.7E-19 6.7E-19 4.6E-19 1.0E-21 1.2E-17 4.0E-18 3.3E-23
  37   2.0E-21 1.2E-19 2.0E-19 6.4E-19 3.8E-19 4.0E-22 1.1E-17 4.2E-18 1.8E-23
  38   2.7E-21 9.8E-20 1.7E-19 6.6E-19 3.3E-19 2.0E-22 9.1E-18 4.3E-18 1.2E-23
  39   3.9E-21 8.4E-20 1.5E-19 7.2E-19 2.7E-19 1.2E-22 7.3E-18 4.4E-18 0.0    
  40   6.0E-21 7.0E-20 1.3E-19 8.4E-19 2.2E-19 7.0E-23 5.8E-18 4.5E-18 0.0    
  41   1.1E-20 6.0E-20 1.2E-19 1.0E-18 1.8E-19 4.0E-23 4.4E-18 4.5E-18 0.0    
  42   1.8E-20 5.0E-20 1.1E-19 1.2E-18 1.5E-19 2.1E-23 3.2E-18 4.6E-18 0.0    
  43   2.7E-20 4.8E-20 1.1E-19 1.3E-18 1.2E-19 0.0     2.3E-18 4.6E-18 0.0    
  44   3.9E-20 4.8E-20 1.0E-19 1.4E-18 9.3E-20 0.0     0.0     4.5E-18 0.0    
  45   5.6E-20 5.0E-20 9.8E-20 1.5E-18 7.2E-20 0.0     0.0     4.4E-18 0.0    
  46   7.7E-20 5.4E-20 9.6E-20 1.4E-18 5.4E-20 0.0     0.0     4.3E-18 0.0    
  47   1.0E-19 5.8E-20 9.4E-20 1.3E-18 4.3E-20 0.0     0.0     4.1E-18 0.0    
  48   1.2E-19 6.2E-20 9.5E-20 1.3E-18 3.3E-20 0.0     0.0     4.0E-18 0.0    
  49   1.5E-19 6.4E-20 1.0E-19 1.2E-18 2.3E-20 0.0     0.0     3.6E-18 0.0    
  50   1.8E-19 6.3E-20 1.1E-19 1.0E-18 1.7E-20 0.0     0.0     3.2E-18 0.0    
  51   2.1E-19 5.8E-20 1.2E-19 9.2E-19 1.2E-20 0.0     0.0     2.8E-18 0.0    
  52   2.3E-19 5.0E-20 1.2E-19 8.0E-19 9.0E-21 0.0     0.0     2.5E-18 0.0    
  53   2.5E-19 4.4E-20 1.3E-19 7.5E-19 6.6E-21 0.0     0.0     2.1E-18 0.0    
  54   2.6E-19 3.7E-20 1.3E-19 5.9E-19 5.1E-21 0.0     0.0     1.8E-18 0.0    
  55   2.5E-19 3.0E-20 1.4E-19 4.9E-19 4.0E-21 0.0     0.0     1.4E-18 0.0    
  56   2.4E-19 2.4E-20 1.4E-19 4.4E-19 3.2E-21 0.0     0.0     1.1E-18 0.0    
  57   2.1E-19 1.8E-20 1.3E-19 3.6E-19 2.9E-21 0.0     0.0     9.0E-19 0.0    
  58   1.9E-19 1.4E-20 1.3E-19 2.7E-19 2.5E-21 0.0     0.0     7.6E-19 0.0    
  59   1.3E-19 8.0E-21 1.2E-19 1.6E-19 2.1E-21 0.0     0.0     0.0     0.0    
  60   8.3E-20 4.5E-21 1.0E-19 9.0E-20 1.6E-21 0.0     0.0     0.0     0.0    
  61   4.9E-20 2.4E-21 8.3E-20 4.1E-20 1.2E-21 0.0     0.0     0.0     0.0    
  62   3.3E-20 1.5E-21 6.7E-20 2.2E-20 9.0E-22 0.0     0.0     0.0     0.0    
  63   1.9E-20 5.0E-22 5.1E-20 6.0E-21 6.4E-22 0.0     0.0     0.0     0.0    
  64   1.3E-20 4.0E-22 0.0     0.0     4.4E-22 0.0     0.0     0.0     0.0    
  65   9.9E-21 0.0     0.0     0.0     2.7E-22 0.0     0.0     0.0     0.0     
  66   7.3E-21 0.0     0.0     0.0     1.6E-22 0.0     0.0     0.0     0.0    
  67   5.3E-21 0.0     0.0     0.0     9.0E-23 0.0     0.0     0.0     0.0    
  68   3.4E-21 0.0     0.0     0.0     5.0E-23 0.0     0.0     0.0     0.0    


        Exponential sum coefficients for O2
        -----------------------------------
  L   N        A1           A2           A3           A4
            K1           K2           K3           K4
=============================================================
  1   3       0.26360      0.47208      0.26432      0.00000   
           2.1549E-20   1.0201E-19   5.0956E-19   0.0000E+00

  2   4       0.37394      0.32727      0.17924      0.11955   
           3.1815E-21   1.4877E-20   9.6350E-20   7.6965E-19

  3   4       0.54935      0.19950      0.16324      0.08790   
           1.8008E-21   8.6368E-21   5.0848E-20   3.0440E-19

  4   4       0.34674      0.29605      0.22814      0.12907     
           1.4823E-21   6.5329E-21   4.2558E-20   2.7521E-19

  5   3       0.51000      0.30872      0.18128      0.00000     
           8.1948E-22   7.0062E-21   1.1333E-19   0.0000E+00

  6   3       0.42433      0.41256      0.16311      0.00000     
           3.7925E-22   2.8431E-21   3.8916E-20   0.0000E+00

  7   4       0.33693      0.40358      0.19907      0.06042     
           2.3694E-22   1.0478E-21   6.5329E-21   6.6572E-20

  8   4       0.38154      0.39166      0.17958      0.04723     
           9.7031E-23   4.8461E-22   3.2138E-21   3.0968E-20

  9   4       0.60810      0.30851      0.05580      0.02759     
           7.6886E-23   6.0066E-22   6.0754E-21   2.1072E-20

 10   4       0.68739      0.22851      0.06887      0.01523     
           7.0630E-23   6.7364E-22   5.5949E-22   2.0992E-20

 11   3       0.41084      0.43140      0.15776      0.00000     
           4.3962E-23   2.5010E-22   2.0060E-21   0.0000E+00

 12   2       0.72673      0.27327      0.00000      0.00000     
           3.7391E-23   3.0696E-22   0.0000E+00   0.0000E+00

 13   2       0.86499      0.13501      0.00000      0.00000     
           2.6937E-23   1.6078E-22   0.0000E+00   0.0000E+00

 14   3       0.90156      0.08761      0.01082      0.00000     
           2.2109E-23   6.3908E-23   4.8883E-23   0.0000E+00

 15   2       0.68851      0.31149      0.00000      0.00000     
           2.0184E-23   2.6244E-23   0.0000E+00   0.0000E+00

 16   2       0.21803      0.78197      0.00000      0.00000     
           1.8368E-23   2.1153E-23   0.0000E+00   0.0000E+00

 17   1       1.00000      0.00000      0.00000      0.00000     
           1.9572E-23   0.0000E+00   0.0000E+00   0.0000E+00


               so2(so+0)    so2(1so2)    s02(3so2)    so           h2s           ocs          so3
=====================================================================================================
          1    1.460E-18    0.000E+00    0.000E+00    1.000E-18    3.300E-18    1.500E-20    1.000E-18
          2    1.940E-18    0.000E+00    0.000E+00    1.000E-18    4.100E-18    1.500E-20    1.000E-18
          3    2.420E-18    0.000E+00    0.000E+00    1.000E-18    5.000E-18    1.500E-20    1.000E-18
          4    2.800E-18    0.000E+00    0.000E+00    1.000E-18    6.000E-18    1.600E-20    1.000E-18
          5    3.130E-18    0.000E+00    0.000E+00    1.000E-18    7.000E-18    2.500E-20    1.000E-18
          6    3.470E-18    0.000E+00    0.000E+00    1.000E-18    8.000E-18    5.600E-20    1.000E-18
          7    3.852E-18    0.000E+00    0.000E+00    2.260E-18    9.000E-18    1.300E-19    1.000E-18
          8    4.272E-18    0.000E+00    0.000E+00    4.360E-18    1.000E-17    5.600E-20    1.000E-18
          9    4.704E-18    0.000E+00    0.000E+00    6.520E-18    1.050E-17    2.550E-20    1.050E-18
         10    5.136E-18    0.000E+00    0.000E+00    8.680E-18    1.100E-17    1.600E-20    1.000E-18
         11    5.580E-18    0.000E+00    0.000E+00    1.090E-17    1.150E-17    1.550E-20    1.050E-18
         12    5.997E-18    0.000E+00    0.000E+00    1.303E-17    1.200E-17    1.800E-20    8.000E-19
         13    5.959E-18    0.000E+00    0.000E+00    1.341E-17    1.100E-17    2.400E-20    7.800E-19
         14    5.920E-18    0.000E+00    0.000E+00    1.380E-17    1.030E-17    3.330E-20    7.530E-19
         15    5.780E-18    0.000E+00    0.000E+00    1.320E-17    9.000E-18    4.500E-20    7.100E-19
         16    5.534E-18    0.000E+00    0.000E+00    1.156E-17    7.200E-18    6.200E-20    6.700E-19
         17    5.249E-18    0.000E+00    0.000E+00    9.976E-18    6.000E-18    8.300E-20    6.200E-19
         18    4.535E-18    0.000E+00    0.000E+00    9.640E-18    4.400E-18    1.100E-19    5.600E-19
         19    3.804E-18    0.000E+00    0.000E+00    9.296E-18    3.800E-18    1.400E-19    4.800E-19
         20    2.973E-18    6.930E-19    0.000E+00    7.880E-18    3.100E-18    1.800E-19    4.100E-19
         21    2.099E-18    1.659E-18    0.000E+00    6.040E-18    2.300E-18    2.200E-19    3.400E-19
         22    1.275E-18    3.800E-18    0.000E+00    4.450E-18    1.900E-18    2.500E-19    2.800E-19
         23    4.420E-19    7.132E-18    0.000E+00    2.980E-18    1.400E-18    2.800E-19    2.200E-19
         24    0.000E+00    7.004E-18    0.000E+00    1.929E-18    1.100E-18    2.900E-19    1.700E-19
         25    0.000E+00    2.952E-18    0.000E+00    1.351E-18    9.500E-19    2.900E-19    1.300E-19
         26    0.000E+00    2.440E-19    0.000E+00    8.400E-19    6.500E-19    2.700E-19    1.100E-19
         27    0.000E+00    1.504E-19    0.000E+00    5.020E-19    4.500E-19    2.400E-19    8.900E-20
         28    0.000E+00    8.050E-20    0.000E+00    2.400E-19    3.100E-19    1.900E-19    7.000E-20
         29    0.000E+00    3.838E-20    0.000E+00    6.720E-20    2.000E-19    1.400E-19    5.600E-20
         30    0.000E+00    2.336E-20    0.000E+00    0.000E+00    1.300E-19    9.700E-20    4.500E-20
         31    0.000E+00    2.564E-20    0.000E+00    0.000E+00    9.000E-20    6.200E-20    4.000E-20
         32    0.000E+00    3.139E-20    0.000E+00    0.000E+00    5.200E-20    3.900E-20    3.200E-20
         33    0.000E+00    3.908E-20    0.000E+00    0.000E+00    3.200E-20    2.300E-20    2.600E-20
         34    0.000E+00    5.494E-20    0.000E+00    0.000E+00    2.000E-20    1.300E-20    2.000E-20
         35    0.000E+00    9.404E-20    0.000E+00    0.000E+00    1.100E-20    6.800E-21    1.600E-20
         36    0.000E+00    1.561E-19    0.000E+00    0.000E+00    6.100E-21    3.500E-21    1.300E-20
         37    0.000E+00    2.149E-19    0.000E+00    0.000E+00    3.300E-21    1.800E-21    1.000E-20
         38    0.000E+00    2.761E-19    0.000E+00    0.000E+00    2.000E-21    9.000E-22    8.000E-21
         39    0.000E+00    3.391E-19    0.000E+00    0.000E+00    1.000E-21    4.200E-22    6.200E-21
         40    0.000E+00    4.310E-19    0.000E+00    0.000E+00    4.800E-22    2.000E-22    4.500E-21
         41    0.000E+00    5.216E-19    0.000E+00    0.000E+00    0.000E+00    1.000E-22    3.600E-21
         42    0.000E+00    6.170E-19    0.000E+00    0.000E+00    0.000E+00    5.000E-23    2.700E-21
         43    0.000E+00    7.325E-19    0.000E+00    0.000E+00    0.000E+00    2.000E-23    2.000E-21
         44    0.000E+00    7.770E-19    0.000E+00    0.000E+00    0.000E+00    9.000E-24    1.500E-21
         45    0.000E+00    7.788E-19    0.000E+00    0.000E+00    0.000E+00    5.000E-24    1.100E-21
         46    0.000E+00    7.140E-19    0.000E+00    0.000E+00    0.000E+00    2.000E-24    7.700E-22
         47    0.000E+00    5.832E-19    0.000E+00    0.000E+00    0.000E+00    0.000E+00    5.700E-22    
         48    0.000E+00    4.410E-19    0.000E+00    0.000E+00    0.000E+00    0.000E+00    4.000E-22    
         49    0.000E+00    3.844E-19    0.000E+00    0.000E+00    0.000E+00    0.000E+00    2.800E-22    
         50    0.000E+00    3.068E-19    0.000E+00    0.000E+00    0.000E+00    0.000E+00    1.900E-22    
         51    0.000E+00    1.500E-19    0.000E+00    0.000E+00    0.000E+00    0.000E+00    1.300E-22    
         52    0.000E+00    4.000E-20    0.000E+00    0.000E+00    0.000E+00    0.000E+00    8.000E-23    
         53    0.000E+00    1.200E-20    0.000E+00    0.000E+00    0.000E+00    0.000E+00    5.500E-23    
         54    0.000E+00    4.000E-21    0.000E+00    0.000E+00    0.000E+00    0.000E+00    3.600E-23    
         55    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    2.500E-23    
         56    0.000E+00    0.000E+00    2.500E-23    0.000E+00    0.000E+00    0.000E+00    1.700E-23    
         57    0.000E+00    0.000E+00    3.250E-23    0.000E+00    0.000E+00    0.000E+00    1.000E-23     
         58    0.000E+00    0.000E+00    6.100E-23    0.000E+00    0.000E+00    0.000E+00    5.000E-24       
         59    0.000E+00    0.000E+00    1.400E-22    0.000E+00    0.000E+00    0.000E+00    0.000E+00        
         60    0.000E+00    0.000E+00    2.300E-22    0.000E+00    0.000E+00    0.000E+00    0.000E+00        
         61    0.000E+00    0.000E+00    1.000E-22    0.000E+00    0.000E+00    0.000E+00    0.000E+00        
         62    0.000E+00    0.000E+00    3.800E-23    0.000E+00    0.000E+00    0.000E+00    0.000E+00        
         63    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00        
         64    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00        
         65    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00        
         66    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00        
         67    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00        
         68    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00        

  Int    N2O5       Cl2O2
=============================================================================
   1   0.00E+00   0.00E+00
   2   0.00E+00   0.00E+00
   3   0.00E+00   0.00E+00
   4   0.00E+00   0.00E+00
   5   0.00E+00   0.00E+00
   6   0.00E+00   0.00E+00
   7   0.00E+00   0.00E+00
   8   0.00E+00   0.00E+00
   9   0.00E+00   0.00E+00
  10   0.00E+00   0.00E+00
  11   0.00E+00   0.00E+00
  12   0.00E+00   0.00E+00
  13   0.00E+00   0.00E+00
  14   0.00E+00   0.00E+00
  15   9.00E-18   3.68E-18
  16   8.60E-18   3.38E-18
  17   8.20E-18   3.12E-18
  18   7.20E-18   2.86E-18
  19   5.90E-18   2.58E-18
  20   5.00E-18   2.36E-18
  21   4.10E-18   2.17E-18
  22   3.35E-18   2.07E-18
  23   2.65E-18   2.08E-18
  24   2.00E-18   2.20E-18
  25   1.70E-18   2.38E-18
  26   1.35E-18   2.80E-18
  27   1.12E-18   3.35E-18
  28   9.40E-19   4.00E-18
  29   8.10E-19   4.67E-18
  30   7.20E-19   5.47E-18
  31   6.10E-19   5.90E-18
  32   5.70E-19   6.29E-18
  33   5.10E-19   6.41E-18
  34   4.30E-19   6.27E-18
  35   3.80E-19   5.86E-18
  36   3.20E-19   5.26E-18
  37   2.80E-19   4.63E-18
  38   2.50E-19   3.95E-18
  39   2.00E-19   3.34E-18
  40   1.70E-19   2.77E-18
  41   1.50E-19   2.38E-18
  42   1.30E-19   2.05E-18
  43   1.20E-19   1.74E-18
  44   0.00E+00   1.49E-18
  45   0.00E+00   1.26E-18
  46   0.00E+00   1.05E-18
  47   0.00E+00   8.60E-19
  48   0.00E+00   7.00E-19
  49   0.00E+00   5.60E-19
  50   0.00E+00   4.30E-19
  51   0.00E+00   3.20E-19
  52   0.00E+00   2.60E-19
  53   0.00E+00   2.00E-19
  54   0.00E+00   1.70E-19
  55   0.00E+00   1.40E-19
  56   0.00E+00   1.20E-19
  57   0.00E+00   1.10E-19
  58   0.00E+00   8.00E-20
  59   0.00E+00   6.00E-20
  60   0.00E+00   0.00E+00
  61   0.00E+00   0.00E+00
  62   0.00E+00   0.00E+00
  63   0.00E+00   0.00E+00
  64   0.00E+00   0.00E+00
  65   0.00E+00   0.00E+00
  66   0.00E+00   0.00E+00
  67   0.00E+00   0.00E+00
  68   0.00E+00   0.00E+00
