 HC AEROSOL PARAMETERS

    Z        AERSOL     RPARs      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  5.525E+06 9.540E+00 2.696E-05 3.858E-02 1.898E+07 3.013E+06 3.013E+06 6.230E+08
  5.625E+06 9.863E+00 2.592E-05 4.151E-02 1.762E+07 2.675E+06 2.675E+06 5.537E+08
  5.725E+06 1.047E+01 2.471E-05 4.457E-02 1.634E+07 2.338E+06 2.338E+06 4.797E+08
  5.825E+06 1.151E+01 2.330E-05 4.795E-02 1.506E+07 2.012E+06 2.012E+06 4.022E+08
  5.925E+06 1.320E+01 2.166E-05 5.203E-02 1.372E+07 1.709E+06 1.709E+06 3.230E+08
  6.025E+06 1.613E+01 1.969E-05 5.753E-02 1.224E+07 1.441E+06 1.441E+06 2.427E+08
  6.125E+06 2.231E+01 1.716E-05 6.625E-02 1.047E+07 1.209E+06 1.209E+06 1.608E+08
  6.225E+06 4.094E+01 1.360E-05 8.469E-02 8.053E+06 1.009E+06 1.009E+06 7.990E+07
  6.325E+06 1.320E+02 8.908E-06 1.380E-01 4.841E+06 8.373E+05 8.373E+05 2.248E+07
  6.425E+06 6.829E+02 4.966E-06 2.783E-01 2.337E+06 6.866E+05 6.866E+05 3.893E+06
  6.525E+06 9.350E+02 4.311E-06 2.811E-01 2.222E+06 5.493E+05 5.493E+05 2.547E+06
  6.625E+06 1.352E+03 3.694E-06 2.830E-01 2.076E+06 4.229E+05 4.229E+05 1.603E+06
  6.725E+06 1.974E+03 3.152E-06 2.876E-01 1.913E+06 3.240E+05 3.240E+05 9.958E+05
  6.825E+06 2.659E+03 2.754E-06 3.038E-01 1.697E+06 2.659E+05 2.659E+05 6.642E+05
  6.925E+06 2.574E+03 2.609E-06 3.453E-01 1.529E+06 2.789E+05 2.789E+05 5.644E+05
  7.025E+06 2.661E+03 2.441E-06 3.886E-01 1.359E+06 2.789E+05 2.789E+05 4.627E+05
  7.125E+06 2.748E+03 2.290E-06 4.381E-01 1.205E+06 2.789E+05 2.789E+05 3.817E+05
  7.225E+06 2.834E+03 2.152E-06 4.950E-01 1.067E+06 2.789E+05 2.789E+05 3.171E+05
  7.325E+06 2.919E+03 2.029E-06 5.607E-01 9.417E+05 2.789E+05 2.789E+05 2.654E+05
  7.425E+06 3.003E+03 1.917E-06 6.369E-01 8.291E+05 2.789E+05 2.789E+05 2.240E+05
  7.525E+06 3.085E+03 1.817E-06 7.254E-01 7.280E+05 2.789E+05 2.789E+05 1.906E+05
  7.625E+06 3.165E+03 1.726E-06 8.283E-01 6.375E+05 2.789E+05 2.789E+05 1.635E+05
  7.725E+06 3.242E+03 1.645E-06 9.484E-01 5.568E+05 2.789E+05 2.789E+05 1.414E+05
  7.825E+06 3.318E+03 1.571E-06 1.088E+00 4.852E+05 2.789E+05 2.789E+05 1.232E+05
  7.925E+06 3.392E+03 1.503E-06 1.251E+00 4.220E+05 2.789E+05 2.789E+05 1.079E+05
  8.025E+06 3.465E+03 1.440E-06 1.441E+00 3.666E+05 2.789E+05 2.789E+05 9.493E+04
  8.125E+06 3.539E+03 1.380E-06 1.659E+00 3.183E+05 2.789E+05 2.789E+05 8.361E+04
  8.225E+06 3.641E+03 1.319E-06 1.904E+00 2.773E+05 2.789E+05 2.773E+05 7.293E+04
  8.325E+06 4.193E+03 1.212E-06 2.102E+00 2.512E+05 2.789E+05 2.512E+05 5.659E+04
  8.425E+06 4.822E+03 1.111E-06 2.314E+00 2.282E+05 2.789E+05 2.282E+05 4.357E+04
  8.525E+06 5.528E+03 1.012E-06 2.533E+00 2.085E+05 2.789E+05 2.085E+05 3.295E+04
  8.625E+06 6.308E+03 9.132E-07 2.745E+00 1.924E+05 2.789E+05 1.924E+05 2.422E+04
  8.725E+06 7.148E+03 8.131E-07 2.935E+00 1.799E+05 2.789E+05 1.799E+05 1.709E+04
  8.825E+06 8.031E+03 7.115E-07 3.085E+00 1.712E+05 2.789E+05 1.712E+05 1.145E+04
  8.925E+06 8.933E+03 6.105E-07 3.179E+00 1.661E+05 2.789E+05 1.661E+05 7.234E+03
  9.025E+06 9.847E+03 5.144E-07 3.216E+00 1.642E+05 2.789E+05 1.642E+05 4.328E+03
  9.125E+06 1.079E+04 4.282E-07 3.215E+00 1.643E+05 2.789E+05 1.643E+05 2.496E+03
  9.225E+06 1.178E+04 3.542E-07 3.193E+00 1.654E+05 2.789E+05 1.654E+05 1.413E+03
  9.325E+06 1.285E+04 2.923E-07 3.164E+00 1.669E+05 2.789E+05 1.669E+05 7.943E+02
  9.425E+06 1.401E+04 2.411E-07 3.133E+00 1.685E+05 2.789E+05 1.685E+05 4.458E+02
  9.525E+06 1.528E+04 1.990E-07 3.104E+00 1.701E+05 2.789E+05 1.701E+05 2.506E+02
  9.625E+06 1.667E+04 1.644E-07 3.079E+00 1.715E+05 2.789E+05 1.715E+05 1.414E+02
  9.725E+06 1.821E+04 1.361E-07 3.059E+00 1.726E+05 2.789E+05 1.726E+05 8.014E+01
  9.825E+06 1.280E+04 1.300E-07 3.507E+00 1.506E+05 2.789E+05 2.512E+05 6.985E+01
  9.925E+06 7.472E+03 1.300E-07 4.209E+00 1.255E+05 2.789E+05 4.304E+05 6.985E+01
