C6H6
Air:  
Temp:           100K            300K      
Angstroms       XS
1.390000E+03    1.735570E-17    1.735570E-17
1.400000E+03    1.769080E-17    1.769080E-17
1.410000E+03    1.418740E-17    1.418740E-17
1.420000E+03    1.550510E-17    1.550510E-17
1.430000E+03    1.395910E-17    1.395910E-17
1.440000E+03    1.193620E-17    1.193620E-17
1.450000E+03    1.086550E-17    1.086550E-17
1.460000E+03    1.245640E-17    1.245640E-17
1.470000E+03    1.456190E-17    1.456190E-17
1.480000E+03    1.633460E-17    1.633460E-17
1.490000E+03    9.571590E-18    9.571590E-18
1.500000E+03    9.877190E-18    9.877190E-18
1.510000E+03    1.088840E-17    1.088840E-17
1.520000E+03    1.399490E-17    1.399490E-17
1.530000E+03    1.222250E-17    1.222250E-17
1.540000E+03    1.257920E-17    1.257920E-17
1.550000E+03    1.440640E-17    1.440640E-17
1.560000E+03    1.546040E-17    1.546040E-17
1.570000E+03    1.686310E-17    1.686310E-17
1.580000E+03    1.881000E-17    1.881000E-17
1.590000E+03    2.069330E-17    2.069330E-17
1.600000E+03    2.267280E-17    2.267280E-17
1.610000E+03    2.498340E-17    2.498340E-17
1.620000E+03    2.658010E-17    2.658010E-17
1.630000E+03    2.909470E-17    2.909470E-17
1.640000E+03    2.913070E-17    2.913070E-17
1.650000E+03    2.990590E-17    2.990590E-17
1.660000E+03    3.275130E-17    3.275130E-17
1.670000E+03    3.696490E-17    3.696490E-17
1.680000E+03    4.207440E-17    4.207440E-17
1.690000E+03    4.977230E-17    4.977230E-17
1.700000E+03    5.795260E-17    5.795260E-17
1.710000E+03    7.152310E-17    7.152310E-17
1.720000E+03    8.844310E-17    8.844310E-17
1.730000E+03    1.041560E-16    1.041560E-16
1.740000E+03    1.298420E-16    1.298420E-16
1.750000E+03    1.632640E-16    1.632640E-16
1.760000E+03    1.887550E-16    1.887550E-16
1.770000E+03    2.143490E-16    2.143490E-16
1.780000E+03    2.352150E-16    2.352150E-16
1.790000E+03    2.310170E-16    2.310170E-16
1.800000E+03    1.989160E-16    1.989160E-16
1.810000E+03    1.569040E-16    1.569040E-16
1.820000E+03    1.058690E-16    1.058690E-16
1.830000E+03    6.816500E-17    6.816500E-17
1.840000E+03    4.218980E-17    4.218980E-17
1.850000E+03    2.750910E-17    2.750910E-17
1.860000E+03    2.050140E-17    2.050140E-17
1.870000E+03    1.733470E-17    1.733470E-17
1.880000E+03    1.628340E-17    1.628340E-17
1.890000E+03    1.651580E-17    1.651580E-17
1.900000E+03    1.602220E-17    1.602220E-17
1.910000E+03    1.565840E-17    1.565840E-17
1.920000E+03    1.600380E-17    1.600380E-17
1.930000E+03    1.672590E-17    1.672590E-17
1.940000E+03    1.678730E-17    1.678730E-17
1.950000E+03    1.779100E-17    1.779100E-17
1.960000E+03    1.960860E-17    1.960860E-17
1.970000E+03    1.984190E-17    1.984190E-17
1.980000E+03    1.943760E-17    1.943760E-17
1.990000E+03    2.054440E-17    2.054440E-17
2.000000E+03    2.113950E-17    2.113950E-17
2.010000E+03    1.944870E-17    1.944870E-17
2.020000E+03    1.713930E-17    1.713930E-17
2.030000E+03    1.573120E-17    1.573120E-17
2.040000E+03    1.374850E-17    1.374850E-17
2.050000E+03    9.739090E-18    9.739090E-18
2.060000E+03    5.602590E-18    5.602590E-18
2.070000E+03    2.836460E-18    2.836460E-18
2.080000E+03    1.518260E-18    1.518260E-18
2.090000E+03    9.279090E-19    9.279090E-19
2.100000E+03    5.061350E-19    5.061350E-19
2.110000E+03    2.896570E-19    2.896570E-19
2.120000E+03    1.731070E-19    1.731070E-19
2.130000E+03    1.069910E-19    1.069910E-19
2.140000E+03    5.608920E-20    5.608920E-20
2.150000E+03    4.585780E-20    4.585780E-20
2.160000E+03    2.347770E-20    2.347770E-20
2.170000E+03    2.130410E-20    2.130410E-20
2.180000E+03    2.551030E-20    2.551030E-20
2.190000E+03    2.359980E-20    2.359980E-20
2.200000E+03    1.645420E-20    1.645420E-20
2.210000E+03    2.608100E-20    2.608100E-20
2.220000E+03    1.685860E-20    1.685860E-20
2.230000E+03    1.772610E-20    1.772610E-20
2.240000E+03    3.835780E-20    3.835780E-20
2.250000E+03    3.115040E-20    3.115040E-20
2.260000E+03    3.430720E-20    3.430720E-20
2.270000E+03    3.054390E-20    3.054390E-20
2.280000E+03    3.704950E-20    3.704950E-20
2.290000E+03    4.210010E-20    4.210010E-20
2.300000E+03    3.592330E-20    3.592330E-20
2.310000E+03    3.721920E-20    3.721920E-20
2.320000E+03    7.049170E-20    7.049170E-20
2.330000E+03    6.686060E-20    6.686060E-20
2.340000E+03    7.994220E-20    7.994220E-20
2.350000E+03    7.905070E-20    7.905070E-20
2.360000E+03    9.720120E-20    9.720120E-20
2.370000E+03    1.114190E-19    1.114190E-19
2.380000E+03    1.273250E-19    1.273250E-19
2.390000E+03    9.319800E-19    6.044490E-20
2.400000E+03    4.070090E-19    1.139010E-19
2.410000E+03    4.327950E-19    3.080260E-19
2.420000E+03    2.282580E-19    2.100190E-19
2.430000E+03    1.655300E-19    1.568110E-19
2.440000E+03    1.515660E-19    1.294590E-19
2.450000E+03    1.349520E-19    1.045730E-19
2.460000E+03    1.461790E-19    1.168730E-19
2.470000E+03    6.146250E-19    5.457390E-19
2.480000E+03    2.441720E-19    2.686330E-19
2.490000E+03    1.471240E-19    1.543200E-19
2.500000E+03    1.013790E-19    1.001830E-19
2.510000E+03    9.091180E-20    8.283240E-20
2.520000E+03    5.429790E-19    4.333760E-19
2.530000E+03    4.428360E-19    4.695350E-19
2.540000E+03    2.175340E-19    2.647620E-19
2.550000E+03    1.070860E-19    1.341740E-19
2.560000E+03    6.721710E-20    7.553960E-20
2.570000E+03    4.979300E-20    4.169490E-20
2.580000E+03    2.879390E-19    2.194980E-19
2.590000E+03    3.497830E-19    3.476410E-19
2.600000E+03    1.824940E-19    2.261430E-19
2.610000E+03    7.472860E-20    8.973140E-20
2.620000E+03    3.601860E-20    3.209110E-20
2.630000E+03    3.073190E-20    1.663850E-20
2.640000E+03    2.554370E-20    9.195960E-21
2.650000E+03    2.476600E-20    8.627600E-21
2.660000E+03    3.614850E-20    2.564490E-20
2.670000E+03    2.464020E-20    1.283090E-20
2.680000E+03    2.123190E-20    6.578070E-21
2.690000E+03    1.762040E-20    4.009950E-21
