reading file =../SAVEOUT/GJ581dCO292SolCon1.0/output_couple.dat
      17      15.0790      154.960
      18      14.6040      153.230
      19      14.1410      153.180
      20      13.6840      154.040
      21      13.2330      155.500
      22      12.7840      157.660
      23      12.3380      160.280
      24      11.8920      162.800
      25      11.4490      164.940
      26      11.0100      166.820
      27      10.5740      168.540
      28      10.1430      170.170
      29      9.71770      171.810
      30      9.29710      173.520
      31      8.88160      175.260
      32      8.47150      176.940
      33      8.06710      178.500
      34      7.66900      179.900
      35      7.27750      181.140
      36      6.89330      182.250
      37      6.51660      183.280
      38      6.14760      184.270
      39      5.78650      185.270
      40      5.43340      186.310
      41      5.08830      187.380
      42      4.75120      188.500
      43      4.42220      189.680
      44      4.10130      190.890
      45      3.78860      192.120
      46      3.48330      194.490
      47      3.18470      196.830
      48      2.89320      199.150
      49      2.60570      206.200
      50      2.31860      214.400
      51      2.03200      222.540
      52      1.74690      230.590
      53      1.46440      238.510
      54      1.18540      246.260
      55     0.910940      253.790
      56     0.642140      261.050
      57     0.380070      267.990
      58     0.125770      274.590
      59      0.00000      277.820

       7      27.6970      175.570
       6      26.6970      175.570
       5      25.6970      175.570
       4      24.6970      175.570
       3      23.6970      175.570
       2      22.6970      175.570
       1      21.6970      175.570
       0      20.6970      175.570

